seed,n,lambda,events,joint_entries,factored_entries,storage_ratio,oracle_utility,source_scheme,environment_index,evidence_stream,driver_reject_penalty,tracker,utility,max_tv,update_wallclock_s,wallclock,mean_update_us,p95_update_us,peak_mem_bytes,peak_mem,belief_entries,snapshots,assignments,served,driver_rejects,passenger_rejects,sampling_rng_seed
9,2,0.0,50,256,32,8.0,-26.93,closed-loop regeneration by fleet size,9,nearest-policy saved assignment events; identical order across trackers,2.0,joint,-26.93,2.621586046536985e-16,0.0005225,0.0005225,10.45,28.76999999999999,2048,2048,256,38,50,16,30,4,240009
0,2,0.5,42,256,32,8.0,-27.34,closed-loop regeneration by fleet size,0,nearest-policy saved assignment events; identical order across trackers,2.0,factored,-44.440000000000005,4.970636506847387e-16,0.0002651,0.0002651,6.311904761904763,8.374999999999998,256,256,32,31,42,10,31,1,130500
0,2,0.5,42,256,32,8.0,-27.34,closed-loop regeneration by fleet size,0,nearest-policy saved assignment events; identical order across trackers,2.0,joint,-39.709999999999994,4.970636506847387e-16,0.0003302,0.0003302,7.8619047619047615,10.474999999999998,2048,2048,256,31,42,11,29,2,240500
1,2,0.5,44,256,32,8.0,-32.96,closed-loop regeneration by fleet size,1,nearest-policy saved assignment events; identical order across trackers,2.0,factored,-38.6,6.664061424721564e-16,0.0002645,0.0002645,6.011363636363637,6.925000000000001,256,256,32,37,44,12,31,1,130501
1,2,0.5,44,256,32,8.0,-32.96,closed-loop regeneration by fleet size,1,nearest-policy saved assignment events; identical order across trackers,2.0,joint,-45.95000000000001,6.664061424721564e-16,0.0003565,0.0003565,8.102272727272727,11.375000000000002,2048,2048,256,37,44,10,32,2,240501
2,2,0.5,27,256,32,8.0,52.70999999999999,closed-loop regeneration by fleet size,2,nearest-policy saved assignment events; identical order across trackers,2.0,factored,29.8,6.661338147750939e-16,0.0001678,0.0001678,6.214814814814815,7.37,256,256,32,20,27,22,4,1,130502
2,2,0.5,27,256,32,8.0,52.70999999999999,closed-loop regeneration by fleet size,2,nearest-policy saved assignment events; identical order across trackers,2.0,joint,30.189999999999994,6.661338147750939e-16,0.0002266,0.0002266,8.392592592592594,10.36,2048,2048,256,20,27,21,4,2,240502
3,2,0.5,42,256,32,8.0,-42.13999999999999,closed-loop regeneration by fleet size,3,nearest-policy saved assignment events; identical order across trackers,2.0,factored,-51.9,7.806942334832554e-16,0.0002879,0.0002879,6.854761904761904,9.759999999999998,256,256,32,35,42,8,31,3,130503
3,2,0.5,42,256,32,8.0,-42.13999999999999,closed-loop regeneration by fleet size,3,nearest-policy saved assignment events; identical order across trackers,2.0,joint,-49.099999999999994,7.806942334832554e-16,0.0004644,0.0004644,11.057142857142857,14.219999999999994,2048,2048,256,35,42,9,31,2,240503
4,2,0.5,42,256,32,8.0,-44.96,closed-loop regeneration by fleet size,4,nearest-policy saved assignment events; identical order across trackers,2.0,factored,-54.45,3.55862314312368e-16,0.0002835,0.0002835,6.750000000000002,9.584999999999999,256,256,32,33,42,8,31,3,130504
4,2,0.5,42,256,32,8.0,-44.96,closed-loop regeneration by fleet size,4,nearest-policy saved assignment events; identical order across trackers,2.0,joint,-51.95,3.55862314312368e-16,0.0004473,0.0004473,10.649999999999999,13.79,2048,2048,256,33,42,8,30,4,240504
5,2,0.5,37,256,32,8.0,-57.879999999999995,closed-loop regeneration by fleet size,5,nearest-policy saved assignment events; identical order across trackers,2.0,factored,-57.879999999999995,4.718600866526625e-16,0.0003028,0.0003028,8.183783783783786,18.259999999999987,256,256,32,29,37,3,31,3,130505
5,2,0.5,37,256,32,8.0,-57.879999999999995,closed-loop regeneration by fleet size,5,nearest-policy saved assignment events; identical order across trackers,2.0,joint,-57.879999999999995,4.718600866526625e-16,0.00039,0.00039,10.540540540540539,21.77999999999998,2048,2048,256,29,37,3,31,3,240505
