n,lambda,seeds,joint_minus_factored_mean,joint_minus_factored_sem,ci95_low,ci95_high,ci_covers_zero,max_tv,joint_entries,factored_entries,storage_ratio
2,0.0,10,1.848999999999999,0.7323803656570808,0.1923556128836823,3.505644387116316,False,7.806942334832554e-16,256,32,8.0
2,0.5,10,-0.38300000000000056,1.2029926110422395,-3.1041692861775463,2.3381692861775454,True,7.806942334832554e-16,256,32,8.0
2,1.0,10,0.11399999999999952,1.3193080678059148,-2.87027484937698,3.098274849376979,True,7.806942334832554e-16,256,32,8.0
3,0.0,10,1.3310000000000013,0.9015658600457317,-0.7083419754234437,3.3703419754234463,True,2.4702462297909733e-15,4096,48,85.33333333333333
3,0.5,10,-3.039,1.8557630655758706,-7.236736054332619,1.158736054332619,True,2.4702462297909733e-15,4096,48,85.33333333333333
3,1.0,10,-1.5889999999999993,1.5636889787365715,-5.126064469902124,1.9480644699021255,True,2.4702462297909733e-15,4096,48,85.33333333333333
4,0.0,10,-1.3749999999999996,1.1166350741799618,-3.900828537795073,1.150828537795074,True,2.5479618415147343e-14,65536,64,1024.0
4,0.5,10,2.6290000000000013,2.3501221954045994,-2.6869764060052024,7.944976406005205,True,2.5479618415147343e-14,65536,64,1024.0
4,1.0,10,-0.37199999999999916,1.6396834382824566,-4.080963937394916,3.3369639373949176,True,2.5479618415147343e-14,65536,64,1024.0
