model,method,episodes,final_mean_cumulative_reward,final_mean_cumulative_regret,final_mean_cumulative_exploration_cost,final_mean_true_tuple_posterior,final_mean_rule_marginal_accuracy,live_parse_ok_rate
DeepSeek-V3.2,live_pact,5,3.40672,2.767704975017395,3.266804896841799,0.5790994966776777,0.8560076013260136,0.925
DeepSeek-V3.2,live_pact_plus,5,3.6134933333333334,2.590979699133719,2.549089145849023,0.5791909923730112,0.8790993583017152,0.8
Kimi-K2.6,live_pact,5,3.8212199999999994,2.4497520657820635,2.9187617873006504,0.5175911528765781,0.8424233752664803,0.725
Kimi-K2.6,live_pact_plus,5,3.9465333333333326,2.561293813783488,2.795558845679861,0.4857754713768839,0.823087141572616,0.5
Llama-4-Maverick-17B-128E-Instruct-FP8,live_pact,5,3.29151,2.993029129052411,3.0212625417108634,0.6195668337842913,0.8842782259514591,1.0
Llama-4-Maverick-17B-128E-Instruct-FP8,live_pact_plus,5,3.682266666666666,2.7960954846786623,2.949042386207879,0.4934080893584709,0.8448867946170981,1.0
gpt-5.4-mini-20260317,live_pact,5,4.0468166666666665,2.501480521787209,3.483053590418854,0.5691581312452124,0.8777803368943109,1.0
gpt-5.4-mini-20260317,live_pact_plus,5,3.82069,2.8521658297220034,3.2221093698833827,0.5961639431216977,0.8807877606596772,1.0
