model,method,episodes,final_mean_cumulative_reward,final_mean_cumulative_regret,final_mean_cumulative_exploration_cost,final_mean_true_tuple_posterior,final_mean_rule_marginal_accuracy,final_mean_nll_true,live_score_parse_ok_rate,type_readout_parse_rate,type_estimate_flag,mean_llm_assignment_score,mean_structured_assignment_score
DeepSeek-V3.2,live_atom_adaptive_hedge,5,9.974586666666667,5.7663962464224605,3.539426691611522,0.0625,0.5,0.0,1.0,1.0,numeric_posterior,1.46,0.0
DeepSeek-V3.2,live_atom_tom0,5,11.03882,4.721917922583368,2.986509431889888,0.0625,0.5,0.0,1.0,1.0,numeric_posterior,0.68,0.0
DeepSeek-V3.2,live_atom_tom1,5,10.89759,4.713047383324545,3.3332198893791656,0.0625,0.5,0.0,1.0,1.0,numeric_posterior,1.5666666666666667,0.0
DeepSeek-V3.2,live_econ_bne,5,10.589310000000001,4.939431063604941,3.3531476317707196,0.0625,0.5,0.0,1.0,1.0,numeric_posterior,1.2,0.0
DeepSeek-V3.2,live_joint_psrl,5,13.921006666666665,2.1149795277751005,2.1133869585099383,0.43675635003236024,0.8172348060397905,0.0,1.0,1.0,numeric_posterior,0.5066666666666666,2.0028980727718304
DeepSeek-V3.2,live_llm_belief,5,11.437940000000001,4.3205001247705495,3.2569700950536586,0.0625,0.5,0.0,1.0,1.0,numeric_posterior,1.5466666666666666,0.0
DeepSeek-V3.2,live_llm_greedy,5,11.619136666666666,4.419324379250083,3.1444322043861592,0.0625,0.5,0.0,1.0,1.0,numeric_posterior,0.8266666666666668,0.0
DeepSeek-V3.2,live_llm_psrl_verbal,5,11.477276666666665,4.724887819177478,3.345433819590936,0.06666666666666667,0.4666666666666667,2.772588722239781,0.725,1.0,verbal_point_estimate,0.0,0.0
DeepSeek-V3.2,live_map_greedy,5,12.530743333333332,2.8811189829916666,1.33407572626544,0.3675374672278727,0.7892737003787519,0.0,1.0,1.0,numeric_posterior,-0.14666666666666664,2.1587208678426504
DeepSeek-V3.2,live_pact,5,13.202556666666666,2.5332653042576645,1.0932053627800955,0.43109422972746403,0.807411934052154,0.0,1.0,1.0,numeric_posterior,0.7066666666666667,1.886988649824292
DeepSeek-V3.2,live_pact_plus,5,13.887289999999998,1.6781555454267412,1.3845996287350957,0.2990065468131941,0.743652269406248,0.0,1.0,1.0,numeric_posterior,0.96,1.969447644354127
DeepSeek-V3.2,live_psrl_notype,5,11.399673333333332,4.688722806140062,2.991105591290027,0.0625,0.5,0.0,1.0,1.0,numeric_posterior,-0.2805333333333333,1.991654648101503
DeepSeek-V3.2,live_random,5,10.881516666666666,5.049232871349862,3.122742444750866,0.0625,0.5,2.772588722239781,1.0,1.0,no_type_estimate_floor_by_construction,0.0,0.0
Kimi-K2.6,live_atom_adaptive_hedge,5,11.34424,4.278303315655461,3.2107930322857996,0.0625,0.5,0.0,1.0,1.0,numeric_posterior,1.0933333333333333,0.0
Kimi-K2.6,live_atom_tom0,5,10.93362,4.925604791962298,2.928177471423239,0.0625,0.5,0.0,1.0,1.0,numeric_posterior,0.5800000000000001,0.0
Kimi-K2.6,live_atom_tom1,5,10.746876666666667,4.874478789747622,3.244904528005024,0.0625,0.5,0.0,1.0,1.0,numeric_posterior,0.78,0.0
Kimi-K2.6,live_econ_bne,5,10.742036666666667,4.459047622499446,3.214810535928122,0.0625,0.5,0.0,1.0,1.0,numeric_posterior,1.3333333333333335,0.0
Kimi-K2.6,live_joint_psrl,5,13.921006666666665,2.1149795277751005,2.1133869585099383,0.43675635003236024,0.8172348060397905,0.0,1.0,1.0,numeric_posterior,0.18000000000000002,2.0028980727718304
Kimi-K2.6,live_llm_belief,5,9.621193333333334,5.309800264836796,3.294133026608525,0.0625,0.5,0.0,1.0,1.0,numeric_posterior,1.42,0.0
Kimi-K2.6,live_llm_greedy,5,11.313233333333333,4.591372966880897,3.0028213345507795,0.0625,0.5,0.0,1.0,1.0,numeric_posterior,0.5866666666666667,0.0
Kimi-K2.6,live_llm_psrl_verbal,5,12.328673333333333,3.9365623080232313,2.9379678430350493,0.13333333333333333,0.5333333333333333,2.772588722239781,0.725,0.9833333333333332,verbal_point_estimate,0.0,0.0
Kimi-K2.6,live_map_greedy,5,12.530743333333332,2.8811189829916666,1.33407572626544,0.3675374672278727,0.7892737003787519,0.0,1.0,1.0,numeric_posterior,-0.18893333333333334,2.1587208678426504
Kimi-K2.6,live_pact,5,13.202556666666666,2.5332653042576645,1.0932053627800955,0.43109422972746403,0.807411934052154,0.0,1.0,1.0,numeric_posterior,-0.4533333333333333,1.886988649824292
Kimi-K2.6,live_pact_plus,5,13.887289999999998,1.6781555454267412,1.3845996287350957,0.2990065468131941,0.743652269406248,0.0,1.0,1.0,numeric_posterior,0.9193333333333333,1.969447644354127
Kimi-K2.6,live_psrl_notype,5,11.399673333333332,4.688722806140062,2.991105591290027,0.0625,0.5,0.0,1.0,1.0,numeric_posterior,0.23333333333333334,1.991654648101503
Kimi-K2.6,live_random,5,10.881516666666666,5.049232871349862,3.122742444750866,0.0625,0.5,2.772588722239781,1.0,1.0,no_type_estimate_floor_by_construction,0.0,0.0
Llama-4-Maverick-17B-128E-Instruct-FP8,live_atom_adaptive_hedge,5,10.994643333333332,4.872002402303104,2.8953840248694425,0.0625,0.5,0.0,1.0,1.0,numeric_posterior,1.42,0.0
