model,method,episodes,final_mean_cumulative_reward,final_mean_cumulative_regret,final_mean_cumulative_exploration_cost,final_mean_true_tuple_posterior,final_mean_rule_marginal_accuracy,final_mean_nll_true,live_score_parse_ok_rate,mean_llm_assignment_score,mean_structured_assignment_score
DeepSeek-V3.2,live_pact_plus,5,62.21506333333332,2.1193307374130788,3.3486095981264237,0.4088337479704097,0.7938354437674848,1.2877128544465573,1.0,1.08,1.9701757875951693
Kimi-K2.6,live_pact_plus,5,62.21506333333333,2.1193307374130788,3.3486095981264237,0.4088337479704097,0.7938354437674848,1.2877128544465573,1.0,0.45666666666666667,1.9701757875951693
Llama-4-Maverick-17B-128E-Instruct-FP8,live_pact_plus,5,62.411666666666655,2.1592372112417886,3.678538107036777,0.4150926077257678,0.8032763700214984,1.12410620671699,1.0,1.1560666666666666,2.012072338753748
gpt-5.4-mini-20260317,live_pact_plus,5,62.302433333333326,2.050045148174922,3.48580247712916,0.3599392029536383,0.773138032542618,1.4089305974553166,1.0,1.4526666666666668,1.9668107562174426
