model,method,episodes,final_mean_cumulative_reward,final_mean_cumulative_regret,final_mean_cumulative_exploration_cost,final_mean_true_tuple_posterior,final_mean_rule_marginal_accuracy,live_score_parse_ok_rate,mean_llm_assignment_score,mean_structured_assignment_score
DeepSeek-V3.2,live_pact_plus,5,13.202556666666666,2.5332653042576645,1.0932053627800955,0.43109422972746403,0.807411934052154,1.0,1.22,1.886988649824292
Kimi-K2.6,live_pact_plus,5,13.490723333333332,2.3315737479503076,1.1057690633911068,0.3867513000308171,0.7994531219372923,1.0,0.602,1.9103023745661112
Llama-4-Maverick-17B-128E-Instruct-FP8,live_pact_plus,5,13.863286666666664,2.0902084544562376,1.1771659984283749,0.3631473816830185,0.7828707359883774,1.0,0.6439999999999999,2.008882217427627
gpt-5.4-mini-20260317,live_pact_plus,5,13.208103333333332,2.5268738456695106,1.0932053627800955,0.43043159883660403,0.8072179749964894,1.0,1.176,1.8871262707484089
