model,method,episodes,final_mean_cumulative_reward,final_mean_cumulative_regret,final_mean_cumulative_exploration_cost,final_mean_true_tuple_posterior,final_mean_rule_marginal_accuracy,final_mean_nll_true,live_score_parse_ok_rate,mean_llm_assignment_score,mean_structured_assignment_score
DeepSeek-V3.2,live_pact_plus,5,30.1493,2.111580679582082,2.3592564033274295,0.32067599899481747,0.7490199283709453,1.6480048690596685,1.0,1.4465999999999999,2.0521912402961138
Kimi-K2.6,live_pact_plus,5,30.33999,2.038381116469702,2.3910199804669245,0.2931816253879779,0.7282875461148552,1.7724477758878563,1.0,1.4200000000000002,2.0468315131026094
Llama-4-Maverick-17B-128E-Instruct-FP8,live_pact_plus,5,30.23295,2.088965237743629,2.5268636939832616,0.35284598492911823,0.7670361362300829,1.5796589435250836,1.0,0.95,2.1161299084392433
gpt-5.4-mini-20260317,live_pact_plus,5,30.23983333333333,2.042171881034442,2.395062963552404,0.29317340816291093,0.7282852077001747,1.7724567308490964,1.0,1.4866666666666666,2.0468141720459747
