model,method,episodes,final_mean_cumulative_reward,final_mean_cumulative_regret,final_mean_cumulative_exploration_cost,final_mean_true_tuple_posterior,final_mean_rule_marginal_accuracy,final_mean_nll_true,live_score_parse_ok_rate,mean_llm_assignment_score,mean_structured_assignment_score
DeepSeek-V3.2,live_pact_plus,5,45.933926666666665,2.11098894524177,2.7705062254548904,0.3926058022676745,0.787093923877281,1.3335243052664096,1.0,0.7133333333333333,2.0308072113759055
Kimi-K2.6,live_pact_plus,5,46.04496333333333,2.3614653730240893,3.060666243309517,0.3276152503172535,0.7539241638120253,1.557286271384997,1.0,0.5066666666666666,2.000085566905098
Llama-4-Maverick-17B-128E-Instruct-FP8,live_pact_plus,5,45.94721666666666,2.2664901394791173,2.983648310765674,0.428008435983606,0.8014210594795216,1.2147833147017215,1.0,0.9073333333333332,2.034153744051764
gpt-5.4-mini-20260317,live_pact_plus,5,46.032593333333324,2.1087065777401186,2.7865187586338798,0.3926060464356184,0.7870939933611065,1.33352403919846,1.0,1.4686666666666668,2.0308077181467943
