model,method,episodes,final_mean_cumulative_reward,final_mean_cumulative_regret,final_mean_cumulative_exploration_cost,final_mean_true_tuple_posterior,final_mean_rule_marginal_accuracy,final_mean_nll_true,live_score_parse_ok_rate,type_readout_parse_rate,type_estimate_flag,mean_llm_assignment_score,mean_structured_assignment_score
gpt-5.4-mini-20260317,live_pact_plus,5,29.571656666666666,2.4997602275160533,1.905183276842203,0.3502217244061535,0.7698642063985064,0.0,1.0,1.0,numeric_posterior,0.0,0.0
DeepSeek-V3.2,live_pact_plus,5,29.571656666666666,2.4997602275160533,1.905183276842203,0.3502217244061535,0.7698642063985064,0.0,1.0,1.0,numeric_posterior,0.0,0.0
Kimi-K2.6,live_pact_plus,5,29.571656666666666,2.4997602275160533,1.905183276842203,0.3502217244061535,0.7698642063985064,0.0,1.0,1.0,numeric_posterior,0.0,0.0
Llama-4-Maverick-17B-128E-Instruct-FP8,live_pact_plus,5,29.571656666666666,2.4997602275160533,1.905183276842203,0.3502217244061535,0.7698642063985064,0.0,1.0,1.0,numeric_posterior,0.0,0.0
