model,model_snapshot,pact_plus_regret_mean,pact_plus_regret_sem,pact_regret_mean,pact_regret_sem,joint_psrl_regret_mean,joint_psrl_regret_sem,llm_psrl_regret_mean,llm_psrl_regret_sem,best_pact_family_method,best_pact_family_regret_mean,best_pact_family_regret_sem,best_llm_coordination_baseline,best_baseline_regret_mean,best_baseline_regret_sem,pact_plus_ratio,best_family_ratio,paired_baseline_minus_pact_plus_mean,paired_baseline_minus_pact_plus_sem,paired_baseline_minus_best_family_mean,paired_baseline_minus_best_family_sem,paired_pact_minus_joint_mean,paired_pact_minus_joint_sem,calibration_snapshot_id,calibration_sha256,calibration_cache_cells,calibration_parse_failures,atom_tom0_regret_mean,atom_tom1_regret_mean,atom_tom2_regret_mean,econ_bne_regret_mean,moa_regret_mean,puppeteer_regret_mean,baseline_selection_rule,matched_seeds,seed_count,K
DeepSeek-V3.2,DeepSeek-V3.2,0.36000000000000065,0.14236104336041785,0.9850000000000001,0.29833333333333334,0.9550000000000001,0.20282039126062013,18.27,5.140672243112869,hpsmg_plus,0.36000000000000065,0.14236104336041785,econ_bne,2.5500000000000016,1.049338415913147,7.083333333333325,7.083333333333325,2.1900000000000013,1.0967325208191028,2.1900000000000013,1.0967325208191028,0.030000000000000117,0.2937497044915771,e_a_c19_fullgrid_DeepSeek_V3_2_20260722,07a1459f44521a0f5b2900791b6be45b74c8a4bd689e340eb2e7a349e23b8f44,1500,0,16.099999999999994,6.6579999999999995,14.009999999999994,2.5500000000000016,3.9499999999999984,6.785000000000004,"minimum mean cumulative regret among fixed ECON-BNE, A-ToM-{0,1,2}, MoA, and Puppeteer",True,10,20
GPT-5.4-nano,gpt-5.4-nano-20260317,0.1589999999999999,0.03819394949174247,0.5439999999999998,0.149593523329796,0.3909999999999998,0.1001826110438111,2.1929999999999974,0.7138565837913248,hpsmg_plus,0.1589999999999999,0.03819394949174247,econ_bne,6.959999999999994,1.3755968401630865,43.77358490566037,43.77358490566037,6.800999999999997,1.4036305702633365,6.800999999999997,1.4036305702633365,0.15300000000000016,0.17505586409930843,e_a_c19_fullgrid_gpt_5_4_nano_20260317_20260722,4f09ab2959dbbecf2a7ee963dd4dc2d20506b9d44690a83916a9160c24727fa5,1500,0,10.559999999999999,9.293999999999999,10.559999999999999,6.959999999999994,6.975999999999995,6.959999999999994,"minimum mean cumulative regret among fixed ECON-BNE, A-ToM-{0,1,2}, MoA, and Puppeteer",True,10,20
Kimi-K2.6,Kimi-K2.6,0.32500000000000007,0.08820745748266166,0.5469999999999999,0.11558594685821932,0.642,0.15943511393527948,6.7010000000000005,1.3253975923389096,hpsmg_plus,0.32500000000000007,0.08820745748266166,econ_bne,2.957,1.3656492554418542,9.098461538461535,9.098461538461535,2.632,1.3098700529272194,2.632,1.3098700529272194,-0.09500000000000013,0.18011261909026685,e_a_c19_fullgrid_Kimi_K2_6_20260722,1027504d4f6a759241cb16abbbd972afc56174e203c2433887fd100a34fc9bc8,1500,0,7.458999999999999,5.045000000000001,4.358,2.957,3.8560000000000008,3.089,"minimum mean cumulative regret among fixed ECON-BNE, A-ToM-{0,1,2}, MoA, and Puppeteer",True,10,20
Llama-4-Maverick,Llama-4-Maverick-17B-128E-Instruct-FP8,0.4299999999999997,0.21694853460363964,1.2019999999999995,0.21174303084425494,1.276,0.22849361770809548,13.51,3.431437988171529,hpsmg_plus,0.4299999999999997,0.21694853460363964,atom_tom0,0.6999999999999993,0.3958114029012634,1.6279069767441854,1.6279069767441854,0.2699999999999995,0.23466287875730682,0.2699999999999995,0.23466287875730682,-0.07400000000000011,0.3457526411885942,e_a_c19_fullgrid_Llama_4_Maverick_17B_128E_Instruct_FP8_20260722,13d96ae04754ce41b56f617251c9ecdf93e03c2ba71304c15d8c95debcfba0a1,1500,0,0.6999999999999993,0.6999999999999993,0.6999999999999993,0.6999999999999993,7.117999999999995,2.1999999999999997,"minimum mean cumulative regret among fixed ECON-BNE, A-ToM-{0,1,2}, MoA, and Puppeteer",True,10,20
