config_key,config_label,domain,config_name,source_json,episodes,source_snapshot,joint_opt_focal_min_mean,joint_opt_focal_max_mean,oracle_joint_tiebreak_focal_mean,oracle_joint_source_focal_mean,pact_plus_joint_proxy_focal_mean,oracle_joint_deal_score_mean,pact_plus_joint_proxy_deal_score_mean,oracle_joint_deal_min_score_mean,pact_plus_joint_proxy_deal_min_score_mean,oracle_joint_nash_product_mean,pact_plus_joint_proxy_nash_product_mean,tie_count_min,tie_count_max,tie_count_mean,tiebreak_episode_at_interval_min_count,tiebreak_episode_at_interval_max_count
fruitville_gullible_single,Fruitville: gullible buyer,haggling,fruitville_gullible,analysis/concordia_haggling_compact_fruitville_gullible_s30.json,30,9e7f12b,1.4,13.4,7.0,7.0,7.4,5.0,5.0,0.0,2.0,0.0,6.0,5.0,5.0,5.0,16,14
vegbrooke_stubborn_single,Vegbrooke: stubborn seller,haggling,vegbrooke_stubborn,analysis/concordia_haggling_compact_vegbrooke_stubborn_s30.json,30,9e7f12b,-5.1,7.3,-0.3333333333333333,-0.3333333333333333,1.1,0.52,0.52,-0.5933333333333334,0.13333333333333333,0.0,0.16666666666666666,5.0,10.0,6.333333333333333,3,2
cumulative_score_multi,Multi-item: cumulative,haggling_multi_item,cumulative_score,analysis/concordia_haggling_multi_item_compact_cumulative_score_s30.json,30,9e7f12b,0.0,12.0,5.6,5.6,6.0,4.0,4.0,0.0,2.0,0.0,4.0,5.0,5.0,5.0,16,14
fruitville_gullible_multi,Multi-item: gullible,haggling_multi_item,fruitville_gullible,analysis/concordia_haggling_multi_item_compact_fruitville_gullible_s30.json,30,9e7f12b,-0.9666666666666667,14.6,6.3,6.3,6.766666666666667,4.544444444444445,4.544444444444445,-0.31111111111111106,2.0,0.0,5.088888888888889,6.0,18.0,9.8,15,11
