phase,n,m,H,checkpoint,rho_action,mean_cumulative_proxy,sem_cumulative_proxy,upper95_cumulative_proxy,finite_hellinger_bound,upper95_below_bound,observations
type_horizon,3,2,1,512,0.0035047535997874135,83.37614890027257,1.9735721449003985,87.24435030427735,317.5234488188646,True,1500
type_horizon,3,2,1,1024,0.0035047535997874135,92.22472391308561,2.578361373733256,97.27831220560279,373.54514982071174,True,1500
type_horizon,3,2,1,2048,0.0035047535997874135,92.86509849684005,2.643059570899041,98.04549525580217,384.4050199358512,True,1500
type_horizon,3,2,2,512,0.0035047535997874135,99.7902394907416,2.8668651618149648,105.40929520789894,374.0249011371923,True,1500
type_horizon,3,2,2,1024,0.0035047535997874135,101.6777527125029,3.0672221610873174,107.68950814823404,384.90380181729154,True,1500
type_horizon,3,2,2,2048,0.0035047535997874135,101.85078160737199,3.0852631934845776,107.89789746660176,385.21268636579936,True,1500
type_horizon,3,2,4,512,0.0035047535997874135,97.14493978204904,2.6003262827625075,102.24157929626355,385.9023153539608,True,1500
type_horizon,3,2,4,1024,0.0035047535997874135,97.14902012241208,2.600367958691224,102.24574132144689,386.2122824622694,True,1500
type_horizon,3,2,4,2048,0.0035047535997874135,97.14902012246814,2.6003679586908617,102.24574132150224,386.2125192701542,True,1500
type_horizon,3,2,8,512,0.0035047535997874135,96.10527858552507,2.4610168877445524,100.92887168550439,388.2061049444552,True,1500
type_horizon,3,2,8,1024,0.0035047535997874135,96.10527858562503,2.461016887748632,100.92887168561235,388.2063434122194,True,1500
type_horizon,3,2,8,2048,0.0035047535997874135,96.10527858562503,2.461016887748632,100.92887168561235,388.20634341235836,True,1500
type_horizon,3,3,1,512,0.0035047535997874135,112.12975275189228,2.1923068704938093,116.42667421806016,475.75021710702913,True,1500
type_horizon,3,3,1,1024,0.0035047535997874135,124.59407749878324,3.0245750041834807,130.52224450698284,612.9747990843198,True,1500
type_horizon,3,3,1,2048,0.0035047535997874135,126.72960375852084,3.2558205508981994,133.1110120382813,639.5759395393114,True,1500
type_horizon,3,3,2,512,0.0035047535997874135,125.76642676576704,2.8307643617848828,131.3147249148654,613.426851035955,True,1500
type_horizon,3,3,2,1024,0.0035047535997874135,127.72562771790618,3.06998076961146,133.74279002634464,640.0746066646151,True,1500
type_horizon,3,3,2,2048,0.0035047535997874135,127.7455216337988,3.071753582748347,133.76615865598555,640.8312161978891,True,1500
type_horizon,3,3,4,512,0.0035047535997874135,128.21045212688506,3.053913746605095,134.19612307023104,641.0702140884869,True,1500
type_horizon,3,3,4,1024,0.0035047535997874135,128.22459008587933,3.0553617179437778,134.21309905304912,641.8294753408891,True,1500
type_horizon,3,3,4,2048,0.0035047535997874135,128.22459008691635,3.0553617180256016,134.21309905424653,641.8300553993739,True,1500
type_horizon,3,3,8,512,0.0035047535997874135,134.71317490646294,3.154501269040823,140.89599739378295,643.8259762564438,True,1500
type_horizon,3,3,8,1024,0.0035047535997874135,134.71317490648056,3.1545012690408845,140.89599739380068,643.8265603807862,True,1500
type_horizon,3,3,8,2048,0.0035047535997874135,134.71317490648056,3.1545012690408845,140.89599739380068,643.8265603811266,True,1500
type_horizon,3,4,1,512,0.0035047535997874135,129.69595781706033,2.258825934976584,134.12325664961443,512.0,True,1500
type_horizon,3,4,1,1024,0.0035047535997874135,144.238499322097,3.0730687850978406,150.26171414088876,749.6799480320677,True,1500
type_horizon,3,4,1,2048,0.0035047535997874135,146.61987936011744,3.312182209950534,153.1117564916205,795.7544748393892,True,1500
type_horizon,3,4,2,512,0.0035047535997874135,147.10096774415814,3.054026356522922,153.08685940294308,750.096452432462,True,1500
type_horizon,3,4,2,1024,0.0035047535997874135,149.16302447858052,3.2375339807083714,155.50859108076892,796.2517190889807,True,1500
type_horizon,3,4,2,2048,0.0035047535997874135,149.1734508724254,3.2377663474236207,155.5194729133757,797.5622052421024,True,1500
type_horizon,3,4,4,512,0.0035047535997874135,146.2807483753971,3.285107164130218,152.71955841709234,797.2479472457178,True,1500
type_horizon,3,4,4,1024,0.0035047535997874135,146.3247990048781,3.286339124375904,152.76602368865485,798.5630263110968,True,1500
type_horizon,3,4,4,2048,0.0035047535997874135,146.32479900918105,3.2863391245278226,152.7660236932556,798.5640310018638,True,1500
type_horizon,3,4,8,512,0.0035047535997874135,147.43521302261328,3.1523138802956656,153.6137482279928,800.5716590104192,True,1500
type_horizon,3,4,8,1024,0.0035047535997874135,147.43521302272632,3.1523138802990256,153.6137482281124,800.572670743458,True,1500
type_horizon,3,4,8,2048,0.0035047535997874135,147.43521302272632,3.1523138802990256,153.6137482281124,800.5726707440476,True,1500
type_horizon,3,6,1,512,0.0035047535997874135,141.7595164138536,2.273793812989347,146.2161522873127,512.0,True,1500
type_horizon,3,6,1,1024,0.0035047535997874135,158.04081183482882,3.173649726880256,164.26116529951412,903.9393740277644,True,1500
type_horizon,3,6,1,2048,0.0035047535997874135,160.20396964696008,3.396898633820819,166.8618909692489,997.9886080428664,True,1500
type_horizon,3,6,2,512,0.0035047535997874135,158.01085007884888,2.9361023167552798,163.76561061968923,904.269296315575,True,1500
type_horizon,3,6,2,1024,0.0035047535997874135,160.20630270233025,3.1593082410623263,166.3985468548124,998.4833398577126,True,1500
type_horizon,3,6,2,2048,0.0035047535997874135,160.24146374353424,3.1613163974584126,166.43764388255272,1001.1583585161551,True,1500
type_horizon,3,6,4,512,0.0035047535997874135,162.8591803447495,3.4081819352984466,169.53921693793444,999.4733703063492,True,1500
type_horizon,3,6,4,1024,0.0035047535997874135,162.86885053113966,3.409764295461184,169.55198855024358,1002.1577642076782,True,1500
type_horizon,3,6,4,2048,0.0035047535997874135,162.86885053122697,3.409764295464742,169.55198855033785,1002.1598150241185,True,1500
type_horizon,3,6,8,512,0.0035047535997874135,162.62822900970968,3.1541731717051555,168.8104084262518,1004.151943399493,True,1500
type_horizon,3,6,8,1024,0.0035047535997874135,162.62822900972876,3.154173171706032,168.81040842627257,1004.1540085909106,True,1500
type_horizon,3,6,8,2048,0.0035047535997874135,162.62822900972876,3.154173171706032,168.81040842627257,1004.1540085921141,True,1500
type_horizon,3,8,1,512,0.0035047535997874135,145.51073363676073,2.0816049210479783,149.59067928201478,512.0,True,1500
type_horizon,3,8,1,1024,0.0035047535997874135,161.6522575866126,2.915149038390708,167.36594970185837,981.3489780933855,True,1500
type_horizon,3,8,1,2048,0.0035047535997874135,163.63957503580338,3.0775210486620206,169.67151629118092,1133.387159705338,True,1500
type_horizon,3,8,2,512,0.0035047535997874135,162.89065956657066,2.9640755316572833,168.70024760861892,981.5756460096673,True,1500
type_horizon,3,8,2,1024,0.0035047535997874135,164.38045817244398,3.0958315577886077,170.44828802570964,1133.8802555310567,True,1500
type_horizon,3,8,2,2048,0.0035047535997874135,164.3823194477311,3.096012364465968,170.45050368208442,1138.204639210166,True,1500
type_horizon,3,8,4,512,0.0035047535997874135,167.2187167491969,3.2995981993063097,173.68592921983725,1134.8681723263828,True,1500
type_horizon,3,8,4,1024,0.0035047535997874135,167.22895602256045,3.3007724515228745,173.69847002754528,1139.207711842704,True,1500
type_horizon,3,8,4,2048,0.0035047535997874135,167.2289560225928,3.3007724515239936,173.69847002757982,1139.211027153091,True,1500
type_horizon,3,8,8,512,0.0035047535997874135,166.97141712605128,3.318079167059799,173.47485229348848,1141.1945138128644,True,1500
type_horizon,3,8,8,1024,0.0035047535997874135,166.97141712607188,3.3180791670596044,173.47485229350872,1141.1978523615628,True,1500
type_horizon,3,8,8,2048,0.0035047535997874135,166.97141712607188,3.3180791670596044,173.47485229350872,1141.1978523635084,True,1500
type_horizon,3,12,1,512,0.0035047535997874135,158.11921572055562,2.122828802159596,162.27996017278844,512.0,True,1500
type_horizon,3,12,1,1024,0.0035047535997874135,176.7085048943478,3.0676428841233134,182.7210849472295,1024.0,True,1500
type_horizon,3,12,1,2048,0.0035047535997874135,179.99804464002412,3.3633127486868895,186.59013762745042,1316.201068200899,True,1500
type_horizon,3,12,2,512,0.0035047535997874135,173.32051719301074,3.1626413487630067,179.51929423658623,1024.0,True,1500
type_horizon,3,12,2,1024,0.0035047535997874135,175.85664113010517,3.4146604609987095,182.54937563366263,1316.6861677574461,True,1500
type_horizon,3,12,2,2048,0.0035047535997874135,175.85973506271066,3.414797347822956,182.55273786444366,1325.0088726234612,True,1500
type_horizon,3,12,4,512,0.0035047535997874135,178.1285925919433,3.6102495182647694,185.20468164774223,1317.6558806294845,True,1500
