sweep,n,m,method,seeds,K,beta,rho_hat,final_regret_mean,final_regret_sem,median_burn_in_all_agents,burn_in_censored_seeds,median_agent_burn_in,storage_entries,storage_theoretical_bytes,storage_allocated_bytes,planner_ms_mean,planner_ms_sem,update_us_per_event_mean,update_us_per_event_sem,planner_feasible,joint_feasible,feasible,cap_rule
s1_population_m4,7,4,pact,10,50,0.25,9.419005153610271e-08,0.0,0.0,8.0,0,8.0,28,224,224,0.3303476,0.03721869638918456,1.1455142857142855,0.04641664232224239,True,True,True,none
s1_population_m4,7,4,pact_plus,10,50,0.25,9.419005153610271e-08,0.0,0.0,8.0,0,8.0,28,224,224,6.6370426,0.06410927185646716,4.296828571428571,0.057728918205860465,True,True,True,none
s1_population_m4,7,4,joint_psrl_uniform,10,50,0.25,9.419005153610271e-08,0.0,0.0,8.0,0,8.0,16384,131072,131072,0.3303476,0.03721869638918456,42.9323142494208,1.084708359321501,True,True,True,none
s1_population_m4,7,4,psrl_notype,10,50,0.25,9.419005153610271e-08,0.0,0.0,nan,10,nan,28,224,224,2.5627116,0.0316191056948289,0.0,0.0,True,True,True,none
s1_population_m4,8,4,oracle,10,50,0.25,3.721461408034976e-06,0.0,0.0,nan,10,nan,0,0,0,21.885279999999998,0.0836943945468101,0.0,0.0,True,True,True,none
s1_population_m4,8,4,pact,10,50,0.25,3.721461408034976e-06,0.0,0.0,8.0,0,8.0,32,256,256,3.3897665999999997,0.4031743954089788,1.9053249999999997,0.08544584336318585,True,True,True,none
s1_population_m4,8,4,pact_plus,10,50,0.25,3.721461408034976e-06,0.0,0.0,8.0,0,8.0,32,256,256,50.742093399999995,0.20058516915255922,4.725625,0.03319042485950894,True,True,True,none
s1_population_m4,8,4,joint_psrl_uniform,10,50,0.25,3.721461408034976e-06,0.0,0.0,8.0,0,8.0,65536,524288,524288,3.3897665999999997,0.4031743954089788,136.42300019273534,2.2808777651487553,True,True,True,none
s1_population_m4,8,4,psrl_notype,10,50,0.25,3.721461408034976e-06,0.0,0.0,nan,10,nan,32,256,256,21.9968302,0.30073227901223987,0.0,0.0,True,True,True,none
s1_population_m4,9,4,oracle,10,50,0.25,7.294051330375417e-06,0.0,0.0,nan,10,nan,0,0,0,126.33471000000002,0.21625312275201952,0.0,0.0,True,True,True,none
s1_population_m4,9,4,pact,10,50,0.25,7.294051330375417e-06,0.0,0.0,8.0,0,8.0,36,288,288,17.1004866,1.9325964269433153,1.3444666666666665,0.09887789500032948,True,True,True,none
s1_population_m4,9,4,pact_plus,10,50,0.25,7.294051330375417e-06,0.0,0.0,8.0,0,8.0,36,288,288,310.465224,1.4251267362457463,4.730733333333333,0.06295361573205373,True,True,True,none
s1_population_m4,9,4,joint_psrl_uniform,10,50,0.25,7.294051330375417e-06,0.0,0.0,8.0,0,8.0,262144,2097152,2097152,17.1004866,1.9325964269433153,1295.9171111902428,26.144086604171576,True,True,True,none
s1_population_m4,9,4,psrl_notype,10,50,0.25,7.294051330375417e-06,0.0,0.0,nan,10,nan,36,288,288,125.0291642,1.0450286128309538,0.0,0.0,True,True,True,none
s1_population_m4,10,4,oracle,10,50,0.25,7.294051330375417e-06,0.0,0.0,nan,10,nan,0,0,0,708.3639199999999,1.3634644241222034,0.0,0.0,True,True,True,none
s1_population_m4,10,4,pact,10,50,0.25,7.294051330375417e-06,0.0,0.0,8.0,0,3.0,40,320,320,90.90946360000001,10.533828261242553,1.104,0.06255126314505634,True,True,True,none
s1_population_m4,10,4,pact_plus,10,50,0.25,7.294051330375417e-06,0.0,0.0,8.0,0,3.0,40,320,320,2186.2525848,23.726946258211015,5.606059999999999,0.0848093591982349,True,True,True,none
s1_population_m4,10,4,joint_psrl_uniform,10,50,0.25,7.294051330375417e-06,0.0,0.0,8.0,0,3.0,1048576,8388608,8388608,90.90946360000001,10.533828261242553,10342.370839917567,222.43442619744286,True,True,True,none
s1_population_m4,10,4,psrl_notype,10,50,0.25,7.294051330375417e-06,0.0,0.0,nan,10,nan,40,320,320,1051.5152765999999,8.593688291488439,0.0,0.0,True,True,True,none
s2_library_n3,3,4,oracle,10,50,0.25,7.294051330375417e-06,0.0,0.0,nan,10,nan,0,0,0,0.0064600000000000005,8.80471726361411e-05,0.0,0.0,True,True,True,none
s2_library_n3,3,4,pact,10,50,0.25,7.294051330375417e-06,0.0,0.0,8.0,0,8.0,12,96,96,0.0129042,0.00040923135917309824,2.0282,0.07119569631901002,True,True,True,none
s2_library_n3,3,4,pact_plus,10,50,0.25,7.294051330375417e-06,0.0,0.0,8.0,0,8.0,12,96,96,0.042898,0.000904556264735447,2.0876666666666663,0.056177841715391655,True,True,True,none
s2_library_n3,3,4,joint_psrl_uniform,10,50,0.25,7.294051330375417e-06,0.0,0.0,8.0,0,8.0,64,512,512,0.0129042,0.00040923135917309824,7.270133083996674,0.14601940058801338,True,True,True,none
s2_library_n3,3,4,psrl_notype,10,50,0.25,7.294051330375417e-06,0.0,0.0,nan,10,nan,12,96,96,0.0125048,0.00029426698768309054,0.0,0.0,True,True,True,none
s2_library_n3,3,8,oracle,10,50,0.25,0.005359387236888669,0.0,0.0,nan,10,nan,0,0,0,0.0437,0.00044865418883849133,0.0,0.0,True,True,True,none
