config_id,config_label,domain,backbone,seed,method,episode,instant_regret,cumulative_regret,chosen_action,oracle_action,objective_value,oracle_value,posterior_true_mass,true_types,n_agents,type_count,factored_storage,joint_storage
pub/london,Pub: london,pub,exact-payoff (backbone-invariant),1000,pact_plus,10,0.0,0.0,0,0,3.6126647253263613,3.6126647253263613,0.4877070330886716,3|2|2|0,4,4,16,256
pub/london,Pub: london,pub,exact-payoff (backbone-invariant),1000,pact_plus,11,0.0,0.0,0,0,3.6126647253263613,3.6126647253263613,0.49954575984841204,3|2|2|0,4,4,16,256
pub/london,Pub: london,pub,exact-payoff (backbone-invariant),1000,pact_plus,12,0.0,0.0,0,0,3.6126647253263613,3.6126647253263613,0.5104084040901429,3|2|2|0,4,4,16,256
pub/london,Pub: london,pub,exact-payoff (backbone-invariant),1000,pact_plus,13,0.0,0.0,0,0,3.6126647253263613,3.6126647253263613,0.5205095946052969,3|2|2|0,4,4,16,256
pub/london,Pub: london,pub,exact-payoff (backbone-invariant),1000,pact_plus,14,0.0,0.0,0,0,3.6126647253263613,3.6126647253263613,0.5300182204897211,3|2|2|0,4,4,16,256
pub/london,Pub: london,pub,exact-payoff (backbone-invariant),1000,pact_plus,15,0.0,0.0,0,0,3.6126647253263613,3.6126647253263613,0.5390643194403006,3|2|2|0,4,4,16,256
pub/london,Pub: london,pub,exact-payoff (backbone-invariant),1000,pact_plus,16,0.0,0.0,0,0,3.6126647253263613,3.6126647253263613,0.5477463382407392,3|2|2|0,4,4,16,256
pub/london,Pub: london,pub,exact-payoff (backbone-invariant),1000,pact_plus,17,0.0,0.0,0,0,3.6126647253263613,3.6126647253263613,0.5561377306251354,3|2|2|0,4,4,16,256
pub/london,Pub: london,pub,exact-payoff (backbone-invariant),1000,pact_plus,18,0.0,0.0,0,0,3.6126647253263613,3.6126647253263613,0.5642925297970436,3|2|2|0,4,4,16,256
pub/london,Pub: london,pub,exact-payoff (backbone-invariant),1000,pact_plus,19,0.0,0.0,0,0,3.6126647253263613,3.6126647253263613,0.5722498659120914,3|2|2|0,4,4,16,256
pub/london,Pub: london,pub,exact-payoff (backbone-invariant),1000,pact_plus,20,0.0,0.0,0,0,3.6126647253263613,3.6126647253263613,0.5800375405964127,3|2|2|0,4,4,16,256
pub/london,Pub: london,pub,exact-payoff (backbone-invariant),1000,joint_psrl_uniform,1,0.0,0.0,0,0,3.6126647253263613,3.6126647253263613,0.006545213481078635,3|2|2|0,4,4,16,256
pub/london,Pub: london,pub,exact-payoff (backbone-invariant),1000,joint_psrl_uniform,2,0.0,0.0,0,0,3.6126647253263613,3.6126647253263613,0.009317459803753054,3|2|2|0,4,4,16,256
pub/london,Pub: london,pub,exact-payoff (backbone-invariant),1000,joint_psrl_uniform,3,0.0,0.0,0,0,3.6126647253263613,3.6126647253263613,0.012212506075637643,3|2|2|0,4,4,16,256
pub/london,Pub: london,pub,exact-payoff (backbone-invariant),1000,joint_psrl_uniform,4,0.0,0.0,0,0,3.6126647253263613,3.6126647253263613,0.01526409243290161,3|2|2|0,4,4,16,256
pub/london,Pub: london,pub,exact-payoff (backbone-invariant),1000,joint_psrl_uniform,5,0.0,0.0,0,0,3.6126647253263613,3.6126647253263613,0.018462375103170645,3|2|2|0,4,4,16,256
pub/london,Pub: london,pub,exact-payoff (backbone-invariant),1000,joint_psrl_uniform,6,0.0,0.0,0,0,3.6126647253263613,3.6126647253263613,0.021776643209726703,3|2|2|0,4,4,16,256
pub/london,Pub: london,pub,exact-payoff (backbone-invariant),1000,joint_psrl_uniform,7,0.0,0.0,0,0,3.6126647253263613,3.6126647253263613,0.025179112309934838,3|2|2|0,4,4,16,256
pub/london,Pub: london,pub,exact-payoff (backbone-invariant),1000,joint_psrl_uniform,8,0.0,0.0,0,0,3.6126647253263613,3.6126647253263613,0.028653768269429922,3|2|2|0,4,4,16,256
pub/london,Pub: london,pub,exact-payoff (backbone-invariant),1000,joint_psrl_uniform,9,0.0,0.0,0,0,3.6126647253263613,3.6126647253263613,0.03219611318194572,3|2|2|0,4,4,16,256
pub/london,Pub: london,pub,exact-payoff (backbone-invariant),1000,joint_psrl_uniform,10,0.0,0.0,0,0,3.6126647253263613,3.6126647253263613,0.03580969860118441,3|2|2|0,4,4,16,256
pub/london,Pub: london,pub,exact-payoff (backbone-invariant),1000,joint_psrl_uniform,11,0.0,0.0,0,0,3.6126647253263613,3.6126647253263613,0.03950248731205239,3|2|2|0,4,4,16,256
pub/london,Pub: london,pub,exact-payoff (backbone-invariant),1000,joint_psrl_uniform,12,0.0,0.0,0,0,3.6126647253263613,3.6126647253263613,0.043284092987686935,3|2|2|0,4,4,16,256
pub/london,Pub: london,pub,exact-payoff (backbone-invariant),1000,joint_psrl_uniform,13,0.0,0.0,0,0,3.6126647253263613,3.6126647253263613,0.04716400167101389,3|2|2|0,4,4,16,256
pub/london,Pub: london,pub,exact-payoff (backbone-invariant),1000,joint_psrl_uniform,14,0.0,0.0,0,0,3.6126647253263613,3.6126647253263613,0.051150560930467055,3|2|2|0,4,4,16,256
