pax,pos,t,event,veh_id
0,45014331,0,STARTS_DAY,
0,45014331,0,REQUESTS_RIDE,
0,45014331,92,RECEIVES_OFFER,
0,45014331,92,ACCEPTS_OFFER,
0,45014331,112,ARRIVES_AT_PICKUP,5.0
0,45014331,277,MEETS_DRIVER_AT_PICKUP,5.0
0,45014331,307,DEPARTS_FROM_PICKUP,5.0
0,44988801,546,ARRIVES_AT_DROPOFF,5.0
0,44988801,556,SETS_OFF_FOR_DEST,
0,44988801,556,ARRIVES_AT_DEST,
1,552348325,0,STARTS_DAY,
1,552348325,49,REQUESTS_RIDE,
1,552348325,92,RECEIVES_OFFER,
1,552348325,92,ACCEPTS_OFFER,
1,552348325,112,ARRIVES_AT_PICKUP,6.0
1,552348325,114,MEETS_DRIVER_AT_PICKUP,6.0
1,552348325,144,DEPARTS_FROM_PICKUP,6.0
1,45014758,246,ARRIVES_AT_DROPOFF,6.0
1,45014758,256,SETS_OFF_FOR_DEST,
1,45014758,256,ARRIVES_AT_DEST,
2,45036680,0,STARTS_DAY,
2,45036680,123,REQUESTS_RIDE,
2,45036680,212,RECEIVES_OFFER,
2,45036680,212,REJECTS_OFFER,
3,45032191,0,STARTS_DAY,
3,45032191,133,REQUESTS_RIDE,
3,45032191,212,RECEIVES_OFFER,
3,45032191,212,ACCEPTS_OFFER,
3,45032191,232,ARRIVES_AT_PICKUP,4.0
3,45032191,330,MEETS_DRIVER_AT_PICKUP,4.0
3,45032191,360,DEPARTS_FROM_PICKUP,4.0
3,44990927,556,ARRIVES_AT_DROPOFF,4.0
3,44990927,566,SETS_OFF_FOR_DEST,
3,44990927,566,ARRIVES_AT_DEST,
4,45032662,0,STARTS_DAY,
4,45032662,224,REQUESTS_RIDE,
4,45032662,332,RECEIVES_OFFER,
4,45032662,332,ACCEPTS_OFFER,
4,45032662,352,ARRIVES_AT_PICKUP,6.0
4,45032662,480,MEETS_DRIVER_AT_PICKUP,6.0
4,45032662,510,DEPARTS_FROM_PICKUP,6.0
4,4290089183,743,ARRIVES_AT_DROPOFF,6.0
4,4290089183,753,SETS_OFF_FOR_DEST,
4,4290089183,753,ARRIVES_AT_DEST,
5,44994696,0,STARTS_DAY,
5,44994696,251,REQUESTS_RIDE,
5,44994696,332,RECEIVES_OFFER,
5,44994696,332,ACCEPTS_OFFER,
5,44994696,352,ARRIVES_AT_PICKUP,8.0
5,44994696,384,MEETS_DRIVER_AT_PICKUP,8.0
5,44994696,414,DEPARTS_FROM_PICKUP,8.0
5,44996092,493,ARRIVES_AT_DROPOFF,8.0
5,44996092,503,SETS_OFF_FOR_DEST,
5,44996092,503,ARRIVES_AT_DEST,
6,44981315,0,STARTS_DAY,
6,44981315,262,REQUESTS_RIDE,
6,44981315,332,RECEIVES_OFFER,
6,44981315,332,IS_REJECTED_BY_VEHICLE,
6,44981315,332,RECEIVES_OFFER,
6,44981315,332,IS_REJECTED_BY_VEHICLE,
6,44981315,332,RECEIVES_OFFER,
6,44981315,332,ACCEPTS_OFFER,
6,44981315,352,ARRIVES_AT_PICKUP,1.0
6,44981315,623,MEETS_DRIVER_AT_PICKUP,1.0
6,44981315,653,DEPARTS_FROM_PICKUP,1.0
6,1432312427,954,ARRIVES_AT_DROPOFF,1.0
6,1432312427,964,SETS_OFF_FOR_DEST,
6,1432312427,964,ARRIVES_AT_DEST,
7,1130072619,0,STARTS_DAY,
7,1130072619,320,REQUESTS_RIDE,
7,1130072619,332,RECEIVES_OFFER,
7,1130072619,335,ACCEPTS_OFFER,
7,1130072619,355,ARRIVES_AT_PICKUP,2.0
7,1130072619,420,MEETS_DRIVER_AT_PICKUP,2.0
7,1130072619,450,DEPARTS_FROM_PICKUP,2.0
7,1631846303,605,ARRIVES_AT_DROPOFF,2.0
