pax,pos,t,event,veh_id
0,44972639,0,STARTS_DAY,
0,44972639,0,REQUESTS_RIDE,
0,44972639,70,RECEIVES_OFFER,
0,44972639,70,ACCEPTS_OFFER,
0,44972639,90,ARRIVES_AT_PICKUP,7.0
0,44972639,117,MEETS_DRIVER_AT_PICKUP,7.0
0,44972639,147,DEPARTS_FROM_PICKUP,7.0
0,5040974840,284,ARRIVES_AT_DROPOFF,7.0
0,5040974840,294,SETS_OFF_FOR_DEST,
0,5040974840,294,ARRIVES_AT_DEST,
1,45029511,0,STARTS_DAY,
1,45029511,80,REQUESTS_RIDE,
1,45029511,190,RECEIVES_OFFER,
1,45029511,190,ACCEPTS_OFFER,
1,45029511,210,ARRIVES_AT_PICKUP,8.0
1,45029511,259,MEETS_DRIVER_AT_PICKUP,8.0
1,45029511,289,DEPARTS_FROM_PICKUP,8.0
1,44982387,442,ARRIVES_AT_DROPOFF,8.0
1,44982387,452,SETS_OFF_FOR_DEST,
1,44982387,452,ARRIVES_AT_DEST,
2,1432078770,0,STARTS_DAY,
2,1432078770,148,REQUESTS_RIDE,
2,1432078770,190,RECEIVES_OFFER,
2,1432078770,190,ACCEPTS_OFFER,
2,1432078770,210,ARRIVES_AT_PICKUP,6.0
2,1432078770,217,MEETS_DRIVER_AT_PICKUP,6.0
2,1432078770,247,DEPARTS_FROM_PICKUP,6.0
2,45017583,482,ARRIVES_AT_DROPOFF,6.0
2,45017583,492,SETS_OFF_FOR_DEST,
2,45017583,492,ARRIVES_AT_DEST,
3,44984373,0,STARTS_DAY,
3,44984373,247,REQUESTS_RIDE,
3,44984373,310,RECEIVES_OFFER,
3,44984373,310,ACCEPTS_OFFER,
3,44984373,330,ARRIVES_AT_PICKUP,4.0
3,44984373,368,MEETS_DRIVER_AT_PICKUP,4.0
3,44984373,398,DEPARTS_FROM_PICKUP,4.0
3,44977415,477,ARRIVES_AT_DROPOFF,4.0
3,44977415,487,SETS_OFF_FOR_DEST,
3,44977415,487,ARRIVES_AT_DEST,
4,45020106,0,STARTS_DAY,
4,45020106,322,REQUESTS_RIDE,
4,45020106,430,RECEIVES_OFFER,
4,45020106,430,REJECTS_OFFER,
5,520837264,0,STARTS_DAY,
5,520837264,474,REQUESTS_RIDE,
5,520837264,550,RECEIVES_OFFER,
5,520837264,550,ACCEPTS_OFFER,
5,520837264,570,ARRIVES_AT_PICKUP,1.0
5,520837264,618,MEETS_DRIVER_AT_PICKUP,1.0
5,520837264,648,DEPARTS_FROM_PICKUP,1.0
5,44985747,789,ARRIVES_AT_DROPOFF,1.0
5,44985747,799,SETS_OFF_FOR_DEST,
5,44985747,799,ARRIVES_AT_DEST,
6,4818737407,0,STARTS_DAY,
6,4818737407,511,REQUESTS_RIDE,
6,4818737407,550,RECEIVES_OFFER,
6,4818737407,550,ACCEPTS_OFFER,
6,4818737407,570,ARRIVES_AT_PICKUP,4.0
6,4818737407,650,MEETS_DRIVER_AT_PICKUP,4.0
6,4818737407,680,DEPARTS_FROM_PICKUP,4.0
6,1665808435,802,ARRIVES_AT_DROPOFF,4.0
6,1665808435,812,SETS_OFF_FOR_DEST,
6,1665808435,812,ARRIVES_AT_DEST,
7,44974245,0,STARTS_DAY,
7,44974245,626,REQUESTS_RIDE,
7,44974245,670,RECEIVES_OFFER,
7,44974245,670,ACCEPTS_OFFER,
7,44974245,690,ARRIVES_AT_PICKUP,3.0
7,44974245,690,MEETS_DRIVER_AT_PICKUP,3.0
7,44974245,720,DEPARTS_FROM_PICKUP,3.0
7,515765264,800,ARRIVES_AT_DROPOFF,3.0
7,515765264,810,SETS_OFF_FOR_DEST,
7,515765264,810,ARRIVES_AT_DEST,
8,44986206,0,STARTS_DAY,
8,44986206,685,REQUESTS_RIDE,
8,44986206,790,RECEIVES_OFFER,
8,44986206,790,ACCEPTS_OFFER,
8,44986206,810,ARRIVES_AT_PICKUP,8.0
