pax,pos,t,event,veh_id
0,515740406,0,STARTS_DAY,
0,515740406,0,REQUESTS_RIDE,
0,515740406,118,RECEIVES_OFFER,
0,515740406,118,REJECTS_OFFER,
1,522125215,0,STARTS_DAY,
1,522125215,75,REQUESTS_RIDE,
1,522125215,118,RECEIVES_OFFER,
1,522125215,118,ACCEPTS_OFFER,
1,522125215,138,ARRIVES_AT_PICKUP,4.0
1,522125215,138,MEETS_DRIVER_AT_PICKUP,4.0
1,522125215,168,DEPARTS_FROM_PICKUP,4.0
1,519520392,223,ARRIVES_AT_DROPOFF,4.0
1,519520392,233,SETS_OFF_FOR_DEST,
1,519520392,233,ARRIVES_AT_DEST,
2,441422924,0,STARTS_DAY,
2,441422924,111,REQUESTS_RIDE,
2,441422924,118,RECEIVES_OFFER,
2,441422924,118,IS_REJECTED_BY_VEHICLE,
2,441422924,118,RECEIVES_OFFER,
2,441422924,126,REJECTS_OFFER,
3,1552542887,0,STARTS_DAY,
3,1552542887,133,REQUESTS_RIDE,
3,1552542887,238,RECEIVES_OFFER,
3,1552542887,238,ACCEPTS_OFFER,
3,1552542887,258,ARRIVES_AT_PICKUP,5.0
3,1552542887,392,MEETS_DRIVER_AT_PICKUP,5.0
3,1552542887,422,DEPARTS_FROM_PICKUP,5.0
3,45011501,609,ARRIVES_AT_DROPOFF,5.0
3,45011501,619,SETS_OFF_FOR_DEST,
3,45011501,619,ARRIVES_AT_DEST,
4,2502729222,0,STARTS_DAY,
4,2502729222,137,REQUESTS_RIDE,
4,2502729222,238,RECEIVES_OFFER,
4,2502729222,238,ACCEPTS_OFFER,
4,2502729222,258,ARRIVES_AT_PICKUP,7.0
4,2502729222,258,MEETS_DRIVER_AT_PICKUP,7.0
4,2502729222,288,DEPARTS_FROM_PICKUP,7.0
4,1402795354,467,ARRIVES_AT_DROPOFF,7.0
4,1402795354,477,SETS_OFF_FOR_DEST,
4,1402795354,477,ARRIVES_AT_DEST,
5,1432312440,0,STARTS_DAY,
