seed,n,lambda,events,joint_entries,factored_entries,storage_ratio,oracle_utility,source_scheme,environment_index,evidence_stream,driver_reject_penalty,tracker,utility,max_tv,update_wallclock_s,wallclock,mean_update_us,p95_update_us,peak_mem_bytes,peak_mem,belief_entries,snapshots,assignments,served,driver_rejects,passenger_rejects,sampling_rng_seed
0,8,0.5,56,4294967296,128,33554432.0,34.12,closed-loop regeneration by fleet size,0,nearest-policy saved assignment events; identical order across trackers,2.0,factored,-3.129999999999999,nan,0.0008623,0.0008623,15.398214285714285,27.3,1024,1024,128,39,56,24,17,15,190500
1,8,0.5,62,4294967296,128,33554432.0,43.09000000000001,closed-loop regeneration by fleet size,1,nearest-policy saved assignment events; identical order across trackers,2.0,factored,3.8000000000000007,nan,0.0004681,0.0004681,7.550000000000001,13.889999999999999,1024,1024,128,40,62,25,21,16,190501
2,8,0.5,49,4294967296,128,33554432.0,64.61000000000001,closed-loop regeneration by fleet size,2,nearest-policy saved assignment events; identical order across trackers,2.0,factored,18.94,nan,0.0003905,0.0003905,7.96938775510204,14.899999999999995,1024,1024,128,32,49,27,12,10,190502
3,8,0.5,54,4294967296,128,33554432.0,54.57000000000001,closed-loop regeneration by fleet size,3,nearest-policy saved assignment events; identical order across trackers,2.0,factored,13.690000000000001,nan,0.0004382,0.0004382,8.114814814814814,21.539999999999996,1024,1024,128,35,54,26,11,17,190503
4,8,0.5,83,4294967296,128,33554432.0,-22.63999999999999,closed-loop regeneration by fleet size,4,nearest-policy saved assignment events; identical order across trackers,2.0,factored,-70.43,nan,0.0007068,0.0007068,8.515662650602408,20.77,1024,1024,128,45,76,19,50,7,190504
5,8,0.5,75,4294967296,128,33554432.0,16.969999999999995,closed-loop regeneration by fleet size,5,nearest-policy saved assignment events; identical order across trackers,2.0,factored,-20.34,nan,0.0008285,0.0008285,11.046666666666667,25.939999999999998,1024,1024,128,52,75,29,29,17,190505
6,8,0.5,60,4294967296,128,33554432.0,30.460000000000008,closed-loop regeneration by fleet size,6,nearest-policy saved assignment events; identical order across trackers,2.0,factored,-5.279999999999998,nan,0.0004718,0.0004718,7.863333333333333,20.315,1024,1024,128,32,61,25,28,8,190506
7,8,0.5,66,4294967296,128,33554432.0,8.700000000000008,closed-loop regeneration by fleet size,7,nearest-policy saved assignment events; identical order across trackers,2.0,factored,-54.88,nan,0.0004194,0.0004194,6.354545454545455,10.925,1024,1024,128,36,64,17,43,4,190507
8,8,0.5,99,4294967296,128,33554432.0,-47.68000000000001,closed-loop regeneration by fleet size,8,nearest-policy saved assignment events; identical order across trackers,2.0,factored,-86.05,nan,0.0009928,0.0009928,10.028282828282828,18.24,1024,1024,128,64,92,22,64,6,190508
9,8,0.5,52,4294967296,128,33554432.0,81.14999999999999,closed-loop regeneration by fleet size,9,nearest-policy saved assignment events; identical order across trackers,2.0,factored,36.74,nan,0.0003134,0.0003134,6.026923076923077,10.724999999999998,1024,1024,128,31,52,31,11,10,190509
