model,alpha,seed,algorithm,episode,instant_regret,cumulative_regret,chosen_action,oracle_action,chosen_welfare,oracle_welfare,posterior_true_mass,true_types
DeepSeek-V3.2-live,0.0,40000,pact_factored,43,0.0,1.85,13,13,2.85,2.85,0.9999999999989999,3|2|3
DeepSeek-V3.2-live,0.0,40000,pact_factored,44,0.0,1.85,13,13,2.85,2.85,0.9999999999989999,3|2|3
DeepSeek-V3.2-live,0.0,40000,pact_factored,45,0.0,1.85,13,13,2.85,2.85,0.9999999999989999,3|2|3
DeepSeek-V3.2-live,0.0,40000,pact_factored,46,0.0,1.85,13,13,2.85,2.85,0.9999999999989999,3|2|3
DeepSeek-V3.2-live,0.0,40000,pact_factored,47,0.0,1.85,13,13,2.85,2.85,0.9999999999989999,3|2|3
DeepSeek-V3.2-live,0.0,40000,pact_factored,48,0.0,1.85,13,13,2.85,2.85,0.9999999999989999,3|2|3
DeepSeek-V3.2-live,0.0,40000,pact_factored,49,0.0,1.85,13,13,2.85,2.85,0.9999999999989999,3|2|3
DeepSeek-V3.2-live,0.0,40000,pact_factored,50,0.0,1.85,13,13,2.85,2.85,0.9999999999989999,3|2|3
DeepSeek-V3.2-live,0.0,40000,pact_factored,51,0.0,1.85,13,13,2.85,2.85,0.9999999999989999,3|2|3
DeepSeek-V3.2-live,0.0,40000,pact_factored,52,0.0,1.85,13,13,2.85,2.85,0.9999999999989999,3|2|3
DeepSeek-V3.2-live,0.0,40000,pact_factored,53,0.0,1.85,13,13,2.85,2.85,0.9999999999989999,3|2|3
DeepSeek-V3.2-live,0.0,40000,pact_factored,54,0.0,1.85,13,13,2.85,2.85,0.9999999999989999,3|2|3
DeepSeek-V3.2-live,0.0,40000,pact_factored,55,0.0,1.85,13,13,2.85,2.85,0.9999999999989999,3|2|3
DeepSeek-V3.2-live,0.0,40000,pact_factored,56,0.0,1.85,13,13,2.85,2.85,0.9999999999989999,3|2|3
DeepSeek-V3.2-live,0.0,40000,pact_factored,57,0.0,1.85,13,13,2.85,2.85,0.9999999999989999,3|2|3
DeepSeek-V3.2-live,0.0,40000,pact_factored,58,0.0,1.85,13,13,2.85,2.85,0.9999999999989999,3|2|3
DeepSeek-V3.2-live,0.0,40000,pact_factored,59,0.0,1.85,13,13,2.85,2.85,0.9999999999989999,3|2|3
DeepSeek-V3.2-live,0.0,40000,pact_factored,60,0.0,1.85,13,13,2.85,2.85,0.9999999999989999,3|2|3
DeepSeek-V3.2-live,0.0,40000,pact_factored,61,0.0,1.85,13,13,2.85,2.85,0.9999999999989999,3|2|3
DeepSeek-V3.2-live,0.0,40000,pact_factored,62,0.0,1.85,13,13,2.85,2.85,0.9999999999989999,3|2|3
DeepSeek-V3.2-live,0.0,40000,pact_factored,63,0.0,1.85,13,13,2.85,2.85,0.9999999999989999,3|2|3
DeepSeek-V3.2-live,0.0,40000,pact_factored,64,0.0,1.85,13,13,2.85,2.85,0.9999999999989999,3|2|3
DeepSeek-V3.2-live,0.0,40000,pact_factored,65,0.0,1.85,13,13,2.85,2.85,0.9999999999989999,3|2|3
DeepSeek-V3.2-live,0.0,40000,pact_factored,66,0.0,1.85,13,13,2.85,2.85,0.9999999999989999,3|2|3
DeepSeek-V3.2-live,0.0,40000,pact_factored,67,0.0,1.85,13,13,2.85,2.85,0.9999999999989999,3|2|3
DeepSeek-V3.2-live,0.0,40000,pact_factored,68,0.0,1.85,13,13,2.85,2.85,0.9999999999989999,3|2|3
DeepSeek-V3.2-live,0.0,40000,pact_factored,69,0.0,1.85,13,13,2.85,2.85,0.9999999999989999,3|2|3
DeepSeek-V3.2-live,0.0,40000,pact_factored,70,0.0,1.85,13,13,2.85,2.85,0.9999999999989999,3|2|3
DeepSeek-V3.2-live,0.0,40000,pact_factored,71,0.0,1.85,13,13,2.85,2.85,0.9999999999989999,3|2|3
DeepSeek-V3.2-live,0.0,40000,pact_factored,72,0.0,1.85,13,13,2.85,2.85,0.9999999999989999,3|2|3
DeepSeek-V3.2-live,0.0,40000,pact_factored,73,0.0,1.85,13,13,2.85,2.85,0.9999999999989999,3|2|3
DeepSeek-V3.2-live,0.0,40000,pact_factored,74,0.0,1.85,13,13,2.85,2.85,0.9999999999989999,3|2|3
DeepSeek-V3.2-live,0.0,40000,pact_factored,75,0.0,1.85,13,13,2.85,2.85,0.9999999999989999,3|2|3
DeepSeek-V3.2-live,0.0,40000,pact_factored,76,0.0,1.85,13,13,2.85,2.85,0.9999999999989999,3|2|3
DeepSeek-V3.2-live,0.0,40000,pact_factored,77,0.0,1.85,13,13,2.85,2.85,0.9999999999989999,3|2|3
DeepSeek-V3.2-live,0.0,40000,pact_factored,78,0.0,1.85,13,13,2.85,2.85,0.9999999999989999,3|2|3
DeepSeek-V3.2-live,0.0,40000,pact_factored,79,0.0,1.85,13,13,2.85,2.85,0.9999999999989999,3|2|3
DeepSeek-V3.2-live,0.0,40000,pact_factored,80,0.0,1.85,13,13,2.85,2.85,0.9999999999989999,3|2|3
DeepSeek-V3.2-live,0.0,40000,pact_factored,81,0.0,1.85,13,13,2.85,2.85,0.9999999999989999,3|2|3
DeepSeek-V3.2-live,0.0,40000,pact_factored,82,0.0,1.85,13,13,2.85,2.85,0.9999999999989999,3|2|3
DeepSeek-V3.2-live,0.0,40000,pact_factored,83,0.0,1.85,13,13,2.85,2.85,0.9999999999989999,3|2|3
DeepSeek-V3.2-live,0.0,40000,pact_factored,84,0.0,1.85,13,13,2.85,2.85,0.9999999999989999,3|2|3
DeepSeek-V3.2-live,0.0,40000,pact_factored,85,0.0,1.85,13,13,2.85,2.85,0.9999999999989999,3|2|3
DeepSeek-V3.2-live,0.0,40000,pact_factored,86,0.0,1.85,13,13,2.85,2.85,0.9999999999989999,3|2|3
DeepSeek-V3.2-live,0.0,40000,pact_factored,87,0.0,1.85,13,13,2.85,2.85,0.9999999999989999,3|2|3
DeepSeek-V3.2-live,0.0,40000,pact_factored,88,0.0,1.85,13,13,2.85,2.85,0.9999999999989999,3|2|3
DeepSeek-V3.2-live,0.0,40000,pact_factored,89,0.0,1.85,13,13,2.85,2.85,0.9999999999989999,3|2|3
DeepSeek-V3.2-live,0.0,40000,pact_factored,90,0.0,1.85,13,13,2.85,2.85,0.9999999999989999,3|2|3
DeepSeek-V3.2-live,0.0,40000,pact_factored,91,0.0,1.85,13,13,2.85,2.85,0.9999999999989999,3|2|3
DeepSeek-V3.2-live,0.0,40000,pact_factored,92,0.0,1.85,13,13,2.85,2.85,0.9999999999989999,3|2|3
DeepSeek-V3.2-live,0.0,40000,pact_factored,93,0.0,1.85,13,13,2.85,2.85,0.9999999999989999,3|2|3
DeepSeek-V3.2-live,0.0,40000,pact_factored,94,0.0,1.85,13,13,2.85,2.85,0.9999999999989999,3|2|3
DeepSeek-V3.2-live,0.0,40000,pact_factored,95,0.0,1.85,13,13,2.85,2.85,0.9999999999989999,3|2|3
DeepSeek-V3.2-live,0.0,40000,pact_factored,96,0.0,1.85,13,13,2.85,2.85,0.9999999999989999,3|2|3
DeepSeek-V3.2-live,0.0,40000,pact_factored,97,0.0,1.85,13,13,2.85,2.85,0.9999999999989999,3|2|3
DeepSeek-V3.2-live,0.0,40000,pact_factored,98,0.0,1.85,13,13,2.85,2.85,0.9999999999989999,3|2|3
DeepSeek-V3.2-live,0.0,40000,pact_factored,99,0.0,1.85,13,13,2.85,2.85,0.9999999999989999,3|2|3
DeepSeek-V3.2-live,0.0,40000,pact_factored,100,0.0,1.85,13,13,2.85,2.85,0.9999999999989999,3|2|3
DeepSeek-V3.2-live,0.0,40000,joint_psrl_coupled,1,1.85,1.85,26,13,1.0,2.85,0.43851745727091707,3|2|3
DeepSeek-V3.2-live,0.0,40000,joint_psrl_coupled,2,0.0,1.85,13,13,2.85,2.85,0.8606252272921355,3|2|3
DeepSeek-V3.2-live,0.0,40000,joint_psrl_coupled,3,0.0,1.85,13,13,2.85,2.85,0.9752877563727372,3|2|3
DeepSeek-V3.2-live,0.0,40000,joint_psrl_coupled,4,0.0,1.85,13,13,2.85,2.85,0.9957626990155467,3|2|3
DeepSeek-V3.2-live,0.0,40000,joint_psrl_coupled,5,0.0,1.85,13,13,2.85,2.85,0.9992718087735769,3|2|3
DeepSeek-V3.2-live,0.0,40000,joint_psrl_coupled,6,0.0,1.85,13,13,2.85,2.85,0.9998745875399458,3|2|3
DeepSeek-V3.2-live,0.0,40000,joint_psrl_coupled,7,0.0,1.85,13,13,2.85,2.85,0.9999783835668214,3|2|3
DeepSeek-V3.2-live,0.0,40000,joint_psrl_coupled,8,0.0,1.85,13,13,2.85,2.85,0.9999962732159954,3|2|3
DeepSeek-V3.2-live,0.0,40000,joint_psrl_coupled,9,0.0,1.85,13,13,2.85,2.85,0.9999993574384571,3|2|3
DeepSeek-V3.2-live,0.0,40000,joint_psrl_coupled,10,0.0,1.85,13,13,2.85,2.85,0.9999998892092489,3|2|3
DeepSeek-V3.2-live,0.0,40000,joint_psrl_coupled,11,0.0,1.85,13,13,2.85,2.85,0.9999999808973083,3|2|3
DeepSeek-V3.2-live,0.0,40000,joint_psrl_coupled,12,0.0,1.85,13,13,2.85,2.85,0.99999999670628,3|2|3
DeepSeek-V3.2-live,0.0,40000,joint_psrl_coupled,13,0.0,1.85,13,13,2.85,2.85,0.9999999994320872,3|2|3
