config_id,config_label,domain,backbone,seed,method,episode,instant_regret,cumulative_regret,chosen_action,oracle_action,objective_value,oracle_value,posterior_true_mass,true_types,n_agents,type_count,factored_storage,joint_storage
pub/london_mini,Pub: london_mini,pub,exact-payoff (backbone-invariant),99000,econ_bne,3,0.0,0.0,3,3,1.7280303030303026,1.7280303030303026,0.0625,2|2,2,4,8,16
pub/london_mini,Pub: london_mini,pub,exact-payoff (backbone-invariant),99000,econ_bne,4,0.0,0.0,3,3,1.7280303030303026,1.7280303030303026,0.0625,2|2,2,4,8,16
pub/london_mini,Pub: london_mini,pub,exact-payoff (backbone-invariant),99000,econ_bne,5,0.0,0.0,3,3,1.7280303030303026,1.7280303030303026,0.0625,2|2,2,4,8,16
pub/london_mini,Pub: london_mini,pub,exact-payoff (backbone-invariant),99000,atom_tom1,1,0.0,0.0,3,3,1.7280303030303026,1.7280303030303026,0.0625,2|2,2,4,8,16
pub/london_mini,Pub: london_mini,pub,exact-payoff (backbone-invariant),99000,atom_tom1,2,0.0,0.0,3,3,1.7280303030303026,1.7280303030303026,0.0625,2|2,2,4,8,16
pub/london_mini,Pub: london_mini,pub,exact-payoff (backbone-invariant),99000,atom_tom1,3,0.0,0.0,3,3,1.7280303030303026,1.7280303030303026,0.0625,2|2,2,4,8,16
pub/london_mini,Pub: london_mini,pub,exact-payoff (backbone-invariant),99000,atom_tom1,4,0.0,0.0,3,3,1.7280303030303026,1.7280303030303026,0.0625,2|2,2,4,8,16
pub/london_mini,Pub: london_mini,pub,exact-payoff (backbone-invariant),99000,atom_tom1,5,0.0,0.0,3,3,1.7280303030303026,1.7280303030303026,0.0625,2|2,2,4,8,16
pub/london_mini,Pub: london_mini,pub,exact-payoff (backbone-invariant),99000,random,1,0.0,0.0,3,3,1.7280303030303026,1.7280303030303026,0.0625,2|2,2,4,8,16
pub/london_mini,Pub: london_mini,pub,exact-payoff (backbone-invariant),99000,random,2,1.5916666666666661,1.5916666666666661,0,3,0.13636363636363646,1.7280303030303026,0.0625,2|2,2,4,8,16
pub/london_mini,Pub: london_mini,pub,exact-payoff (backbone-invariant),99000,random,3,0.9666666666666665,2.5583333333333327,1,3,0.7613636363636361,1.7280303030303026,0.0625,2|2,2,4,8,16
pub/london_mini,Pub: london_mini,pub,exact-payoff (backbone-invariant),99000,random,4,0.6249999999999996,3.1833333333333322,2,3,1.103030303030303,1.7280303030303026,0.0625,2|2,2,4,8,16
pub/london_mini,Pub: london_mini,pub,exact-payoff (backbone-invariant),99000,random,5,0.6249999999999996,3.808333333333332,2,3,1.103030303030303,1.7280303030303026,0.0625,2|2,2,4,8,16
