veh,pos,t,event,paxes
1,1431454100.0,0,STARTS_DAY,[]
1,1431454100.0,0,OPENS_APP,[]
1,1431454100.0,1138,RECEIVES_REQUEST,[]
1,1431454100.0,1151,ACCEPTS_REQUEST,[]
1,1431454100.0,1171,IS_ACCEPTED_BY_TRAVELLER,[]
1,44975079.0,1275,ARRIVES_AT_PICKUP,[]
1,44975079.0,1275,MEETS_TRAVELLER_AT_PICKUP,[]
1,44975079.0,1305,DEPARTS_FROM_PICKUP,[13]
1,45007582.0,1428,ARRIVES_AT_DROPOFF,[13]
1,45007582.0,1618,RECEIVES_REQUEST,[]
1,45007582.0,1618,ACCEPTS_REQUEST,[]
1,45007582.0,1638,IS_ACCEPTED_BY_TRAVELLER,[]
1,44990928.0,1722,ARRIVES_AT_PICKUP,[]
1,44990928.0,1722,MEETS_TRAVELLER_AT_PICKUP,[]
1,44990928.0,1752,DEPARTS_FROM_PICKUP,[18]
1,838048032.0,1986,ARRIVES_AT_DROPOFF,[18]
1,838048032.0,2938,RECEIVES_REQUEST,[]
1,838048032.0,2938,ACCEPTS_REQUEST,[]
1,838048032.0,2958,IS_ACCEPTED_BY_TRAVELLER,[]
1,1402795341.0,3045,ARRIVES_AT_PICKUP,[]
1,1402795341.0,3045,MEETS_TRAVELLER_AT_PICKUP,[]
1,1402795341.0,3075,DEPARTS_FROM_PICKUP,[34]
1,45011027.0,3222,ARRIVES_AT_DROPOFF,[34]
1,45011027.0,3298,RECEIVES_REQUEST,[]
1,45011027.0,3298,ACCEPTS_REQUEST,[]
1,45011027.0,3318,IS_ACCEPTED_BY_TRAVELLER,[]
1,44990295.0,3365,ARRIVES_AT_PICKUP,[]
1,44990295.0,3365,MEETS_TRAVELLER_AT_PICKUP,[]
1,44990295.0,3395,DEPARTS_FROM_PICKUP,[36]
1,44977415.0,3434,ARRIVES_AT_DROPOFF,[36]
1,44977415.0,10799,ENDS_SHIFT,[]
2,44970065.0,0,STARTS_DAY,[]
2,44970065.0,0,OPENS_APP,[]
2,44970065.0,58,RECEIVES_REQUEST,[]
2,44970065.0,66,ACCEPTS_REQUEST,[]
2,44970065.0,86,IS_ACCEPTED_BY_TRAVELLER,[]
2,1845935220.0,106,ARRIVES_AT_PICKUP,[]
2,1845935220.0,106,MEETS_TRAVELLER_AT_PICKUP,[]
2,1845935220.0,136,DEPARTS_FROM_PICKUP,[1]
2,472323878.0,259,ARRIVES_AT_DROPOFF,[1]
2,472323878.0,298,RECEIVES_REQUEST,[]
2,472323878.0,298,ACCEPTS_REQUEST,[]
2,472323878.0,298,ARRIVES_AT_PICKUP,[]
2,472323878.0,318,IS_ACCEPTED_BY_TRAVELLER,[]
2,472323878.0,318,MEETS_TRAVELLER_AT_PICKUP,[]
2,472323878.0,348,DEPARTS_FROM_PICKUP,[4]
2,1402795362.0,438,ARRIVES_AT_DROPOFF,[4]
2,1402795362.0,1978,RECEIVES_REQUEST,[]
2,1402795362.0,1978,ACCEPTS_REQUEST,[]
2,1402795362.0,1998,IS_ACCEPTED_BY_TRAVELLER,[]
2,45007277.0,2058,ARRIVES_AT_PICKUP,[]
2,45007277.0,2058,MEETS_TRAVELLER_AT_PICKUP,[]
2,45007277.0,2088,DEPARTS_FROM_PICKUP,[24]
2,472323877.0,2217,ARRIVES_AT_DROPOFF,[24]
2,472323877.0,2578,RECEIVES_REQUEST,[]
2,472323877.0,2578,ACCEPTS_REQUEST,[]
2,838045949.0,2588,ARRIVES_AT_PICKUP,[]
2,838045949.0,2598,IS_ACCEPTED_BY_TRAVELLER,[]
2,838045949.0,2598,MEETS_TRAVELLER_AT_PICKUP,[]
2,838045949.0,2628,DEPARTS_FROM_PICKUP,[33]
2,45017204.0,2878,ARRIVES_AT_DROPOFF,[33]
2,45017204.0,3418,RECEIVES_REQUEST,[]
2,45017204.0,3418,REJECTS_REQUEST,[]
2,45017204.0,3418,RECEIVES_REQUEST,[]
2,45017204.0,3418,REJECTS_REQUEST,[]
2,45017204.0,10799,ENDS_SHIFT,[]
3,441422909.0,0,STARTS_DAY,[]
3,441422909.0,0,OPENS_APP,[]
3,441422909.0,1498,RECEIVES_REQUEST,[]
3,441422909.0,1498,ACCEPTS_REQUEST,[]
3,441422909.0,1518,IS_ACCEPTED_BY_TRAVELLER,[]
3,441422918.0,1555,ARRIVES_AT_PICKUP,[]
3,441422918.0,1555,MEETS_TRAVELLER_AT_PICKUP,[]
3,441422918.0,1585,DEPARTS_FROM_PICKUP,[17]
3,541199371.0,1812,ARRIVES_AT_DROPOFF,[17]
3,541199371.0,1858,RECEIVES_REQUEST,[]
3,541199371.0,1858,REJECTS_REQUEST,[]
3,541199371.0,1978,RECEIVES_REQUEST,[]
3,541199371.0,1978,ACCEPTS_REQUEST,[]
3,541199371.0,1998,IS_ACCEPTED_BY_TRAVELLER,[]
3,44988344.0,2010,ARRIVES_AT_PICKUP,[]
3,44988344.0,2010,MEETS_TRAVELLER_AT_PICKUP,[]
3,44988344.0,2040,DEPARTS_FROM_PICKUP,[26]
3,44996092.0,2189,ARRIVES_AT_DROPOFF,[26]
3,44996092.0,3058,RECEIVES_REQUEST,[]
3,44996092.0,3058,REJECTS_REQUEST,[]
3,44996092.0,3298,RECEIVES_REQUEST,[]
3,44996092.0,3298,REJECTS_REQUEST,[]
3,44996092.0,10799,ENDS_SHIFT,[]
4,45007839.0,0,STARTS_DAY,[]
4,45007839.0,0,OPENS_APP,[]
4,45007839.0,898,RECEIVES_REQUEST,[]
4,45007839.0,898,ACCEPTS_REQUEST,[]
4,45007839.0,918,IS_ACCEPTED_BY_TRAVELLER,[]
4,401320325.0,927,ARRIVES_AT_PICKUP,[]
4,401320325.0,927,MEETS_TRAVELLER_AT_PICKUP,[]
4,401320325.0,957,DEPARTS_FROM_PICKUP,[9]
4,2273226088.0,1029,ARRIVES_AT_DROPOFF,[9]
4,2273226088.0,1138,RECEIVES_REQUEST,[]
4,2273226088.0,1138,IS_REJECTED_BY_TRAVELLER,[]
4,2273226088.0,1378,RECEIVES_REQUEST,[]
4,2273226088.0,1378,ACCEPTS_REQUEST,[]
4,2273226088.0,1398,IS_ACCEPTED_BY_TRAVELLER,[]
4,45033209.0,1443,ARRIVES_AT_PICKUP,[]
4,45033209.0,1443,MEETS_TRAVELLER_AT_PICKUP,[]
4,45033209.0,1473,DEPARTS_FROM_PICKUP,[15]
4,2502702362.0,1550,ARRIVES_AT_DROPOFF,[15]
4,2502702362.0,1738,RECEIVES_REQUEST,[]
4,2502702362.0,1738,ACCEPTS_REQUEST,[]
4,2502702362.0,1758,IS_ACCEPTED_BY_TRAVELLER,[]
4,45008610.0,1799,ARRIVES_AT_PICKUP,[]
