pax,pos,t,event,veh_id
0,45011794,0,STARTS_DAY,
0,45011794,0,REQUESTS_RIDE,
0,45011794,10,RECEIVES_OFFER,
0,45011794,15,ACCEPTS_OFFER,
0,45011794,35,ARRIVES_AT_PICKUP,1.0
0,45011794,66,MEETS_DRIVER_AT_PICKUP,1.0
0,45011794,96,DEPARTS_FROM_PICKUP,1.0
0,1402824275,358,ARRIVES_AT_DROPOFF,1.0
0,1402824275,368,SETS_OFF_FOR_DEST,
0,1402824275,368,ARRIVES_AT_DEST,
1,44998194,0,STARTS_DAY,
1,44998194,99,REQUESTS_RIDE,
1,44998194,130,RECEIVES_OFFER,
1,44998194,130,ACCEPTS_OFFER,
1,44998194,150,ARRIVES_AT_PICKUP,5.0
1,44998194,203,MEETS_DRIVER_AT_PICKUP,5.0
1,44998194,233,DEPARTS_FROM_PICKUP,5.0
1,45003347,374,ARRIVES_AT_DROPOFF,5.0
1,45003347,384,SETS_OFF_FOR_DEST,
1,45003347,384,ARRIVES_AT_DEST,
2,44995156,0,STARTS_DAY,
2,44995156,207,REQUESTS_RIDE,
2,44995156,250,RECEIVES_OFFER,
2,44995156,250,ACCEPTS_OFFER,
2,44995156,270,ARRIVES_AT_PICKUP,7.0
2,44995156,316,MEETS_DRIVER_AT_PICKUP,7.0
2,44995156,346,DEPARTS_FROM_PICKUP,7.0
2,44990922,438,ARRIVES_AT_DROPOFF,7.0
2,44990922,448,SETS_OFF_FOR_DEST,
2,44990922,448,ARRIVES_AT_DEST,
3,44987841,0,STARTS_DAY,
3,44987841,255,REQUESTS_RIDE,
3,44987841,370,RECEIVES_OFFER,
3,44987841,370,ACCEPTS_OFFER,
3,44987841,390,ARRIVES_AT_PICKUP,2.0
3,44987841,397,MEETS_DRIVER_AT_PICKUP,2.0
3,44987841,427,DEPARTS_FROM_PICKUP,2.0
3,45022517,541,ARRIVES_AT_DROPOFF,2.0
3,45022517,551,SETS_OFF_FOR_DEST,
3,45022517,551,ARRIVES_AT_DEST,
