model,method,beta,couple_lambda,episodes,final_mean_cumulative_reward,final_mean_true_tuple_posterior,final_mean_rule_marginal_accuracy,final_mean_cumulative_exploration_cost,final_mean_cumulative_message_cost,final_mean_cumulative_total_information_cost,live_calls,live_parse_ok_rate
Llama-4-Maverick-17B-128E-Instruct-FP8,oracle,0.0,0.0,1,6.769133333333333,1.0,1.0,0.0,0.0,0.0,0,
Llama-4-Maverick-17B-128E-Instruct-FP8,pact,0.0,0.0,1,6.0,0.3371794604570166,0.7683598861048783,0.8114104166666668,0.0,0.8114104166666668,0,
Llama-4-Maverick-17B-128E-Instruct-FP8,pact_message,0.0,0.0,1,6.0,0.30716872627149533,0.7484890917531543,0.79370625,0.24,1.0337062499999998,0,
Llama-4-Maverick-17B-128E-Instruct-FP8,pact_plus,0.0,0.0,1,6.0,0.3371794604570166,0.7683598861048783,0.8114104166666668,0.0,0.8114104166666668,0,
Llama-4-Maverick-17B-128E-Instruct-FP8,pact_plus,0.1,0.0,1,6.1872,0.4889769240082827,0.8604529161851784,0.16839166666666666,0.0,0.16839166666666666,0,
Llama-4-Maverick-17B-128E-Instruct-FP8,pact_plus,0.25,0.0,1,4.036183333333335,0.46291167873228223,0.8521712247521367,1.4582187499999997,0.0,1.4582187499999997,0,
Llama-4-Maverick-17B-128E-Instruct-FP8,pact_plus,0.5,0.0,1,4.448316666666667,0.6672216446152865,0.9070689305017439,2.172354166666666,0.0,2.172354166666666,0,
Llama-4-Maverick-17B-128E-Instruct-FP8,psrl_notype,0.0,0.0,1,5.439816666666666,0.0625,0.5,0.9099375000000001,0.0,0.9099375000000001,0,
Llama-4-Maverick-17B-128E-Instruct-FP8,random,0.0,0.0,1,3.2965333333333326,0.0625,0.5,2.06285,0.0,2.06285,0,
gpt-5.4-mini-20260317,atom_tom0,0.0,0.0,1,5.366333333333333,0.0625,0.5,0.7173541666666666,0.0,0.7173541666666666,0,
gpt-5.4-mini-20260317,atom_tom1,0.0,0.0,1,6.599333333333332,0.0625,0.5,0.32720000000000005,0.0,0.32720000000000005,0,
gpt-5.4-mini-20260317,joint_psrl,0.0,0.0,1,6.184133333333333,0.009841940349173696,0.8098062823277729,0.6808749999999999,0.0,0.6808749999999999,0,
gpt-5.4-mini-20260317,live_llm_belief,0.0,0.0,1,2.0073833333333333,0.0625,0.5,3.0302499999999997,0.0,3.0302499999999997,8,1.0
gpt-5.4-mini-20260317,live_llm_greedy,0.0,0.0,1,3.2092999999999994,0.0625,0.5,2.5365104166666668,0.0,2.5365104166666668,8,1.0
gpt-5.4-mini-20260317,map_greedy,0.0,0.0,1,4.9695833333333335,0.08676609165984046,0.671945285578226,0.9859499999999998,0.0,0.9859499999999998,0,
gpt-5.4-mini-20260317,oracle,0.0,0.0,1,6.769133333333333,1.0,1.0,0.0,0.0,0.0,0,
gpt-5.4-mini-20260317,pact,0.0,0.0,1,6.0,0.3371794604570166,0.7683598861048783,0.8114104166666668,0.0,0.8114104166666668,0,
gpt-5.4-mini-20260317,pact_message,0.0,0.0,1,6.0,0.30716872627149533,0.7484890917531543,0.79370625,0.24,1.0337062499999998,0,
gpt-5.4-mini-20260317,pact_plus,0.0,0.0,1,6.0,0.3371794604570166,0.7683598861048783,0.8114104166666668,0.0,0.8114104166666668,0,
gpt-5.4-mini-20260317,pact_plus,0.1,0.0,1,6.1872,0.4889769240082827,0.8604529161851784,0.16839166666666666,0.0,0.16839166666666666,0,
gpt-5.4-mini-20260317,pact_plus,0.25,0.0,1,4.036183333333335,0.46291167873228223,0.8521712247521367,1.4582187499999997,0.0,1.4582187499999997,0,
gpt-5.4-mini-20260317,pact_plus,0.5,0.0,1,4.448316666666667,0.6672216446152865,0.9070689305017439,2.172354166666666,0.0,2.172354166666666,0,
gpt-5.4-mini-20260317,psrl_notype,0.0,0.0,1,5.439816666666666,0.0625,0.5,0.9099375000000001,0.0,0.9099375000000001,0,
gpt-5.4-mini-20260317,random,0.0,0.0,1,3.2965333333333326,0.0625,0.5,2.06285,0.0,2.06285,0,
