model,method,beta,couple_lambda,episodes,final_mean_cumulative_reward,final_mean_true_tuple_posterior,final_mean_rule_marginal_accuracy,final_mean_cumulative_exploration_cost,final_mean_cumulative_message_cost,final_mean_cumulative_total_information_cost,live_calls,live_parse_ok_rate
Llama-4-Maverick-17B-128E-Instruct-FP8,atom_tom0,0.0,0.0,5,5.802833333333332,0.0625,0.5,0.6652504166666666,0.0,0.6652504166666666,0,
Llama-4-Maverick-17B-128E-Instruct-FP8,atom_tom1,0.0,0.0,5,6.3255099999999995,0.0625,0.5,0.5674020833333335,0.0,0.5674020833333335,0,
Llama-4-Maverick-17B-128E-Instruct-FP8,joint_psrl,0.0,0.0,5,6.455926666666666,0.5009757140749707,0.8332584794012737,0.7715262500000002,0.0,0.7715262500000002,0,
Llama-4-Maverick-17B-128E-Instruct-FP8,live_atom_adaptive_hedge,0.0,0.0,5,4.059339999999999,0.0625,0.5,2.8275416666666664,0.0,2.8275416666666664,40,1.0
Llama-4-Maverick-17B-128E-Instruct-FP8,live_atom_tom0,0.0,0.0,5,4.456743333333334,0.0625,0.5,2.0303220833333335,0.0,2.0303220833333335,40,1.0
Llama-4-Maverick-17B-128E-Instruct-FP8,live_atom_tom1,0.0,0.0,5,4.411409999999999,0.0625,0.5,2.6913883333333333,0.0,2.6913883333333333,40,1.0
Llama-4-Maverick-17B-128E-Instruct-FP8,live_econ_bne,0.0,0.0,5,3.30556,0.0625,0.5,3.635899166666667,0.0,3.635899166666667,40,0.975
Llama-4-Maverick-17B-128E-Instruct-FP8,live_llm_belief,0.0,0.0,5,4.433046666666667,0.0625,0.5,3.0128308333333336,0.0,3.0128308333333336,40,1.0
Llama-4-Maverick-17B-128E-Instruct-FP8,live_llm_greedy,0.0,0.0,5,4.027756666666667,0.0625,0.5,2.5854570833333335,0.0,2.5854570833333335,40,1.0
Llama-4-Maverick-17B-128E-Instruct-FP8,map_greedy,0.0,0.0,5,6.35796,0.41839318256503655,0.8165915971699385,0.49315291666666655,0.0,0.49315291666666655,0,
Llama-4-Maverick-17B-128E-Instruct-FP8,oracle,0.0,0.0,5,7.34346,1.0,1.0,0.0,0.0,0.0,0,
Llama-4-Maverick-17B-128E-Instruct-FP8,pact,0.0,0.0,5,6.60582,0.535542890565715,0.8562880545496798,0.704025,0.0,0.704025,0,
Llama-4-Maverick-17B-128E-Instruct-FP8,pact_message,0.0,0.0,5,6.60582,0.5322708720751781,0.8530192681981348,0.6543141666666668,0.24,0.8943141666666667,0,
Llama-4-Maverick-17B-128E-Instruct-FP8,pact_plus,0.0,0.0,5,6.60582,0.535542890565715,0.8562880545496798,0.704025,0.0,0.704025,0,
Llama-4-Maverick-17B-128E-Instruct-FP8,pact_plus,0.1,0.0,5,6.591510000000001,0.5116926157458084,0.8594871979955135,0.49460458333333346,0.0,0.49460458333333346,0,
Llama-4-Maverick-17B-128E-Instruct-FP8,pact_plus,0.25,0.0,5,5.43492,0.5332583740819085,0.861540195357269,1.2783020833333336,0.0,1.2783020833333336,0,
Llama-4-Maverick-17B-128E-Instruct-FP8,pact_plus,0.5,0.0,5,4.82728,0.4432717897388952,0.8092728432179002,2.28181625,0.0,2.28181625,0,
Llama-4-Maverick-17B-128E-Instruct-FP8,psrl_notype,0.0,0.0,5,6.121696666666667,0.0625,0.5,0.5004379166666667,0.0,0.5004379166666667,0,
Llama-4-Maverick-17B-128E-Instruct-FP8,random,0.0,0.0,5,3.133906666666666,0.0625,0.5,3.5472195833333338,0.0,3.5472195833333338,0,
gpt-5.4-mini-20260317,atom_tom0,0.0,0.0,5,5.802833333333332,0.0625,0.5,0.6652504166666666,0.0,0.6652504166666666,0,
gpt-5.4-mini-20260317,atom_tom1,0.0,0.0,5,6.3255099999999995,0.0625,0.5,0.5674020833333335,0.0,0.5674020833333335,0,
gpt-5.4-mini-20260317,joint_psrl,0.0,0.0,5,6.455926666666666,0.5009757140749707,0.8332584794012737,0.7715262500000002,0.0,0.7715262500000002,0,
gpt-5.4-mini-20260317,live_atom_adaptive_hedge,0.0,0.0,5,4.0020999999999995,0.0625,0.5,3.2744287499999998,0.0,3.2744287499999998,40,1.0
gpt-5.4-mini-20260317,live_atom_tom0,0.0,0.0,5,4.37857,0.0625,0.5,2.5958991666666664,0.0,2.5958991666666664,40,1.0
gpt-5.4-mini-20260317,live_atom_tom1,0.0,0.0,5,4.170143333333334,0.0625,0.5,2.7343312500000003,0.0,2.7343312500000003,40,1.0
gpt-5.4-mini-20260317,live_econ_bne,0.0,0.0,5,3.0520133333333335,0.0625,0.5,3.5948995833333335,0.0,3.5948995833333335,40,1.0
