config_id,config_label,domain,backbone,seed,method,episode,instant_regret,cumulative_regret,chosen_action,oracle_action,objective_value,oracle_value,posterior_true_mass,true_types,n_agents,type_count,factored_storage,joint_storage
pub/london_mini,Pub: london_mini,pub,exact-payoff (backbone-invariant),1000,pact_plus,9,0.0,0.0,0,0,1.9555555555555555,1.9555555555555555,0.3121354607572301,3|2,2,4,8,16
pub/london_mini,Pub: london_mini,pub,exact-payoff (backbone-invariant),1000,pact_plus,10,0.0,0.0,0,0,1.9555555555555555,1.9555555555555555,0.3192384829604544,3|2,2,4,8,16
pub/london_mini,Pub: london_mini,pub,exact-payoff (backbone-invariant),1000,pact_plus,11,0.0,0.0,0,0,1.9555555555555555,1.9555555555555555,0.3263577588948098,3|2,2,4,8,16
pub/london_mini,Pub: london_mini,pub,exact-payoff (backbone-invariant),1000,pact_plus,12,0.0,0.0,0,0,1.9555555555555555,1.9555555555555555,0.3334868624457319,3|2,2,4,8,16
pub/london_mini,Pub: london_mini,pub,exact-payoff (backbone-invariant),1000,pact_plus,13,0.0,0.0,0,0,1.9555555555555555,1.9555555555555555,0.34061943132620853,3|2,2,4,8,16
pub/london_mini,Pub: london_mini,pub,exact-payoff (backbone-invariant),1000,pact_plus,14,0.0,0.0,0,0,1.9555555555555555,1.9555555555555555,0.3477491889088975,3|2,2,4,8,16
pub/london_mini,Pub: london_mini,pub,exact-payoff (backbone-invariant),1000,pact_plus,15,0.0,0.0,0,0,1.9555555555555555,1.9555555555555555,0.35486996464302845,3|2,2,4,8,16
pub/london_mini,Pub: london_mini,pub,exact-payoff (backbone-invariant),1000,pact_plus,16,0.0,0.0,0,0,1.9555555555555555,1.9555555555555555,0.3619757129851077,3|2,2,4,8,16
pub/london_mini,Pub: london_mini,pub,exact-payoff (backbone-invariant),1000,pact_plus,17,0.0,0.0,0,0,1.9555555555555555,1.9555555555555555,0.3690605307944711,3|2,2,4,8,16
pub/london_mini,Pub: london_mini,pub,exact-payoff (backbone-invariant),1000,pact_plus,18,0.0,0.0,0,0,1.9555555555555555,1.9555555555555555,0.37611867316512015,3|2,2,4,8,16
pub/london_mini,Pub: london_mini,pub,exact-payoff (backbone-invariant),1000,pact_plus,19,0.0,0.0,0,0,1.9555555555555555,1.9555555555555555,0.38314456768384114,3|2,2,4,8,16
pub/london_mini,Pub: london_mini,pub,exact-payoff (backbone-invariant),1000,pact_plus,20,0.0,0.0,0,0,1.9555555555555555,1.9555555555555555,0.39013282712121133,3|2,2,4,8,16
pub/london_mini,Pub: london_mini,pub,exact-payoff (backbone-invariant),1000,joint_psrl_uniform,1,0.0,0.0,0,0,1.9555555555555555,1.9555555555555555,0.0658656682764749,3|2,2,4,8,16
pub/london_mini,Pub: london_mini,pub,exact-payoff (backbone-invariant),1000,joint_psrl_uniform,2,0.0,0.0,0,0,1.9555555555555555,1.9555555555555555,0.06933026465426571,3|2,2,4,8,16
pub/london_mini,Pub: london_mini,pub,exact-payoff (backbone-invariant),1000,joint_psrl_uniform,3,0.0,0.0,0,0,1.9555555555555555,1.9555555555555555,0.0728914302359069,3|2,2,4,8,16
pub/london_mini,Pub: london_mini,pub,exact-payoff (backbone-invariant),1000,joint_psrl_uniform,4,0.0,0.0,0,0,1.9555555555555555,1.9555555555555555,0.07654652772774444,3|2,2,4,8,16
pub/london_mini,Pub: london_mini,pub,exact-payoff (backbone-invariant),1000,joint_psrl_uniform,5,0.0,0.0,0,0,1.9555555555555555,1.9555555555555555,0.08029265506234484,3|2,2,4,8,16
pub/london_mini,Pub: london_mini,pub,exact-payoff (backbone-invariant),1000,joint_psrl_uniform,6,0.0,0.0,0,0,1.9555555555555555,1.9555555555555555,0.08412666054826519,3|2,2,4,8,16
pub/london_mini,Pub: london_mini,pub,exact-payoff (backbone-invariant),1000,joint_psrl_uniform,7,0.0,0.0,0,0,1.9555555555555555,1.9555555555555555,0.0880451593525685,3|2,2,4,8,16
pub/london_mini,Pub: london_mini,pub,exact-payoff (backbone-invariant),1000,joint_psrl_uniform,8,0.0,0.0,0,0,1.9555555555555555,1.9555555555555555,0.09204455111453108,3|2,2,4,8,16
pub/london_mini,Pub: london_mini,pub,exact-payoff (backbone-invariant),1000,joint_psrl_uniform,9,0.0,0.0,0,0,1.9555555555555555,1.9555555555555555,0.09612103848585726,3|2,2,4,8,16
pub/london_mini,Pub: london_mini,pub,exact-payoff (backbone-invariant),1000,joint_psrl_uniform,10,0.0,0.0,0,0,1.9555555555555555,1.9555555555555555,0.10027064639314628,3|2,2,4,8,16
