n,m,H,seed,mean_restricted_agent_first_episode,all_agent_restricted_first_episode,censored_agents,mean_error_final_preupdate,mean_proxy_half,mean_proxy_end,unique_actions,rho_global
3,4,1,50000,216.66666666666666,270.0,0,0.0,133.8987493053674,133.89874959279157,1,0.0011696097542561734
3,4,1,50001,334.3333333333333,481.0,0,0.0,161.80134194659414,161.80134196922802,1,0.0011696097542561734
3,4,1,50002,408.0,814.0,0,1.8570330458563453e-12,240.79148477383364,240.7918633316684,1,0.0011696097542561734
3,4,1,50003,354.0,655.0,0,0.0,219.1781124818756,219.17811249766282,1,0.0011696097542561734
3,4,1,50004,142.66666666666666,298.0,0,6.661338147750939e-16,84.78244226206151,84.78245017714502,1,0.0011696097542561734
3,4,1,50005,396.6666666666667,608.0,0,0.0,149.57185761631817,149.57185761639073,1,0.0011696097542561734
3,4,1,50006,381.0,515.0,0,0.0,216.6516587135834,216.65167120026732,1,0.0011696097542561734
3,4,1,50007,433.3333333333333,683.0,0,3.273677625278045e-13,338.07829272554176,338.0789851415995,1,0.0011696097542561734
3,4,1,50008,236.33333333333334,249.0,0,0.0,127.27035005734594,127.27035005866539,1,0.0011696097542561734
3,4,1,50009,182.33333333333334,208.0,0,0.0,95.83695567986199,95.8369557303376,1,0.0011696097542561734
3,4,1,50010,198.33333333333334,270.0,0,0.0,112.30529285129029,112.30529285291253,1,0.0011696097542561734
3,4,1,50011,148.33333333333334,182.0,0,0.0,83.5797240782564,83.5797240783114,1,0.0011696097542561734
3,4,1,50012,269.6666666666667,314.0,0,0.0,122.13404290233747,122.13417939022395,1,0.0011696097542561734
3,4,1,50013,262.3333333333333,282.0,0,0.0,147.564319586103,147.56431961836847,1,0.0011696097542561734
3,4,1,50014,211.66666666666666,302.0,0,0.0,102.29288974203705,102.29288974337987,1,0.0011696097542561734
3,4,1,50015,155.0,206.0,0,0.0,80.82618941310169,80.82618958108405,1,0.0011696097542561734
3,4,1,50016,256.0,375.0,0,0.0,180.63504748801483,180.63506678318177,1,0.0011696097542561734
3,4,1,50017,453.3333333333333,717.0,0,5.181040781584064e-16,290.2309058476928,290.2309064558838,1,0.0011696097542561734
3,4,1,50018,261.6666666666667,484.0,0,0.0,139.14108523096328,139.14329593102943,1,0.0011696097542561734
3,4,1,50019,375.0,593.0,0,0.0,233.23157227368233,233.23157498524662,1,0.0011696097542561734
3,4,1,50020,203.66666666666666,296.0,0,0.0,102.13223551813654,102.13223553407086,1,0.0011696097542561734
3,4,1,50021,149.66666666666666,293.0,0,7.401486830834377e-17,85.71853383176602,85.71854441303769,1,0.0011696097542561734
3,4,1,50022,120.33333333333333,221.0,0,0.0,53.492161446909854,53.492161452065034,1,0.0011696097542561734
3,4,1,50023,256.0,463.0,0,0.0,144.44374222798328,144.44374227896296,1,0.0011696097542561734
3,4,1,50024,227.0,240.0,0,9.50794998288984e-13,106.41764283280729,106.41764864919281,1,0.0011696097542561734
3,4,1,50025,494.3333333333333,757.0,0,7.401486830834377e-16,470.221430893457,470.2230155795503,1,0.0011696097542561734
3,4,1,50026,234.0,259.0,0,7.401486830834377e-17,156.16454050290267,156.1645407385179,1,0.0011696097542561734
3,4,1,50027,187.0,275.0,0,0.0,124.62477786936415,124.62477787453724,1,0.0011696097542561734
3,4,1,50028,276.3333333333333,332.0,0,0.0,157.9091604426998,157.90916911085625,1,0.0011696097542561734
3,4,1,50029,191.33333333333334,437.0,0,0.0,142.05735072480766,142.0573508586687,1,0.0011696097542561734
3,4,1,50030,360.3333333333333,427.0,0,0.0,176.99243571214515,176.99243571569272,1,0.0011696097542561734
3,4,1,50031,215.0,392.0,0,0.0,148.22334318345403,148.2233431873868,1,0.0011696097542561734
3,4,1,50032,253.0,282.0,0,0.0,116.74990580618834,116.74990580783442,1,0.0011696097542561734
3,4,1,50033,271.3333333333333,482.0,0,0.0,188.83156821145818,188.83160419413693,1,0.0011696097542561734
3,4,1,50034,280.0,367.0,0,0.0,228.5452672247967,228.54526722833126,1,0.0011696097542561734
3,4,1,50035,292.3333333333333,351.0,0,0.0,149.67586781529803,149.67586781908838,1,0.0011696097542561734
3,4,1,50036,210.0,303.0,0,0.0,131.53784969482646,131.53784970382978,1,0.0011696097542561734
3,4,1,50037,60.333333333333336,71.0,0,0.0,31.201573777191367,31.201578430023726,1,0.0011696097542561734
3,4,1,50038,261.0,559.0,0,0.0,168.7796390115809,168.77963901398206,1,0.0011696097542561734
3,4,1,50039,225.0,250.0,0,0.0,101.12378122728207,101.12378132389608,1,0.0011696097542561734
3,4,1,50040,285.0,482.0,0,0.0,164.56511453123142,164.56511542384374,1,0.0011696097542561734
3,4,1,50041,594.0,1233.0,0,0.0,449.74942934414304,449.76290743194977,1,0.0011696097542561734
3,4,1,50042,176.66666666666666,217.0,0,0.0,85.15553398513809,85.15555975125399,1,0.0011696097542561734
3,4,1,50043,303.6666666666667,452.0,0,0.0,194.13100708662841,194.1310070868576,1,0.0011696097542561734
3,4,1,50044,169.0,239.0,0,7.401486830834377e-17,93.83941825219107,93.83944225110498,1,0.0011696097542561734
3,4,1,50045,286.3333333333333,492.0,0,0.0,160.4070628755762,160.4074989378289,1,0.0011696097542561734
3,4,1,50046,154.66666666666666,238.0,0,0.0,120.01414497449478,120.01414841494444,1,0.0011696097542561734
3,4,1,50047,208.0,317.0,0,0.0,123.81460970041992,123.81460971776033,1,0.0011696097542561734
3,4,1,50048,229.33333333333334,398.0,0,0.0,171.8641108180153,171.8641108419122,1,0.0011696097542561734
3,4,1,50049,239.0,298.0,0,1.4802973661668753e-16,165.80501315367843,165.80501321264572,1,0.0011696097542561734
3,4,1,50050,197.33333333333334,260.0,0,0.0,107.93414537662467,107.93415115744465,1,0.0011696097542561734
3,4,1,50051,211.33333333333334,302.0,0,2.294460917558657e-15,84.70812656015951,84.70813123336579,1,0.0011696097542561734
3,4,1,50052,441.3333333333333,629.0,0,0.0,292.4134812815619,292.41348129092654,1,0.0011696097542561734
3,4,1,50053,655.0,975.0,0,0.0,414.04034513470447,414.0403745097049,1,0.0011696097542561734
3,4,1,50054,281.0,627.0,0,0.0,140.47468380901202,140.47468385514944,1,0.0011696097542561734
