policy,label,seeds,mean_final_ptrue,mean_final_ptrue_sem,mean_final_rule_acc,mean_final_rule_acc_sem,pax_wait_mean,pax_wait_mean_sem,veh_nrides_sum,veh_nrides_sum_sem,veh_nrejects_sum,veh_nrejects_sum_sem,synthetic_decline_rate,actual_decline_rate,passenger_mean_final_ptrue,passenger_mean_final_ptrue_sem,passenger_mean_final_rule_acc,passenger_mean_final_rule_acc_sem,passenger_rejection_rate
nearest,Nearest,10,0.25734515961071325,0.04582807775632307,0.7317315279760239,0.02454086100617676,121.3975,4.582071720302947,30.3,1.174260996920569,18.9,3.400816895329055,0.36798579729410885,0.36798579729410885,0.07951852246383509,0.0013007078027253397,0.5321932535742164,0.002554421735113029,0.23274966261808366
random,Random,10,0.32134578948952147,0.05365476938446107,0.7782195564006081,0.02038738850347224,145.865,5.971865984207393,25.3,0.9433981132056602,26.3,3.2491024401620003,0.4492113195780342,0.4492113195780342,0.09036015265999178,0.0012232877239208024,0.5511884641637191,0.001930216122868394,0.3543087318087318
pact_kpi,PACT,10,0.2675360865541346,0.040341039166786115,0.7390160407773079,0.022072270821868092,127.62249999999999,7.044101600709002,29.8,1.1234866364235143,18.5,2.7738861628488727,0.38240615497257757,0.38240615497257757,0.07872921612642048,0.0011668746581457686,0.530734845534111,0.002086090038694298,0.23044777294777297
pact_plus_kpi,PACT+,10,0.2675349227316349,0.04034107969409749,0.7390157292214483,0.02207220427415683,127.62249999999999,7.044101600709002,29.8,1.1234866364235143,18.5,2.7738861628488727,0.38188794768966444,0.38188794768966444,0.07872921612642048,0.0011668746581457686,0.530734845534111,0.002086090038694298,0.23044777294777297
oracle_kpi,Oracle,10,0.2675360865541346,0.040341039166786115,0.7390160407773079,0.022072270821868092,127.62249999999999,7.044101600709002,29.8,1.1234866364235143,18.5,2.7738861628488727,0.38240615497257757,0.38240615497257757,0.07872921612642048,0.0011668746581457686,0.530734845534111,0.002086090038694298,0.23044777294777297
