policy,label,seeds,mean_final_ptrue,mean_final_ptrue_sem,mean_final_rule_acc,mean_final_rule_acc_sem,pax_wait_mean,pax_wait_mean_sem,veh_nrides_sum,veh_nrides_sum_sem,veh_nrejects_sum,veh_nrejects_sum_sem,synthetic_decline_rate,actual_decline_rate,passenger_mean_final_ptrue,passenger_mean_final_ptrue_sem,passenger_mean_final_rule_acc,passenger_mean_final_rule_acc_sem,passenger_rejection_rate
nearest,Nearest,5,0.20467541867379166,0.022602647258450095,0.7300646846284616,0.013844885270199652,138.62,9.524000603737903,31.0,1.1401754250991378,24.8,2.477902338672773,0.4259648094620772,0.4259648094620772,0.08262310332046727,0.0012850108890963868,0.5355465568364817,0.0012148599503545381,0.20789473684210527
random,Random,5,0.2203906625689171,0.019115546533679032,0.7569972040021353,0.014310923818977118,158.39000000000001,12.890116368753233,26.2,1.8275666882497066,29.6,3.2031234756093934,0.47311107495156834,0.47311107495156834,0.09133733360304225,0.001934838942131478,0.5510956977169452,0.0034036651448396855,0.33392712550607284
pact_kpi,PACT-KPI,5,0.20331109546762663,0.031198995321581498,0.7279739033584407,0.007040823525566111,143.77,9.366537513937581,31.2,1.1135528725660042,27.4,2.694438717061496,0.46259896361243946,0.46259896361243946,0.0803334935201043,0.0016672420778772008,0.5318134620791902,0.002410165105375039,0.20315789473684212
pact_plus_kpi,PACT+-KPI,5,0.20331054792281167,0.031198774309623895,0.7269343730664877,0.0066649614654533665,143.77,9.366537513937581,31.2,1.1135528725660042,27.4,2.694438717061496,0.46259896361243946,0.46259896361243946,0.0803334935201043,0.0016672420778772008,0.5318134620791902,0.002410165105375039,0.20315789473684212
oracle_kpi,Oracle-KPI,5,0.20331109546762663,0.031198995321581498,0.7279739033584407,0.007040823525566111,143.77,9.366537513937581,31.2,1.1135528725660042,27.4,2.694438717061496,0.46259896361243946,0.46259896361243946,0.0803334935201043,0.0016672420778772008,0.5318134620791902,0.002410165105375039,0.20315789473684212
