policy,label,seeds,snapshots,snapshots_sem,assignments,assignments_sem,served,served_sem,driver_rejects,driver_rejects_sem,passenger_rejects,passenger_rejects_sem,mean_wait_served,mean_wait_served_sem,extra_wait_per_snapshot,extra_wait_per_snapshot_sem,oracle_match_rate,oracle_match_rate_sem,driver_ptrue,driver_ptrue_sem,driver_rule_acc,driver_rule_acc_sem,passenger_ptrue,passenger_ptrue_sem,passenger_rule_acc,passenger_rule_acc_sem
wait_oracle,Wait-oracle,10,40.6,3.3206425081099384,64.1,4.209645010106091,29.4,1.1469767022723503,25.4,4.740370355901647,9.3,1.0754843869934454,77.54009162851835,5.939222951980705,0.0,0.0,1.0,0.0,0.2594566095931873,0.045510975493169604,0.7308025076601637,0.024322428433979103,0.07913199180385097,0.0012176387537659724,0.5316627895260323,0.002309964493009994
nearest,Nearest,10,41.3,3.59644886581812,65.6,4.987094455804011,30.4,1.2128936932440166,26.0,5.236623169774795,9.2,1.18133634311129,77.57690594851215,5.1055371965032865,3.0601794294274436,1.7088586853897738,0.9061691728479764,0.015218387643692852,0.2573389384552586,0.04582700509781706,0.731729857837979,0.024540570610252985,0.07951852246383509,0.0013007078027253397,0.5321932535742164,0.002554421735113029
random,Random,10,41.3,3.59644886581812,65.6,4.937835783237654,20.4,1.3515423288475528,30.6,5.67881051707916,14.6,1.0132456102380443,130.8521602752253,6.54762658212453,108.86080356296804,6.486395196561092,0.2310285221036906,0.020231333691991527,0.2684335935698368,0.032889566058508735,0.7448999034851862,0.0158447026847152,0.09138266690706384,0.0016134979747551561,0.553702731721773,0.0030650124576262062
pact_kpi,PACT,10,40.6,3.3206425081099384,64.1,4.209645010106091,29.6,1.1175369742826806,25.3,4.765734174523608,9.2,1.0624918300339485,78.26472217039027,5.9951987890005345,0.0,0.0,0.9908928571428571,0.00657704427063316,0.2594415949816219,0.04551311754647607,0.7307723066969387,0.02432692835515066,0.07925039911519602,0.0012798632797546014,0.5318206659411591,0.0023831445983965227
pact_plus_kpi,PACT+,10,40.6,3.3206425081099384,64.1,4.209645010106091,29.7,1.1455226851626388,25.2,4.7651512742689155,9.2,1.0624918300339485,78.50212747342059,5.899662756882672,0.0027777777777777775,0.002777777777777777,0.9881150793650793,0.006734379525902249,0.2594347835688744,0.04551198071458571,0.730770321467153,0.024326569436545195,0.07925039911519602,0.0012798632797546014,0.5318206659411591,0.0023831445983965227
oracle_kpi,Oracle,10,40.6,3.3206425081099384,64.1,4.209645010106091,29.6,1.1175369742826806,25.3,4.765734174523608,9.2,1.0624918300339485,78.26472217039027,5.9951987890005345,0.0,0.0,0.9908928571428571,0.00657704427063316,0.2594415949816219,0.04551311754647607,0.7307723066969387,0.02432692835515066,0.07925039911519602,0.0012798632797546014,0.5318206659411591,0.0023831445983965227
