wait_weight,reject_penalty,fare_weight,seeds,mean_wait,mean_wait_sem,rides,rides_sem,rejects,rejects_sem,lost_patience,lost_patience_sem,ptrue,ptrue_sem,rule_acc,rule_acc_sem,decline_rate,decline_rate_sem
0.04,0.0,0.0,5,167.88,7.410079284326181,39.0,0.4472135954999579,25.2,3.512833614050059,7.904999999999999,3.2424566303961564,0.18524933123839396,0.020290593268472375,0.7276373007861936,0.011027151844666386,0.4376310215423594,0.04808750609712302
0.04,0.0,0.5,5,168.355,6.743665546273779,39.2,0.48989794855663554,23.2,2.7640549922170505,5.085,3.119451073506363,0.21377662380204324,0.024669943561717405,0.7328214151482846,0.01113283989683565,0.4247808399053854,0.04144582864464735
0.04,0.25,0.0,5,169.03,8.223641225150814,39.0,0.4472135954999579,25.2,3.6796738985948196,7.904999999999999,3.2424566303961564,0.2100945438902854,0.0300957487917909,0.7324361607380743,0.015165878661835077,0.436773147022513,0.04958980878939296
0.04,0.25,0.5,5,170.115,7.686756468107989,39.2,0.48989794855663554,23.0,2.626785107312739,4.485,2.761607321832704,0.19470815326354712,0.025395559567530708,0.7332782486470311,0.011122425050441934,0.42805200202877136,0.04371867540229806
0.04,0.5,0.0,5,169.025,8.221925717251404,39.0,0.4472135954999579,25.0,3.7815340802378072,7.904999999999999,3.2424566303961564,0.20904518068786943,0.02970182599204883,0.7316905212803155,0.015147558652743308,0.4323274676671365,0.051812643177216545
0.04,0.5,0.5,5,170.115,7.686756468107989,39.2,0.48989794855663554,23.0,2.626785107312739,4.485,2.761607321832704,0.19470814841070896,0.025395559585129394,0.7332741531837798,0.011124172501344806,0.42579211502312164,0.0449828457581158
0.08,0.0,0.0,5,167.88,7.410079284326181,39.0,0.4472135954999579,25.2,3.512833614050059,7.904999999999999,3.2424566303961564,0.18524933123839396,0.020290593268472375,0.7276373007861936,0.011027151844666386,0.4376310215423594,0.04808750609712302
0.08,0.0,0.5,5,169.57999999999998,7.866786987074203,39.0,0.4472135954999579,25.6,3.414674215792774,7.904999999999999,3.2424566303961564,0.21342351387035005,0.02685694390016758,0.7367286321121534,0.012068689476345032,0.44392048244571053,0.04532041094671811
0.08,0.25,0.0,5,169.03,8.223641225150814,39.0,0.4472135954999579,25.4,3.54400902933387,7.904999999999999,3.2424566303961564,0.2102025385344894,0.03002229916999834,0.7341429556338562,0.014754164835165891,0.4392406794900455,0.048038607582185006
0.08,0.25,0.5,5,169.57999999999998,7.866786987074203,39.0,0.4472135954999579,25.6,3.414674215792774,7.904999999999999,3.2424566303961564,0.21342351387035005,0.02685694390016758,0.7367286321121534,0.012068689476345032,0.44392048244571053,0.04532041094671811
0.08,0.5,0.0,5,169.03,8.223641225150814,39.0,0.4472135954999579,25.2,3.6796738985948196,7.904999999999999,3.2424566303961564,0.2100945438902854,0.0300957487917909,0.7324361607380743,0.015165878661835077,0.436773147022513,0.04958980878939296
0.08,0.5,0.5,5,169.57999999999998,7.866786987074203,39.0,0.4472135954999579,25.4,3.5298725189445577,7.904999999999999,3.2424566303961564,0.21348993226116658,0.026845019333763286,0.736761785829757,0.012053209341531262,0.44173469009598376,0.04655784991104277
0.12,0.0,0.0,5,167.625,7.242047362452143,39.0,0.4472135954999579,24.4,3.501428280002319,7.904999999999999,3.2424566303961564,0.20322752008288636,0.025280089489976308,0.7294228923885866,0.01163284997605849,0.4249326088439466,0.05031082540480042
0.12,0.0,0.5,5,169.57999999999998,7.866786987074203,39.0,0.4472135954999579,25.8,3.2924155266308652,7.904999999999999,3.2424566303961564,0.2134274804196128,0.026854590855917612,0.7367855552193595,0.012041626231896606,0.4461414058822973,0.04414559186898014
0.12,0.25,0.0,5,169.03,8.223641225150814,39.0,0.4472135954999579,25.4,3.54400902933387,7.904999999999999,3.2424566303961564,0.2102019909896745,0.03002210099213454,0.7331034253419031,0.014688145021715652,0.4392406794900455,0.048038607582185006
0.12,0.25,0.5,5,169.57999999999998,7.866786987074203,39.0,0.4472135954999579,25.6,3.414674215792774,7.904999999999999,3.2424566303961564,0.21342351387035005,0.02685694390016758,0.7367286321121534,0.012068689476345032,0.44392048244571053,0.04532041094671811
0.12,0.5,0.0,5,169.03,8.223641225150814,39.0,0.4472135954999579,25.4,3.54400902933387,7.904999999999999,3.2424566303961564,0.2102019909896745,0.03002210099213454,0.7331034253419031,0.014688145021715652,0.4392406794900455,0.048038607582185006
0.12,0.5,0.5,5,169.57999999999998,7.866786987074203,39.0,0.4472135954999579,25.6,3.414674215792774,7.904999999999999,3.2424566303961564,0.21342351387035005,0.02685694390016758,0.7367286321121534,0.012068689476345032,0.44392048244571053,0.04532041094671811
