model,method,episodes,final_mean_cumulative_reward,final_mean_cumulative_regret,final_mean_cumulative_exploration_cost,final_mean_true_tuple_posterior,final_mean_rule_marginal_accuracy,final_mean_nll_true,live_score_parse_ok_rate,mean_llm_assignment_score,mean_structured_assignment_score
DeepSeek-V3.2,live_pact_plus,5,29.192426666666666,2.813197266848708,1.7020977069645362,0.4349256828261147,0.8104676629949787,1.149967007466052,0.9875,1.0888666666666666,1.9855147188077225
Kimi-K2.6,live_pact_plus,5,29.53049666666667,2.4539754192220355,1.5314322473913897,0.4136990876913231,0.8048365925169882,1.2141971156885119,1.0,0.49333333333333335,1.966191384768294
Llama-4-Maverick-17B-128E-Instruct-FP8,live_pact_plus,5,29.902040000000007,2.1599082453127347,1.961195531741905,0.35097283814392066,0.77186187714759,1.4133357490039313,1.0,1.0333333333333332,2.077897266266446
gpt-5.4-mini-20260317,live_pact_plus,5,29.186880000000002,2.8195887254368617,1.7020977069645362,0.43560122830942805,0.8106619880381093,1.149190229594184,1.0,1.45,1.985389495539429
