model,method,episodes,final_mean_cumulative_reward,final_mean_cumulative_regret,final_mean_cumulative_exploration_cost,final_mean_true_tuple_posterior,final_mean_rule_marginal_accuracy,final_mean_nll_true,live_score_parse_ok_rate,type_readout_parse_rate,type_estimate_flag,mean_llm_assignment_score,mean_structured_assignment_score
DeepSeek-V3.2,live_pact_plus,5,13.66192,2.17190867773719,1.6958599188438455,0.3524154813216206,0.7580138828123892,1.7157019371684945,1.0,1.0,numeric_posterior,1.3399999999999999,1.9334586522227162
Kimi-K2.6,live_pact_plus,5,13.66192,2.17190867773719,1.6958599188438455,0.3524154813216206,0.7580138828123892,1.7157019371684945,1.0,1.0,numeric_posterior,0.8266666666666665,1.9334586522227162
Llama-4-Maverick-17B-128E-Instruct-FP8,live_pact_plus,5,13.66192,2.17190867773719,1.6958599188438455,0.3524154813216206,0.7580138828123892,1.7157019371684945,1.0,1.0,numeric_posterior,0.9593333333333334,1.9334586522227162
gpt-5.4-mini-20260317,live_pact_plus,5,13.66192,2.17190867773719,1.6958599188438455,0.3524154813216206,0.7580138828123892,1.7157019371684945,1.0,1.0,numeric_posterior,1.2726666666666664,1.9334586522227162
