horizon,beta,model,model_label,exploration_cost,exploration_cost_sem,ptrue,ptrue_sem,regret,regret_sem
8,0.0,DeepSeek-V3.2,DeepSeek-V3.2,1.0932053627800955,0.2919723117169491,0.43109422972746403,0.04785245005720863,2.533265304257664,0.5389274793173627
8,0.0,Kimi-K2.6,Kimi-K2.6,1.1057690633911068,0.29503892448937735,0.3867513000308171,0.0762845994507807,2.331573747950307,0.6286561449702829
8,0.0,Llama-4-Maverick-17B-128E-Instruct-FP8,Llama-4-Maverick-17B-128E-Instruct-FP8,1.1771659984283749,0.14857985037088578,0.3631473816830185,0.04152819028813666,2.0902084544562376,0.2744801734853403
8,0.0,gpt-5.4-mini-20260317,gpt-5.4-mini-20260317,1.0932053627800955,0.2919723117169491,0.43043159883660403,0.047504096691547024,2.5268738456695106,0.5404680488650656
8,0.025,DeepSeek-V3.2,DeepSeek-V3.2,1.2489880872364794,0.31798330085155085,0.3893541208537181,0.0686907166233839,2.1746150530998105,0.5581852955758001
8,0.025,Kimi-K2.6,Kimi-K2.6,1.2167884949031116,0.3044464426489538,0.3697073630807825,0.07783903799151866,2.112734232482498,0.5972721998657992
8,0.025,Llama-4-Maverick-17B-128E-Instruct-FP8,Llama-4-Maverick-17B-128E-Instruct-FP8,1.3329487228847587,0.17720528339514607,0.32206990370013255,0.05295689720896426,1.7379496618865378,0.13377169452725593
8,0.025,gpt-5.4-mini-20260317,gpt-5.4-mini-20260317,1.2489880872364794,0.31798330085155085,0.3893541208537181,0.0686907166233839,2.1746150530998105,0.5581852955758001
8,0.05,DeepSeek-V3.2,DeepSeek-V3.2,1.3144238720933559,0.2388137788977558,0.2912958326998702,0.06553703223060886,1.542453911691684,0.19694714422139453
8,0.05,Kimi-K2.6,Kimi-K2.6,1.2520242456163344,0.20850838145573528,0.31511980417276264,0.06017666138278413,1.6610615719242354,0.2113859780003052
8,0.05,Llama-4-Maverick-17B-128E-Instruct-FP8,Llama-4-Maverick-17B-128E-Instruct-FP8,1.1286837702355488,0.17996962824938717,0.25209154121929717,0.05052950662678343,1.5783506308590218,0.20938336166409363
8,0.05,gpt-5.4-mini-20260317,gpt-5.4-mini-20260317,1.2967875385607137,0.22789117271140713,0.29108626313991126,0.06550057844144255,1.527642294822345,0.19517838940237045
8,0.1,DeepSeek-V3.2,DeepSeek-V3.2,1.429362921679475,0.17694220829357585,0.2749730057803428,0.051171704092288134,1.5447362683248511,0.1982634375656407
8,0.1,Kimi-K2.6,Kimi-K2.6,1.4668188304594612,0.23432258784004342,0.2931930182977579,0.04544842056123766,1.7118523473344787,0.21373723846284085
8,0.1,Llama-4-Maverick-17B-128E-Instruct-FP8,Llama-4-Maverick-17B-128E-Instruct-FP8,1.288584356186687,0.18424917786154094,0.29084514170020587,0.060603303960978724,1.7182416505131957,0.32103799326804383
8,0.1,gpt-5.4-mini-20260317,gpt-5.4-mini-20260317,1.429362921679475,0.17694220829357585,0.2749730057803428,0.051171704092288134,1.5447362683248511,0.1982634375656407
8,0.2,DeepSeek-V3.2,DeepSeek-V3.2,1.371002147024529,0.2242306972195929,0.31767206929404534,0.04975997466512056,1.776018251900781,0.2314221204511562
8,0.2,Kimi-K2.6,Kimi-K2.6,1.4707587085766227,0.21286900222902083,0.3119849968355398,0.048818811734747045,1.8303019798369207,0.25081552209238595
8,0.2,Llama-4-Maverick-17B-128E-Instruct-FP8,Llama-4-Maverick-17B-128E-Instruct-FP8,1.4542033740149216,0.2273954055793111,0.37934504308247063,0.05001678738428201,2.0164074410776536,0.34200042891150617
8,0.2,gpt-5.4-mini-20260317,gpt-5.4-mini-20260317,1.4707587085766227,0.21286900222902083,0.3119849968355398,0.048818811734747045,1.8303019798369207,0.25081552209238595
8,0.4,DeepSeek-V3.2,DeepSeek-V3.2,1.7285952935944198,0.18958684487780067,0.3615897316305115,0.029756723391152977,2.25385456155906,0.408874331411304
8,0.4,Kimi-K2.6,Kimi-K2.6,1.7285952935944198,0.18958684487780067,0.3615897316305115,0.029756723391152977,2.25385456155906,0.408874331411304
8,0.4,Llama-4-Maverick-17B-128E-Instruct-FP8,Llama-4-Maverick-17B-128E-Instruct-FP8,1.7663042166905982,0.1760893846949949,0.39517518241076227,0.03724037325865982,2.06914892563188,0.30223984268640697
8,0.4,gpt-5.4-mini-20260317,gpt-5.4-mini-20260317,1.7285952935944198,0.18958684487780067,0.3615897316305115,0.029756723391152977,2.25385456155906,0.408874331411304
