lambda,model,model_label,ptrue,ptrue_sem,rule_acc,rule_acc_sem,nll_true,nll_true_sem
0.0,gpt-5.4-mini-20260317,GPT-5.4-mini,0.2749730057803428,0.051171704092288134,0.7264753154254794,0.023648004646286486,1.706327265157021,0.18069546345079296
0.0,DeepSeek-V3.2,DeepSeek-V3.2,0.2749730057803428,0.051171704092288134,0.7264753154254794,0.023648004646286486,1.706327265157021,0.18069546345079296
0.0,Kimi-K2.6,Kimi-K2.6,0.2931930182977579,0.04544842056123766,0.740655224808523,0.0227528140778543,1.5533325501192423,0.1514112822598063
0.0,Llama-4-Maverick-17B-128E-Instruct-FP8,Llama-Maverick,0.29084514170020587,0.060603303960978724,0.7478265177573471,0.031679770330923715,1.553640973533476,0.2684711718836164
0.5,gpt-5.4-mini-20260317,GPT-5.4-mini,0.27075088409045833,0.051193875704369424,0.7294602855420799,0.021445969339793647,1.6939027533003448,0.17407431248888702
0.5,DeepSeek-V3.2,DeepSeek-V3.2,0.27075088409045833,0.051193875704369424,0.7294602855420799,0.021445969339793647,1.6939027533003448,0.17407431248888702
0.5,Kimi-K2.6,Kimi-K2.6,0.2947837869431425,0.04686240181603819,0.7466365318330086,0.02051970466971478,1.5274885307320702,0.14514415826305607
0.5,Llama-4-Maverick-17B-128E-Instruct-FP8,Llama-Maverick,0.2448919290278159,0.0644229469675689,0.7248504075454136,0.035442901750206854,1.6299450574481251,0.24595809518341175
1.0,gpt-5.4-mini-20260317,GPT-5.4-mini,0.28268782556971705,0.06565531284492317,0.738294512872281,0.030475524361994487,1.5990116773254948,0.24811623942310748
1.0,DeepSeek-V3.2,DeepSeek-V3.2,0.28268782556971705,0.06565531284492317,0.738294512872281,0.030475524361994487,1.5990116773254948,0.24811623942310748
1.0,Kimi-K2.6,Kimi-K2.6,0.3481635618386164,0.07400101189620037,0.7727526005581364,0.03597308405319827,1.31032370328202,0.25911947509897665
1.0,Llama-4-Maverick-17B-128E-Instruct-FP8,Llama-Maverick,0.24450209927228,0.0645610155239765,0.7177777142855768,0.03972841217914254,1.6670154325658184,0.26027242152575697
1.5,gpt-5.4-mini-20260317,GPT-5.4-mini,0.25521080602519064,0.060424242070813594,0.7234733881567017,0.02960724394034267,1.6973220029965237,0.23254477713222366
1.5,DeepSeek-V3.2,DeepSeek-V3.2,0.25521080602519064,0.060424242070813594,0.7234733881567017,0.02960724394034267,1.6973220029965237,0.23254477713222366
1.5,Kimi-K2.6,Kimi-K2.6,0.3051345303633116,0.06670278995468272,0.7495637934913716,0.03358897658130158,1.4735602836821804,0.23425261305612585
1.5,Llama-4-Maverick-17B-128E-Instruct-FP8,Llama-Maverick,0.22536791325082417,0.04964372563238286,0.707444529074772,0.034421990319441036,1.723694984253471,0.22375735513361295
2.0,gpt-5.4-mini-20260317,GPT-5.4-mini,0.2508540006659909,0.062288709237103605,0.7223153152276247,0.030128178617766885,1.7247701896788281,0.23863747279654982
2.0,DeepSeek-V3.2,DeepSeek-V3.2,0.2508540006659909,0.062288709237103605,0.7223153152276247,0.030128178617766885,1.7247701896788281,0.23863747279654982
2.0,Kimi-K2.6,Kimi-K2.6,0.30077772500411193,0.06918677930937707,0.7484057205622945,0.03427017503491481,1.5010084703644853,0.24660896880875652
2.0,Llama-4-Maverick-17B-128E-Instruct-FP8,Llama-Maverick,0.22101110789162443,0.05126679164594535,0.7062864561456947,0.03473773706992748,1.7511431709357759,0.22929496019577808
3.0,gpt-5.4-mini-20260317,GPT-5.4-mini,0.23889333021297227,0.06510422386904303,0.7237915128810497,0.02999770624524207,1.7281472889030094,0.23952315005665167
3.0,DeepSeek-V3.2,DeepSeek-V3.2,0.23889333021297227,0.06510422386904303,0.7237915128810497,0.02999770624524207,1.7281472889030094,0.23952315005665167
3.0,Kimi-K2.6,Kimi-K2.6,0.2888170545510933,0.0737837902636364,0.7498819182157195,0.03387244946131729,1.5043855695886663,0.24822834699446483
3.0,Llama-4-Maverick-17B-128E-Instruct-FP8,Llama-Maverick,0.22101110789162443,0.05126679164594535,0.7062864561456947,0.03473773706992748,1.7511431709357759,0.22929496019577808
