method,model,model_label,round,ptrue,ptrue_sem,rule_acc,rule_acc_sem
live_pact,gpt-5.4-mini-20260317,GPT-5.4-mini,0,0.09624542444949871,0.020429528948223318,0.572284029431794,0.0329959833618497
live_pact,gpt-5.4-mini-20260317,GPT-5.4-mini,1,0.18083757984194193,0.03355714220144707,0.6593152294949531,0.02924537172513389
live_pact,gpt-5.4-mini-20260317,GPT-5.4-mini,2,0.2622170562172083,0.04156714530744027,0.7108387237060272,0.023615546381487825
live_pact,gpt-5.4-mini-20260317,GPT-5.4-mini,3,0.289972970334303,0.03223499740562367,0.7235528672588757,0.019945639553977063
live_pact,gpt-5.4-mini-20260317,GPT-5.4-mini,4,0.33969028740391327,0.04419411023165672,0.7565365692840382,0.023071623067851172
live_pact,gpt-5.4-mini-20260317,GPT-5.4-mini,5,0.34381943982140006,0.04420592106394011,0.7706006711895526,0.022492271614784096
live_pact,gpt-5.4-mini-20260317,GPT-5.4-mini,6,0.3371696381621469,0.035150938230006534,0.7716535623630055,0.019936874540038535
live_pact,gpt-5.4-mini-20260317,GPT-5.4-mini,7,0.3610671055664175,0.05304560510398466,0.7837313928980802,0.025956686329308917
live_pact,DeepSeek-V3.2,DeepSeek-V3.2,0,0.10404936303460803,0.015621948179616572,0.5894250568414596,0.019625562360376766
live_pact,DeepSeek-V3.2,DeepSeek-V3.2,1,0.18156333631967161,0.03304610261116454,0.6680816694372348,0.022986246376571925
live_pact,DeepSeek-V3.2,DeepSeek-V3.2,2,0.27360271689045434,0.03162331269482725,0.721153593518524,0.017543112868803425
live_pact,DeepSeek-V3.2,DeepSeek-V3.2,3,0.31280963473806817,0.05423377738287395,0.744519416100873,0.02450062920408781
live_pact,DeepSeek-V3.2,DeepSeek-V3.2,4,0.3256930070171409,0.05461523382927534,0.7556848878987037,0.02315920547773908
live_pact,DeepSeek-V3.2,DeepSeek-V3.2,5,0.35526354392072285,0.03582539773745448,0.7789578412461923,0.021434297660023346
live_pact,DeepSeek-V3.2,DeepSeek-V3.2,6,0.3752625290544985,0.016991153095616152,0.7869280037531858,0.020787669973523805
live_pact,DeepSeek-V3.2,DeepSeek-V3.2,7,0.40497016345918074,0.03611111586648229,0.8004124182368388,0.024977043878300968
live_pact,Kimi-K2.6,Kimi-K2.6,0,0.10404936303460803,0.015621948179616572,0.5894250568414596,0.019625562360376766
live_pact,Kimi-K2.6,Kimi-K2.6,1,0.18156333631967161,0.03304610261116454,0.6680816694372348,0.022986246376571925
live_pact,Kimi-K2.6,Kimi-K2.6,2,0.26438743965777495,0.039611762599468255,0.7143739614802169,0.021167575740068403
live_pact,Kimi-K2.6,Kimi-K2.6,3,0.34564704431066595,0.0286568451350012,0.7504301852181907,0.022234740962847842
live_pact,Kimi-K2.6,Kimi-K2.6,4,0.37036879003362877,0.028382052363414255,0.765871474186204,0.021305498382585317
live_pact,Kimi-K2.6,Kimi-K2.6,5,0.3744634185864707,0.0297589973286981,0.7767948467875894,0.021347402543859837
live_pact,Kimi-K2.6,Kimi-K2.6,6,0.3684203866138534,0.01530262679894701,0.7776573998564522,0.018774941242111282
live_pact,Kimi-K2.6,Kimi-K2.6,7,0.3929163951214966,0.03612792159914815,0.7898084502104104,0.024176747283372206
live_pact,Llama-4-Maverick-17B-128E-Instruct-FP8,Llama-Maverick,0,0.08519072521262089,0.013331118138891497,0.5574375257412225,0.02581935605899086
live_pact,Llama-4-Maverick-17B-128E-Instruct-FP8,Llama-Maverick,1,0.1553174564206986,0.0246601723124462,0.6436643856321318,0.022488268374904138
live_pact,Llama-4-Maverick-17B-128E-Instruct-FP8,Llama-Maverick,2,0.20965553598506254,0.03564290223229699,0.6920637561734899,0.017274428891648708
live_pact,Llama-4-Maverick-17B-128E-Instruct-FP8,Llama-Maverick,3,0.28977250647875125,0.05569805021938698,0.7205482115633917,0.027949130869979723
live_pact,Llama-4-Maverick-17B-128E-Instruct-FP8,Llama-Maverick,4,0.28592978008244085,0.06479135264641592,0.714303927516409,0.036550638506586734
live_pact,Llama-4-Maverick-17B-128E-Instruct-FP8,Llama-Maverick,5,0.2698928275923099,0.06607978386329273,0.7382435531718773,0.03137336883359643
live_pact,Llama-4-Maverick-17B-128E-Instruct-FP8,Llama-Maverick,6,0.2952698252311504,0.052256200292440026,0.7542761845320834,0.0241427455995885
live_pact,Llama-4-Maverick-17B-128E-Instruct-FP8,Llama-Maverick,7,0.32304368310482307,0.06938946638806667,0.7678579017234171,0.03063596864291093
live_pact_plus,gpt-5.4-mini-20260317,GPT-5.4-mini,0,0.09985034793066797,0.013596994486256538,0.5797851754613305,0.019443544554546565
live_pact_plus,gpt-5.4-mini-20260317,GPT-5.4-mini,1,0.13518634546002586,0.017843952792095455,0.6325590048561541,0.016293886126462816
live_pact_plus,gpt-5.4-mini-20260317,GPT-5.4-mini,2,0.20211911570447344,0.01912492766782312,0.6839292595798286,0.01100783658010701
live_pact_plus,gpt-5.4-mini-20260317,GPT-5.4-mini,3,0.23954210293904543,0.03635406767856986,0.7071500801413524,0.018579823183910504
live_pact_plus,gpt-5.4-mini-20260317,GPT-5.4-mini,4,0.24742516703465514,0.04433096909535879,0.7044636215630367,0.02835174018579226
live_pact_plus,gpt-5.4-mini-20260317,GPT-5.4-mini,5,0.2470645679327636,0.048470311723378436,0.7098021144413206,0.025508766674544724
live_pact_plus,gpt-5.4-mini-20260317,GPT-5.4-mini,6,0.2509995228851184,0.03276754720770286,0.7150760594084986,0.016854773987678446
live_pact_plus,gpt-5.4-mini-20260317,GPT-5.4-mini,7,0.2749730057803428,0.051171704092288134,0.7264753154254794,0.023648004646286486
live_pact_plus,DeepSeek-V3.2,DeepSeek-V3.2,0,0.09985034793066797,0.013596994486256538,0.5797851754613305,0.019443544554546565
live_pact_plus,DeepSeek-V3.2,DeepSeek-V3.2,1,0.13518634546002586,0.017843952792095455,0.6325590048561541,0.016293886126462816
live_pact_plus,DeepSeek-V3.2,DeepSeek-V3.2,2,0.20211911570447344,0.01912492766782312,0.6839292595798286,0.01100783658010701
live_pact_plus,DeepSeek-V3.2,DeepSeek-V3.2,3,0.23954210293904543,0.03635406767856986,0.7071500801413524,0.018579823183910504
live_pact_plus,DeepSeek-V3.2,DeepSeek-V3.2,4,0.24742516703465514,0.04433096909535879,0.7044636215630367,0.02835174018579226
live_pact_plus,DeepSeek-V3.2,DeepSeek-V3.2,5,0.2470645679327636,0.048470311723378436,0.7098021144413206,0.025508766674544724
live_pact_plus,DeepSeek-V3.2,DeepSeek-V3.2,6,0.2509995228851184,0.03276754720770286,0.7150760594084986,0.016854773987678446
live_pact_plus,DeepSeek-V3.2,DeepSeek-V3.2,7,0.2749730057803428,0.051171704092288134,0.7264753154254794,0.023648004646286486
live_pact_plus,Kimi-K2.6,Kimi-K2.6,0,0.09985034793066797,0.013596994486256538,0.5797851754613305,0.019443544554546565
live_pact_plus,Kimi-K2.6,Kimi-K2.6,1,0.15022329721832864,0.01734864528334356,0.6421133519731713,0.018304795597240846
live_pact_plus,Kimi-K2.6,Kimi-K2.6,2,0.20465208433270982,0.019048558433737473,0.6875987726393059,0.012081021852642659
live_pact_plus,Kimi-K2.6,Kimi-K2.6,3,0.25525642502860996,0.03493691557790853,0.7194879704288726,0.020064127494925414
live_pact_plus,Kimi-K2.6,Kimi-K2.6,4,0.27135532975266685,0.043461987575764,0.7215239488286658,0.03135150302852437
live_pact_plus,Kimi-K2.6,Kimi-K2.6,5,0.25399244449943215,0.046955969947739186,0.717714645321786,0.02530638935438542
live_pact_plus,Kimi-K2.6,Kimi-K2.6,6,0.2689876755813041,0.02750692192961994,0.7292693609771083,0.01796619645905907
live_pact_plus,Kimi-K2.6,Kimi-K2.6,7,0.2931930182977579,0.04544842056123766,0.740655224808523,0.0227528140778543
live_pact_plus,Llama-4-Maverick-17B-128E-Instruct-FP8,Llama-Maverick,0,0.0962671021403395,0.013624423854965526,0.5679399441723717,0.020595552430970634
live_pact_plus,Llama-4-Maverick-17B-128E-Instruct-FP8,Llama-Maverick,1,0.1591821070766012,0.01967184787718831,0.6481077263684982,0.012360932296771772
live_pact_plus,Llama-4-Maverick-17B-128E-Instruct-FP8,Llama-Maverick,2,0.20718186602880007,0.027880118235280634,0.6926488361574841,0.015595575581895449
live_pact_plus,Llama-4-Maverick-17B-128E-Instruct-FP8,Llama-Maverick,3,0.25133683982457783,0.04513406258061938,0.71611138651716,0.028102746583361406
live_pact_plus,Llama-4-Maverick-17B-128E-Instruct-FP8,Llama-Maverick,4,0.2603743352309219,0.05201597369918857,0.7194428535481162,0.03422963903071006
live_pact_plus,Llama-4-Maverick-17B-128E-Instruct-FP8,Llama-Maverick,5,0.2558661912863893,0.055276221241374025,0.7184209843336228,0.0343515789504763
live_pact_plus,Llama-4-Maverick-17B-128E-Instruct-FP8,Llama-Maverick,6,0.25804060676997065,0.03707585410864994,0.7286731592742518,0.020960948258949577
live_pact_plus,Llama-4-Maverick-17B-128E-Instruct-FP8,Llama-Maverick,7,0.29084514170020587,0.060603303960978724,0.7478265177573471,0.031679770330923715
