cell,gap,target_information,turns,batch,mean_root_lr
0,1,0.25,71,0,0.775725938947618
0,1,0.25,71,1,0.7987156194702993
0,1,0.25,71,2,0.778817415377171
0,1,0.25,71,3,0.7750651419629819
0,1,0.25,71,4,0.7679837446398394
0,1,0.25,71,5,0.7636456427925314
0,1,0.25,71,6,0.7605261560166825
0,1,0.25,71,7,0.7692382636036287
0,1,0.25,71,8,0.7862103514573078
0,1,0.25,71,9,0.8133143864438626
0,1,0.25,71,10,0.8148922911935017
0,1,0.25,71,11,0.7655267831142407
0,1,0.25,71,12,0.7972580535303403
0,1,0.25,71,13,0.7740337036530232
0,1,0.25,71,14,0.7581437998706604
0,1,0.25,71,15,0.7691944443018147
0,1,0.25,71,16,0.7922530858160967
0,1,0.25,71,17,0.7783728492953987
0,1,0.25,71,18,0.7548664940600683
0,1,0.25,71,19,0.7900821996431137
0,1,0.25,71,20,0.7985909960800481
0,1,0.25,71,21,0.7733491191658667
0,1,0.25,71,22,0.7798532480416188
0,1,0.25,71,23,0.7533418881044622
0,1,0.25,71,24,0.7961592700844065
0,1,0.25,71,25,0.8013574981096279
0,1,0.25,71,26,0.7693158243163672
0,1,0.25,71,27,0.7931751975296816
0,1,0.25,71,28,0.7710608817603859
0,1,0.25,71,29,0.8208065598541316
0,1,0.25,71,30,0.79438875511561
0,1,0.25,71,31,0.7476475707672181
0,1,0.25,71,32,0.7747766862597028
0,1,0.25,71,33,0.7860709682568721
0,1,0.25,71,34,0.7690218456714417
0,1,0.25,71,35,0.7769131723598948
0,1,0.25,71,36,0.8035951616692127
0,1,0.25,71,37,0.7881591055659614
0,1,0.25,71,38,0.7690494334527798
0,1,0.25,71,39,0.7736087116527005
0,1,0.25,71,40,0.758736225472198
0,1,0.25,71,41,0.7778896390023926
0,1,0.25,71,42,0.7671657733502586
0,1,0.25,71,43,0.7807853310358858
0,1,0.25,71,44,0.7827966567693116
0,1,0.25,71,45,0.7547913630009291
0,1,0.25,71,46,0.763539609003235
0,1,0.25,71,47,0.7866831029699949
0,1,0.25,71,48,0.7533711898786678
0,1,0.25,71,49,0.7682725669154993
0,1,0.25,71,50,0.7826519779841731
0,1,0.25,71,51,0.7755410409561593
0,1,0.25,71,52,0.7678913808813631
0,1,0.25,71,53,0.7946298625010847
0,1,0.25,71,54,0.7925686500214253
0,1,0.25,71,55,0.7684871142476414
0,1,0.25,71,56,0.8118989318586213
0,1,0.25,71,57,0.8102414242862362
0,1,0.25,71,58,0.7472181965042848
0,1,0.25,71,59,0.7506493654572497
0,1,0.25,71,60,0.7872994232801236
0,1,0.25,71,61,0.7991985582816796
0,1,0.25,71,62,0.7974173597312404
0,1,0.25,71,63,0.7917602377983145
0,1,0.25,71,64,0.7926617888237195
0,1,0.25,71,65,0.7981776375872778
0,1,0.25,71,66,0.7577344608700268
0,1,0.25,71,67,0.7572451360288368
0,1,0.25,71,68,0.7631144964200428
0,1,0.25,71,69,0.8047192451742479
0,1,0.25,71,70,0.8175751102293617
0,1,0.25,71,71,0.7531930636307088
0,1,0.25,71,72,0.7984745175429534
0,1,0.25,71,73,0.7728109267113951
0,1,0.25,71,74,0.7827027327294743
0,1,0.25,71,75,0.8065422951527585
0,1,0.25,71,76,0.784056143790382
0,1,0.25,71,77,0.8118882835421902
0,1,0.25,71,78,0.7785030747107644
0,1,0.25,71,79,0.7857058214989653
0,1,0.25,71,80,0.7607790018425988
0,1,0.25,71,81,0.801109681610768
0,1,0.25,71,82,0.765607086186695
0,1,0.25,71,83,0.7716719194448846
0,1,0.25,71,84,0.8038246767463452
0,1,0.25,71,85,0.785583453344623
0,1,0.25,71,86,0.7763028946947381
0,1,0.25,71,87,0.7800535924171166
0,1,0.25,71,88,0.7672515123381249
0,1,0.25,71,89,0.7535497659431631
0,1,0.25,71,90,0.7736290779559436
0,1,0.25,71,91,0.7522486011374899
0,1,0.25,71,92,0.7599342281682474
0,1,0.25,71,93,0.7801367605098749
0,1,0.25,71,94,0.7972312633207894
0,1,0.25,71,95,0.7894375358591664
0,1,0.25,71,96,0.7972704327658369
0,1,0.25,71,97,0.776419235140883
0,1,0.25,71,98,0.8068961825656249
0,1,0.25,71,99,0.7582335408277584
0,1,0.25,71,100,0.7890989859709489
0,1,0.25,71,101,0.8377273313647964
0,1,0.25,71,102,0.8031123026675415
0,1,0.25,71,103,0.7891645685823205
0,1,0.25,71,104,0.776585386020037
0,1,0.25,71,105,0.7670996630962575
0,1,0.25,71,106,0.7869314998363481
0,1,0.25,71,107,0.7831836589132731
0,1,0.25,71,108,0.7783027192041011
0,1,0.25,71,109,0.7678588260207232
0,1,0.25,71,110,0.7741696002154572
0,1,0.25,71,111,0.8068706468052401
0,1,0.25,71,112,0.7745612476504484
0,1,0.25,71,113,0.7687792265186643
0,1,0.25,71,114,0.7678092166807439
0,1,0.25,71,115,0.772961105794473
0,1,0.25,71,116,0.8204122767565003
