n,algorithm,storage_entries,mean_final_cumulative_regret,sem,seeds,input
2,hpsmg,8,0.0,0.0,1,results\e1_e4_smoke\E3_n2_smoke.npz
2,hpsmg_plus,8,0.0,0.0,1,results\e1_e4_smoke\E3_n2_smoke.npz
2,joint_psrl,16,0.0,0.0,1,results\e1_e4_smoke\E3_n2_smoke.npz
3,hpsmg,12,0.0,0.0,1,results\e1_e4_smoke\E3_n3_smoke.npz
3,hpsmg_plus,12,0.0,0.0,1,results\e1_e4_smoke\E3_n3_smoke.npz
3,joint_psrl,64,0.0,0.0,1,results\e1_e4_smoke\E3_n3_smoke.npz
