experiment,model,family,algorithm,episode_k,n_seeds,cumulative_regret_mean,cumulative_regret_std,cumulative_regret_sem,instant_regret_mean,source
E5_cross_model_c19_beta0p25_K20,DeepSeek-V3.2,Native,hpsmg,7,5,0.612,0.6688946105,0.2991387638,0,results/cloudgpt/E2_DeepSeek_V3_2_c19_beta0p25.npz
E5_cross_model_c19_beta0p25_K20,DeepSeek-V3.2,Native,hpsmg,8,5,0.618,0.6624726409,0.2962667717,0.006,results/cloudgpt/E2_DeepSeek_V3_2_c19_beta0p25.npz
E5_cross_model_c19_beta0p25_K20,DeepSeek-V3.2,Native,hpsmg,9,5,0.618,0.6624726409,0.2962667717,0,results/cloudgpt/E2_DeepSeek_V3_2_c19_beta0p25.npz
E5_cross_model_c19_beta0p25_K20,DeepSeek-V3.2,Native,hpsmg,10,5,0.618,0.6624726409,0.2962667717,0,results/cloudgpt/E2_DeepSeek_V3_2_c19_beta0p25.npz
E5_cross_model_c19_beta0p25_K20,DeepSeek-V3.2,Native,hpsmg,11,5,0.618,0.6624726409,0.2962667717,0,results/cloudgpt/E2_DeepSeek_V3_2_c19_beta0p25.npz
E5_cross_model_c19_beta0p25_K20,DeepSeek-V3.2,Native,hpsmg,12,5,0.618,0.6624726409,0.2962667717,0,results/cloudgpt/E2_DeepSeek_V3_2_c19_beta0p25.npz
E5_cross_model_c19_beta0p25_K20,DeepSeek-V3.2,Native,hpsmg,13,5,0.828,0.6053263583,0.2707101771,0.21,results/cloudgpt/E2_DeepSeek_V3_2_c19_beta0p25.npz
E5_cross_model_c19_beta0p25_K20,DeepSeek-V3.2,Native,hpsmg,14,5,0.828,0.6053263583,0.2707101771,0,results/cloudgpt/E2_DeepSeek_V3_2_c19_beta0p25.npz
E5_cross_model_c19_beta0p25_K20,DeepSeek-V3.2,Native,hpsmg,15,5,0.828,0.6053263583,0.2707101771,0,results/cloudgpt/E2_DeepSeek_V3_2_c19_beta0p25.npz
E5_cross_model_c19_beta0p25_K20,DeepSeek-V3.2,Native,hpsmg,16,5,0.828,0.6053263583,0.2707101771,0,results/cloudgpt/E2_DeepSeek_V3_2_c19_beta0p25.npz
E5_cross_model_c19_beta0p25_K20,DeepSeek-V3.2,Native,hpsmg,17,5,0.828,0.6053263583,0.2707101771,0,results/cloudgpt/E2_DeepSeek_V3_2_c19_beta0p25.npz
E5_cross_model_c19_beta0p25_K20,DeepSeek-V3.2,Native,hpsmg,18,5,0.828,0.6053263583,0.2707101771,0,results/cloudgpt/E2_DeepSeek_V3_2_c19_beta0p25.npz
E5_cross_model_c19_beta0p25_K20,DeepSeek-V3.2,Native,hpsmg,19,5,0.828,0.6053263583,0.2707101771,0,results/cloudgpt/E2_DeepSeek_V3_2_c19_beta0p25.npz
E5_cross_model_c19_beta0p25_K20,DeepSeek-V3.2,Native,hpsmg,20,5,0.828,0.6053263583,0.2707101771,0,results/cloudgpt/E2_DeepSeek_V3_2_c19_beta0p25.npz
E5_cross_model_c19_beta0p25_K20,DeepSeek-V3.2,Native,joint_psrl,1,5,0.45,0.4301162634,0.1923538406,0.45,results/cloudgpt/E2_DeepSeek_V3_2_c19_beta0p25.npz
E5_cross_model_c19_beta0p25_K20,DeepSeek-V3.2,Native,joint_psrl,2,5,0.64,0.3714835124,0.1661324773,0.19,results/cloudgpt/E2_DeepSeek_V3_2_c19_beta0p25.npz
E5_cross_model_c19_beta0p25_K20,DeepSeek-V3.2,Native,joint_psrl,3,5,0.656,0.3764040382,0.1683330033,0.016,results/cloudgpt/E2_DeepSeek_V3_2_c19_beta0p25.npz
E5_cross_model_c19_beta0p25_K20,DeepSeek-V3.2,Native,joint_psrl,4,5,0.656,0.3764040382,0.1683330033,0,results/cloudgpt/E2_DeepSeek_V3_2_c19_beta0p25.npz
E5_cross_model_c19_beta0p25_K20,DeepSeek-V3.2,Native,joint_psrl,5,5,0.832,0.08899438185,0.03979949748,0.176,results/cloudgpt/E2_DeepSeek_V3_2_c19_beta0p25.npz
E5_cross_model_c19_beta0p25_K20,DeepSeek-V3.2,Native,joint_psrl,6,5,0.832,0.08899438185,0.03979949748,0,results/cloudgpt/E2_DeepSeek_V3_2_c19_beta0p25.npz
E5_cross_model_c19_beta0p25_K20,DeepSeek-V3.2,Native,joint_psrl,7,5,0.832,0.08899438185,0.03979949748,0,results/cloudgpt/E2_DeepSeek_V3_2_c19_beta0p25.npz
E5_cross_model_c19_beta0p25_K20,DeepSeek-V3.2,Native,joint_psrl,8,5,0.832,0.08899438185,0.03979949748,0,results/cloudgpt/E2_DeepSeek_V3_2_c19_beta0p25.npz
E5_cross_model_c19_beta0p25_K20,DeepSeek-V3.2,Native,joint_psrl,9,5,0.832,0.08899438185,0.03979949748,0,results/cloudgpt/E2_DeepSeek_V3_2_c19_beta0p25.npz
E5_cross_model_c19_beta0p25_K20,DeepSeek-V3.2,Native,joint_psrl,10,5,0.832,0.08899438185,0.03979949748,0,results/cloudgpt/E2_DeepSeek_V3_2_c19_beta0p25.npz
E5_cross_model_c19_beta0p25_K20,DeepSeek-V3.2,Native,joint_psrl,11,5,0.832,0.08899438185,0.03979949748,0,results/cloudgpt/E2_DeepSeek_V3_2_c19_beta0p25.npz
E5_cross_model_c19_beta0p25_K20,DeepSeek-V3.2,Native,joint_psrl,12,5,0.832,0.08899438185,0.03979949748,0,results/cloudgpt/E2_DeepSeek_V3_2_c19_beta0p25.npz
E5_cross_model_c19_beta0p25_K20,DeepSeek-V3.2,Native,joint_psrl,13,5,0.832,0.08899438185,0.03979949748,0,results/cloudgpt/E2_DeepSeek_V3_2_c19_beta0p25.npz
E5_cross_model_c19_beta0p25_K20,DeepSeek-V3.2,Native,joint_psrl,14,5,0.832,0.08899438185,0.03979949748,0,results/cloudgpt/E2_DeepSeek_V3_2_c19_beta0p25.npz
E5_cross_model_c19_beta0p25_K20,DeepSeek-V3.2,Native,joint_psrl,15,5,0.832,0.08899438185,0.03979949748,0,results/cloudgpt/E2_DeepSeek_V3_2_c19_beta0p25.npz
E5_cross_model_c19_beta0p25_K20,DeepSeek-V3.2,Native,joint_psrl,16,5,0.832,0.08899438185,0.03979949748,0,results/cloudgpt/E2_DeepSeek_V3_2_c19_beta0p25.npz
E5_cross_model_c19_beta0p25_K20,DeepSeek-V3.2,Native,joint_psrl,17,5,0.832,0.08899438185,0.03979949748,0,results/cloudgpt/E2_DeepSeek_V3_2_c19_beta0p25.npz
