prior_mode,algorithm,mean_final_cumulative_regret,sem_final,seeds,K,input
adversarial,hpsmg,1.4339999999999997,0.2562147536735539,5,20,results\e1_e4_llm\E4_prior_adversarial_DeepSeek_V3_2_live.npz
adversarial,map_greedy,1.6099999999999994,0.37296112397943,5,20,results\e1_e4_llm\E4_prior_adversarial_DeepSeek_V3_2_live.npz
correct,hpsmg,0.7859999999999999,0.1906462693052239,5,20,results\e1_e4_llm\E4_prior_correct_DeepSeek_V3_2_live.npz
correct,map_greedy,0.0,0.0,5,20,results\e1_e4_llm\E4_prior_correct_DeepSeek_V3_2_live.npz
uniform,hpsmg,1.2859999999999998,0.29550972911225765,5,20,results\e1_e4_llm\E4_prior_uniform_DeepSeek_V3_2_live.npz
uniform,map_greedy,0.8999999999999997,0.20796634343085416,5,20,results\e1_e4_llm\E4_prior_uniform_DeepSeek_V3_2_live.npz
