substrate,config,solver,focal_payoff,focal_payoff_sem,walltime_ms,walltime_ms_sem,seed_count
pub_coordination,london_closures_s30,iterated_br_3pass,1.2666666666666666,0.02052939206838132,0.3146333333333333,0.004508715272664896,30
pub_coordination,london_mini_s30,exact_enumeration,1.3166666666666667,0.029197438611219633,0.16243,0.0019468462560838199,30
pub_coordination,london_mini_s30,greedy_br_1pass,1.3,0.030323921743156138,0.047189999999999996,0.0003810858653658112,30
pub_coordination,london_mini_s30,iterated_br_3pass,1.3,0.030323921743156138,0.13172,0.002005660953917428,30
pub_coordination,london_mini_s5,exact_enumeration,1.3,0.049999999999999996,0.18506,0.006372487740278517,5
pub_coordination,london_mini_s5,greedy_br_1pass,1.3,0.049999999999999996,0.05861999999999999,0.004992434275982008,5
pub_coordination,london_mini_s5,iterated_br_3pass,1.3,0.049999999999999996,0.15788,0.017198180136281858,5
pub_coordination,london_s30,exact_enumeration,1.3354166666666667,0.013562373646497249,1.0275566666666667,0.007100090145669164,30
pub_coordination,london_s30,greedy_br_1pass,1.3166666666666667,0.016666666666666666,0.11244333333333333,0.0024663514088691116,30
pub_coordination,london_s30,iterated_br_3pass,1.3166666666666667,0.016666666666666666,0.32491333333333333,0.007154353603151525,30
