family,variant,episodes,focal_score_mean,focal_score_sem,pact_minus_variant_paired_mean,pact_minus_variant_paired_sem
craigslist_bargains,PACT+ corrected,80,2.6651785714285716,0.07387966459371953,0.0,0.0
craigslist_bargains,naive-belief corrected,80,2.6214285714285714,0.07764953157994825,0.04374999999999997,0.09637324906577915
craigslist_bargains,surrogate-only corrected,80,2.6026785714285716,0.07282588670662406,0.06250000000000003,0.07718000871859317
donate_funds,PACT+ corrected,20,3.2285714285714286,0.12081890292489092,0.0,0.0
donate_funds,naive-belief corrected,20,3.1357142857142857,0.12511004822779728,0.09285714285714289,0.1819677028979571
donate_funds,surrogate-only corrected,20,3.307142857142858,0.13364066799362773,-0.0785714285714286,0.09048443439555778
revenge_plot,PACT+ corrected,20,2.742857142857143,0.10238823777773956,0.0,0.0
revenge_plot,naive-belief corrected,20,2.7857142857142856,0.11126168339186797,-0.04285714285714276,0.14968638895234923
revenge_plot,surrogate-only corrected,20,2.85,0.14038270539571912,-0.1071428571428571,0.16570164587522132
