phase,H,n,m,seed,agent,true_type,first_turn,censored,rho_action,first_episode
type_horizon,1,3,4,2025,1,2,5.0,False,0.07433819726669055,5
type_horizon,1,3,4,2025,2,2,6.0,False,0.07433819726669055,6
type_horizon,1,3,4,2026,0,1,7.0,False,0.07433819726669055,7
type_horizon,1,3,4,2026,1,3,5.0,False,0.07433819726669055,5
type_horizon,1,3,4,2026,2,0,4.0,False,0.07433819726669055,4
type_horizon,1,3,4,2027,0,1,7.0,False,0.07433819726669055,7
type_horizon,1,3,4,2027,1,0,7.0,False,0.07433819726669055,7
type_horizon,1,3,4,2027,2,0,14.0,False,0.07433819726669055,14
type_horizon,1,3,4,2028,0,1,8.0,False,0.07433819726669055,8
type_horizon,1,3,4,2028,1,1,9.0,False,0.07433819726669055,9
type_horizon,1,3,4,2028,2,3,3.0,False,0.07433819726669055,3
type_horizon,1,3,4,2029,0,1,6.0,False,0.07433819726669055,6
type_horizon,1,3,4,2029,1,1,11.0,False,0.07433819726669055,11
type_horizon,1,3,4,2029,2,3,3.0,False,0.07433819726669055,3
type_horizon,1,3,4,2030,0,0,9.0,False,0.07433819726669055,9
type_horizon,1,3,4,2030,1,1,6.0,False,0.07433819726669055,6
type_horizon,1,3,4,2030,2,2,5.0,False,0.07433819726669055,5
type_horizon,1,3,4,2031,0,3,2.0,False,0.07433819726669055,2
type_horizon,1,3,4,2031,1,2,6.0,False,0.07433819726669055,6
type_horizon,1,3,4,2031,2,0,2.0,False,0.07433819726669055,2
type_horizon,1,3,4,2032,0,1,7.0,False,0.07433819726669055,7
type_horizon,1,3,4,2032,1,1,6.0,False,0.07433819726669055,6
type_horizon,1,3,4,2032,2,2,4.0,False,0.07433819726669055,4
type_horizon,1,3,4,2033,0,3,11.0,False,0.07433819726669055,11
type_horizon,1,3,4,2033,1,2,4.0,False,0.07433819726669055,4
type_horizon,1,3,4,2033,2,0,10.0,False,0.07433819726669055,10
type_horizon,1,3,4,2034,0,0,25.0,False,0.07433819726669055,25
type_horizon,1,3,4,2034,1,3,2.0,False,0.07433819726669055,2
type_horizon,1,3,4,2034,2,2,4.0,False,0.07433819726669055,4
type_horizon,1,3,4,2035,0,2,6.0,False,0.07433819726669055,6
type_horizon,1,3,4,2035,1,3,1.0,False,0.07433819726669055,1
type_horizon,1,3,4,2035,2,2,4.0,False,0.07433819726669055,4
type_horizon,1,3,4,2036,0,0,3.0,False,0.07433819726669055,3
type_horizon,1,3,4,2036,1,1,6.0,False,0.07433819726669055,6
type_horizon,1,3,4,2036,2,1,8.0,False,0.07433819726669055,8
type_horizon,1,3,4,2037,0,2,3.0,False,0.07433819726669055,3
type_horizon,1,3,4,2037,1,0,4.0,False,0.07433819726669055,4
type_horizon,1,3,4,2037,2,3,2.0,False,0.07433819726669055,2
type_horizon,1,3,4,2038,0,0,4.0,False,0.07433819726669055,4
type_horizon,1,3,4,2038,1,2,5.0,False,0.07433819726669055,5
type_horizon,1,3,4,2038,2,0,5.0,False,0.07433819726669055,5
type_horizon,1,3,4,2039,0,3,1.0,False,0.07433819726669055,1
type_horizon,1,3,4,2039,1,2,4.0,False,0.07433819726669055,4
type_horizon,1,3,4,2039,2,1,6.0,False,0.07433819726669055,6
type_horizon,1,3,4,2040,0,3,1.0,False,0.07433819726669055,1
type_horizon,1,3,4,2040,1,0,11.0,False,0.07433819726669055,11
