phase,n,m,H,rho_action,predictor_per_agent,predictor_all_agent,median_per_agent_episode,median_all_agent_episode,censored_agents,censored_seeds
type_horizon,3,4,1,0.07433819726669055,27.972719518873664,42.75129001240883,6.0,9.0,0,0
type_horizon,3,4,4,0.07433819726669055,6.993179879718416,10.687822503102208,2.0,3.0,0,0
type_horizon,3,4,16,0.07433819726669055,1.748294969929604,2.671955625775552,1.0,1.0,0,0
type_horizon,3,8,1,0.015992267610175137,195.04190328425818,263.7383705675541,52.0,74.0,0,0
type_horizon,3,8,4,0.015992267610175137,48.760475821064546,65.93459264188853,13.0,19.0,0,0
type_horizon,3,8,16,0.015992267610175137,12.190118955266136,16.483648160472132,4.0,5.0,0,0
type_horizon,3,16,1,0.0035047535997874135,1186.6406481790718,1500.1041363782845,243.0,358.0,0,0
type_horizon,3,16,4,0.0035047535997874135,296.66016204476796,375.0260340945711,61.0,90.0,0,0
type_horizon,3,16,16,0.0035047535997874135,74.16504051119199,93.75650852364278,16.0,23.0,0,0
population,2,8,4,0.015992267610175137,48.760475821064546,59.596137114634445,13.0,17.0,0,0
population,4,8,4,0.015992267610175137,48.760475821064546,70.43179840820434,14.0,23.0,0,0
population,8,8,4,0.015992267610175137,48.760475821064546,81.26745970177424,14.0,28.0,0,0
population,16,8,4,0.015992267610175137,48.760475821064546,92.10312099534414,13.0,35.5,0,0
