section,rho,arm,metric,subset,n,mean,sem,ci95_low,ci95_high
round_regret_increment,0.0,joint,regret_increment,round_14,20,8.881784197001253e-17,3.279240721266546e-16,-5.975272409910755e-16,7.751629249311005e-16
round_regret_increment,0.0,joint,regret_increment,round_15,20,0.13950000000000026,0.0963121979485683,-0.062081430306353186,0.34108143030635374
round_regret_increment,0.0,joint,regret_increment,round_16,20,0.6479999999999998,0.4332481967648569,-0.2587884758288457,1.5547884758288453
round_regret_increment,0.0,joint,regret_increment,round_17,20,0.0939999999999999,0.07553806987208503,-0.06410118024227406,0.25210118024227385
round_regret_increment,0.0,joint,regret_increment,round_18,20,0.4230000000000005,0.24568497158588656,-0.09121864552926007,0.937218645529261
round_regret_increment,0.0,joint,regret_increment,round_19,20,0.9445,0.40593068827597945,0.094887069438375,1.794112930561625
round_regret_increment,0.0,joint,regret_increment,round_20,20,0.6499999999999999,0.317520824016647,-0.014571084666842204,1.314571084666842
round_regret_increment,0.0,harp,regret_increment,round_1,20,0.0,0.0,0.0,0.0
round_regret_increment,0.0,harp,regret_increment,round_2,20,0.075,0.075,-0.081975,0.231975
round_regret_increment,0.0,harp,regret_increment,round_3,20,0.43649999999999994,0.257145540399534,-0.1017056160562248,0.9747056160562246
round_regret_increment,0.0,harp,regret_increment,round_4,20,0.075,0.075,-0.081975,0.231975
round_regret_increment,0.0,harp,regret_increment,round_5,20,0.35749999999999993,0.17180447117519812,-0.0020867581696897286,0.7170867581696896
round_regret_increment,0.0,harp,regret_increment,round_6,20,0.47650000000000003,0.23639538133345475,-0.01827553313092073,0.9712755331309209
round_regret_increment,0.0,harp,regret_increment,round_7,20,0.2249999999999998,0.12287670328636881,-0.03218093997837013,0.48218093997836975
round_regret_increment,0.0,harp,regret_increment,round_8,20,0.35249999999999976,0.16833061922425477,0.00018401396363454392,0.704815986036365
round_regret_increment,0.0,harp,regret_increment,round_9,20,0.24650000000000008,0.13581774746444508,-0.03776654544308347,0.5307665454430837
round_regret_increment,0.0,harp,regret_increment,round_10,20,0.2849999999999998,0.1332952796574107,0.006012979677039232,0.5639870203229604
round_regret_increment,0.0,harp,regret_increment,round_11,20,0.37500000000000017,0.18451572461874066,-0.011191411627024028,0.7611914116270244
round_regret_increment,0.0,harp,regret_increment,round_12,20,0.16149999999999992,0.10299789216034318,-0.054074588291598336,0.3770745882915982
round_regret_increment,0.0,harp,regret_increment,round_13,20,0.07500000000000022,0.075,-0.08197499999999978,0.2319750000000002
round_regret_increment,0.0,harp,regret_increment,round_14,20,-2.6645352591003756e-16,1.9437665873397787e-16,-6.732838726402532e-16,1.403768208201781e-16
round_regret_increment,0.0,harp,regret_increment,round_15,20,0.15000000000000022,0.10323708024175277,-0.06607520894598831,0.3660752089459888
round_regret_increment,0.0,harp,regret_increment,round_16,20,0.2724999999999999,0.20753804343706309,-0.1618771249137731,0.7068771249137729
round_regret_increment,0.0,harp,regret_increment,round_17,20,0.3109999999999995,0.23339474129285312,-0.17749519352594206,0.7994951935259411
round_regret_increment,0.0,harp,regret_increment,round_18,20,0.4974999999999998,0.2624669152082739,-0.05184325353091751,1.0468432535309171
round_regret_increment,0.0,harp,regret_increment,round_19,20,0.6395,0.37527847554919297,-0.14595784932446088,1.4249578493244608
round_regret_increment,0.0,harp,regret_increment,round_20,20,0.7860000000000003,0.3175849658379876,0.12129466650109222,1.4507053334989082
round_regret_increment,0.0,harp_s,regret_increment,round_1,20,0.0,0.0,0.0,0.0
round_regret_increment,0.0,harp_s,regret_increment,round_2,20,0.075,0.075,-0.081975,0.231975
round_regret_increment,0.0,harp_s,regret_increment,round_3,20,0.43649999999999994,0.257145540399534,-0.1017056160562248,0.9747056160562246
round_regret_increment,0.0,harp_s,regret_increment,round_4,20,0.075,0.075,-0.081975,0.231975
round_regret_increment,0.0,harp_s,regret_increment,round_5,20,0.35749999999999993,0.17180447117519812,-0.0020867581696897286,0.7170867581696896
round_regret_increment,0.0,harp_s,regret_increment,round_6,20,0.47650000000000003,0.23639538133345475,-0.01827553313092073,0.9712755331309209
round_regret_increment,0.0,harp_s,regret_increment,round_7,20,0.2249999999999998,0.12287670328636881,-0.03218093997837013,0.48218093997836975
round_regret_increment,0.0,harp_s,regret_increment,round_8,20,0.35249999999999976,0.16833061922425477,0.00018401396363454392,0.704815986036365
round_regret_increment,0.0,harp_s,regret_increment,round_9,20,0.24650000000000008,0.13581774746444508,-0.03776654544308347,0.5307665454430837
round_regret_increment,0.0,harp_s,regret_increment,round_10,20,0.2849999999999998,0.1332952796574107,0.006012979677039232,0.5639870203229604
round_regret_increment,0.0,harp_s,regret_increment,round_11,20,0.37500000000000017,0.18451572461874066,-0.011191411627024028,0.7611914116270244
round_regret_increment,0.0,harp_s,regret_increment,round_12,20,0.16149999999999992,0.10299789216034318,-0.054074588291598336,0.3770745882915982
round_regret_increment,0.0,harp_s,regret_increment,round_13,20,0.07500000000000022,0.075,-0.08197499999999978,0.2319750000000002
round_regret_increment,0.0,harp_s,regret_increment,round_14,20,-2.6645352591003756e-16,1.9437665873397787e-16,-6.732838726402532e-16,1.403768208201781e-16
round_regret_increment,0.0,harp_s,regret_increment,round_15,20,0.15000000000000022,0.10323708024175277,-0.06607520894598831,0.3660752089459888
round_regret_increment,0.0,harp_s,regret_increment,round_16,20,0.2724999999999999,0.20753804343706309,-0.1618771249137731,0.7068771249137729
round_regret_increment,0.0,harp_s,regret_increment,round_17,20,0.3109999999999995,0.23339474129285312,-0.17749519352594206,0.7994951935259411
round_regret_increment,0.0,harp_s,regret_increment,round_18,20,0.4974999999999998,0.2624669152082739,-0.05184325353091751,1.0468432535309171
round_regret_increment,0.0,harp_s,regret_increment,round_19,20,0.6395,0.37527847554919297,-0.14595784932446088,1.4249578493244608
round_regret_increment,0.0,harp_s,regret_increment,round_20,20,0.7860000000000003,0.3175849658379876,0.12129466650109222,1.4507053334989082
joint_shared_weight,0.0,joint,shared_weight_pre,round_1,20,0.0,0.0,0.0,0.0
joint_shared_weight,0.0,joint,shared_weight_pre,round_2,20,0.0,0.0,0.0,0.0
joint_shared_weight,0.0,joint,shared_weight_pre,round_3,20,0.0,0.0,0.0,0.0
joint_shared_weight,0.0,joint,shared_weight_pre,round_4,20,0.0,0.0,0.0,0.0
joint_shared_weight,0.0,joint,shared_weight_pre,round_5,20,0.0,0.0,0.0,0.0
joint_shared_weight,0.0,joint,shared_weight_pre,round_6,20,0.0,0.0,0.0,0.0
joint_shared_weight,0.0,joint,shared_weight_pre,round_7,20,0.0,0.0,0.0,0.0
joint_shared_weight,0.0,joint,shared_weight_pre,round_8,20,0.0,0.0,0.0,0.0
joint_shared_weight,0.0,joint,shared_weight_pre,round_9,20,0.0,0.0,0.0,0.0
joint_shared_weight,0.0,joint,shared_weight_pre,round_10,20,0.0,0.0,0.0,0.0
joint_shared_weight,0.0,joint,shared_weight_pre,round_11,20,0.0,0.0,0.0,0.0
joint_shared_weight,0.0,joint,shared_weight_pre,round_12,20,0.0,0.0,0.0,0.0
joint_shared_weight,0.0,joint,shared_weight_pre,round_13,20,0.0,0.0,0.0,0.0
joint_shared_weight,0.0,joint,shared_weight_pre,round_14,20,0.0,0.0,0.0,0.0
joint_shared_weight,0.0,joint,shared_weight_pre,round_15,20,0.0,0.0,0.0,0.0
joint_shared_weight,0.0,joint,shared_weight_pre,round_16,20,0.0,0.0,0.0,0.0
joint_shared_weight,0.0,joint,shared_weight_pre,round_17,20,0.0,0.0,0.0,0.0
joint_shared_weight,0.0,joint,shared_weight_pre,round_18,20,0.0,0.0,0.0,0.0
joint_shared_weight,0.0,joint,shared_weight_pre,round_19,20,0.0,0.0,0.0,0.0
joint_shared_weight,0.0,joint,shared_weight_pre,round_20,20,0.0,0.0,0.0,0.0
joint_shared_weight,0.0,joint,shared_weight_post,round_1,20,0.0,0.0,0.0,0.0
joint_shared_weight,0.0,joint,shared_weight_post,round_2,20,0.0,0.0,0.0,0.0
joint_shared_weight,0.0,joint,shared_weight_post,round_3,20,0.0,0.0,0.0,0.0
joint_shared_weight,0.0,joint,shared_weight_post,round_4,20,0.0,0.0,0.0,0.0
joint_shared_weight,0.0,joint,shared_weight_post,round_5,20,0.0,0.0,0.0,0.0
joint_shared_weight,0.0,joint,shared_weight_post,round_6,20,0.0,0.0,0.0,0.0
joint_shared_weight,0.0,joint,shared_weight_post,round_7,20,0.0,0.0,0.0,0.0
joint_shared_weight,0.0,joint,shared_weight_post,round_8,20,0.0,0.0,0.0,0.0
joint_shared_weight,0.0,joint,shared_weight_post,round_9,20,0.0,0.0,0.0,0.0
joint_shared_weight,0.0,joint,shared_weight_post,round_10,20,0.0,0.0,0.0,0.0
joint_shared_weight,0.0,joint,shared_weight_post,round_11,20,0.0,0.0,0.0,0.0
joint_shared_weight,0.0,joint,shared_weight_post,round_12,20,0.0,0.0,0.0,0.0
joint_shared_weight,0.0,joint,shared_weight_post,round_13,20,0.0,0.0,0.0,0.0
joint_shared_weight,0.0,joint,shared_weight_post,round_14,20,0.0,0.0,0.0,0.0
joint_shared_weight,0.0,joint,shared_weight_post,round_15,20,0.0,0.0,0.0,0.0
joint_shared_weight,0.0,joint,shared_weight_post,round_16,20,0.0,0.0,0.0,0.0
joint_shared_weight,0.0,joint,shared_weight_post,round_17,20,0.0,0.0,0.0,0.0
joint_shared_weight,0.0,joint,shared_weight_post,round_18,20,0.0,0.0,0.0,0.0
joint_shared_weight,0.0,joint,shared_weight_post,round_19,20,0.0,0.0,0.0,0.0
joint_shared_weight,0.0,joint,shared_weight_post,round_20,20,0.0,0.0,0.0,0.0
belief_accuracy,1.0,oracle,assigned_type_hit,all,20,1.0,0.0,1.0,1.0
belief_accuracy,1.0,oracle,assigned_type_hit,sensitive,20,1.0,0.0,1.0,1.0
belief_accuracy,1.0,oracle,assigned_type_hit,final,20,1.0,0.0,1.0,1.0
belief_accuracy,1.0,oracle,marginal_true_mass,all,20,1.0,0.0,1.0,1.0
belief_accuracy,1.0,oracle,marginal_true_mass,sensitive,20,1.0,0.0,1.0,1.0
belief_accuracy,1.0,oracle,marginal_true_mass,final,20,1.0,0.0,1.0,1.0
belief_accuracy,1.0,oracle,true_profile_mass,all,20,1.0,0.0,1.0,1.0
belief_accuracy,1.0,oracle,true_profile_mass,sensitive,20,1.0,0.0,1.0,1.0
belief_accuracy,1.0,oracle,true_profile_mass,final,20,1.0,0.0,1.0,1.0
belief_accuracy,1.0,joint,assigned_type_hit,all,20,0.13,0.021959891668796166,0.08403794673720963,0.17596205326279038
belief_accuracy,1.0,joint,assigned_type_hit,sensitive,20,0.1535615079365079,0.03795431129595852,0.07412313439406673,0.2329998814789491
belief_accuracy,1.0,joint,assigned_type_hit,final,20,0.175,0.0833114006225091,0.0006292384970884579,0.3493707615029115
belief_accuracy,1.0,joint,marginal_true_mass,all,20,0.11184771825614133,0.011759794316598866,0.0872344687514999,0.13646096776078276
belief_accuracy,1.0,joint,marginal_true_mass,sensitive,20,0.10404624341284874,0.01092474194706955,0.08118075851763218,0.1269117283080653
belief_accuracy,1.0,joint,marginal_true_mass,final,20,0.15236638242484496,0.026781788863827403,0.0963120983328542,0.20842066651683572
belief_accuracy,1.0,joint,true_profile_mass,all,20,0.010500778366205341,0.0015406256758835096,0.007276248826581155,0.013725307905829527
belief_accuracy,1.0,joint,true_profile_mass,sensitive,20,0.009033170086454354,0.0013065325538937763,0.006298597451154681,0.011767742721754028
belief_accuracy,1.0,joint,true_profile_mass,final,20,0.01664909512187305,0.0033762899817456017,0.009582520190079505,0.023715670053666593
belief_accuracy,1.0,harp,assigned_type_hit,all,20,0.10500000000000001,0.010032840810899078,0.08400126418278824,0.12599873581721177
belief_accuracy,1.0,harp,assigned_type_hit,sensitive,20,0.10178571428571428,0.02819794266681326,0.04276742028407413,0.16080400828735444
belief_accuracy,1.0,harp,assigned_type_hit,final,20,0.2,0.07608859102526823,0.0407465789841136,0.3592534210158864
belief_accuracy,1.0,harp,marginal_true_mass,all,20,0.08131787416545053,0.002945894005402303,0.07515211801214351,0.08748363031875754
belief_accuracy,1.0,harp,marginal_true_mass,sensitive,20,0.07972751671833792,0.0028332968193407614,0.0737974264754577,0.08565760696121813
belief_accuracy,1.0,harp,marginal_true_mass,final,20,0.10247222397202707,0.007142265785256714,0.08752346168348477,0.11742098626056938
belief_accuracy,1.0,harp,true_profile_mass,all,20,2.226300935796938e-09,5.824390120423145e-10,1.0072560835923736e-09,3.445345788001502e-09
belief_accuracy,1.0,harp,true_profile_mass,sensitive,20,2.100028647863223e-09,7.640533369142351e-10,5.00865013701729e-10,3.6991922820247174e-09
belief_accuracy,1.0,harp,true_profile_mass,final,20,8.198027299923319e-09,3.792866633418295e-09,2.595574361788268e-10,1.613649716366781e-08
belief_accuracy,1.0,harp_s,assigned_type_hit,all,20,0.13125000000000003,0.02175483914709069,0.08571712166513923,0.17678287833486084
belief_accuracy,1.0,harp_s,assigned_type_hit,sensitive,20,0.1258928571428571,0.026328902351042936,0.07078646452212425,0.18099924976358997
belief_accuracy,1.0,harp_s,assigned_type_hit,final,20,0.175,0.08331140062250911,0.0006292384970884302,0.3493707615029116
belief_accuracy,1.0,harp_s,marginal_true_mass,all,20,0.08131787416545053,0.002945894005402303,0.07515211801214351,0.08748363031875754
belief_accuracy,1.0,harp_s,marginal_true_mass,sensitive,20,0.07972751671833792,0.0028332968193407614,0.0737974264754577,0.08565760696121813
belief_accuracy,1.0,harp_s,marginal_true_mass,final,20,0.10247222397202707,0.007142265785256714,0.08752346168348477,0.11742098626056938
belief_accuracy,1.0,harp_s,true_profile_mass,all,20,2.226300935796938e-09,5.824390120423145e-10,1.0072560835923736e-09,3.445345788001502e-09
belief_accuracy,1.0,harp_s,true_profile_mass,sensitive,20,2.100028647863223e-09,7.640533369142351e-10,5.00865013701729e-10,3.6991922820247174e-09
belief_accuracy,1.0,harp_s,true_profile_mass,final,20,8.198027299923319e-09,3.792866633418295e-09,2.595574361788268e-10,1.613649716366781e-08
paired_regret_subset,1.0,harp,regret_increment_minus_joint,sensitive,20,-0.6734999999999998,0.4991394041115589,-1.7181987728054926,0.37119877280549307
paired_regret_subset,1.0,harp,regret_increment_minus_joint,nonsensitive,20,1.9984014443252818e-16,3.030426159657317e-16,-4.344280507837483e-16,8.341083396488046e-16
paired_regret_subset,1.0,harp_s,regret_increment_minus_joint,sensitive,20,-2.080000000000001,0.7366878221936489,-3.6218876118513084,-0.5381123881486938
paired_regret_subset,1.0,harp_s,regret_increment_minus_joint,nonsensitive,20,-1.7763568394002506e-16,2.778944596814335e-16,-7.592687880532655e-16,4.039974201732153e-16
round_regret_increment,1.0,oracle,regret_increment,round_1,20,0.0,0.0,0.0,0.0
round_regret_increment,1.0,oracle,regret_increment,round_2,20,0.0,0.0,0.0,0.0
round_regret_increment,1.0,oracle,regret_increment,round_3,20,0.0,0.0,0.0,0.0
round_regret_increment,1.0,oracle,regret_increment,round_4,20,0.0,0.0,0.0,0.0
round_regret_increment,1.0,oracle,regret_increment,round_5,20,0.0,0.0,0.0,0.0
round_regret_increment,1.0,oracle,regret_increment,round_6,20,0.0,0.0,0.0,0.0
round_regret_increment,1.0,oracle,regret_increment,round_7,20,0.0,0.0,0.0,0.0
round_regret_increment,1.0,oracle,regret_increment,round_8,20,0.0,0.0,0.0,0.0
round_regret_increment,1.0,oracle,regret_increment,round_9,20,0.0,0.0,0.0,0.0
round_regret_increment,1.0,oracle,regret_increment,round_10,20,0.0,0.0,0.0,0.0
round_regret_increment,1.0,oracle,regret_increment,round_11,20,0.0,0.0,0.0,0.0
round_regret_increment,1.0,oracle,regret_increment,round_12,20,0.0,0.0,0.0,0.0
round_regret_increment,1.0,oracle,regret_increment,round_13,20,0.0,0.0,0.0,0.0
round_regret_increment,1.0,oracle,regret_increment,round_14,20,0.0,0.0,0.0,0.0
round_regret_increment,1.0,oracle,regret_increment,round_15,20,0.0,0.0,0.0,0.0
round_regret_increment,1.0,oracle,regret_increment,round_16,20,0.0,0.0,0.0,0.0
round_regret_increment,1.0,oracle,regret_increment,round_17,20,0.0,0.0,0.0,0.0
round_regret_increment,1.0,oracle,regret_increment,round_18,20,0.0,0.0,0.0,0.0
round_regret_increment,1.0,oracle,regret_increment,round_19,20,0.0,0.0,0.0,0.0
round_regret_increment,1.0,oracle,regret_increment,round_20,20,0.0,0.0,0.0,0.0
round_regret_increment,1.0,joint,regret_increment,round_1,20,0.075,0.075,-0.081975,0.231975
round_regret_increment,1.0,joint,regret_increment,round_2,20,0.075,0.075,-0.081975,0.231975
round_regret_increment,1.0,joint,regret_increment,round_3,20,0.097,0.07704100070399969,-0.06424681447347136,0.25824681447347136
round_regret_increment,1.0,joint,regret_increment,round_4,20,0.15150000000000008,0.15150000000000005,-0.1655895,0.46858950000000016
round_regret_increment,1.0,joint,regret_increment,round_5,20,0.30600000000000005,0.21068359914186116,-0.13496077300391535,0.7469607730039154
round_regret_increment,1.0,joint,regret_increment,round_6,20,0.3155000000000001,0.22153350109015837,-0.14816961778170135,0.7791696177817016
round_regret_increment,1.0,joint,regret_increment,round_7,20,0.2630000000000002,0.19870779922711698,-0.15289542378235566,0.678895423782356
round_regret_increment,1.0,joint,regret_increment,round_8,20,0.07499999999999998,0.07499999999999997,-0.08197499999999994,0.2319749999999999
round_regret_increment,1.0,joint,regret_increment,round_9,20,-6.661338147750939e-17,4.8594164683494466e-17,-1.683209681600633e-16,3.5094205205044524e-17
round_regret_increment,1.0,joint,regret_increment,round_10,20,0.18500000000000005,0.18500000000000014,-0.20220500000000025,0.5722050000000003
round_regret_increment,1.0,joint,regret_increment,round_11,20,0.07499999999999991,0.07499999999999998,-0.08197500000000006,0.23197499999999988
round_regret_increment,1.0,joint,regret_increment,round_12,20,0.24400000000000005,0.20665048040745418,-0.18851945549280152,0.6765194554928016
round_regret_increment,1.0,joint,regret_increment,round_13,20,0.25199999999999995,0.18856466153271495,-0.14266583658797244,0.6466658365879723
round_regret_increment,1.0,joint,regret_increment,round_14,20,-8.881784197001253e-17,8.88178419700125e-17,-2.747135852132487e-16,9.707790127322365e-17
round_regret_increment,1.0,joint,regret_increment,round_15,20,0.4299999999999999,0.4299999999999996,-0.4699899999999993,1.3299899999999991
