model,method,episodes,final_mean_cumulative_reward,final_mean_cumulative_regret,final_mean_cumulative_exploration_cost,final_mean_true_tuple_posterior,final_mean_rule_marginal_accuracy,final_mean_nll_true,live_score_parse_ok_rate,mean_llm_assignment_score,mean_structured_assignment_score
DeepSeek-V3.2,live_pact_plus,5,15.617773333333336,1.2655517311906401,1.2542832878232084,0.25521080602519064,0.7234733881567017,1.6973220029965237,1.0,0.76,2.266179398174896
Kimi-K2.6,live_pact_plus,5,15.38965,1.5694348088177255,1.156204835809083,0.3051345303633117,0.7495637934913716,1.4735602836821804,1.0,0.7346666666666666,2.2892899402578495
Llama-4-Maverick-17B-128E-Instruct-FP8,live_pact_plus,5,14.71241333333333,1.9661198533374105,1.3971284768526893,0.22536791325082417,0.707444529074772,1.723694984253471,1.0,0.7764,2.255212164213823
gpt-5.4-mini-20260317,live_pact_plus,5,15.617773333333336,1.2655517311906401,1.2542832878232084,0.25521080602519064,0.7234733881567017,1.6973220029965237,1.0,1.3733333333333333,2.266179398174896
