horizon,beta,source,model,model_label,reward,reward_sem,regret,regret_sem,ptrue,ptrue_sem,rule_acc,rule_acc_sem,exploration_cost,exploration_cost_sem
8,0.0,exact,DeepSeek-V3.2,DeepSeek-V3.2,13.202556666666666,0.7987631204382322,2.533265304257664,0.5389274793173627,0.43109422972746403,0.04785245005720863,0.807411934052154,0.027784152073585876,1.1183073230316756,0.12939934180780113
8,0.0,exact,gpt-5.4-mini-20260317,GPT-5.4-mini,13.202556666666666,0.7987631204382322,2.533265304257664,0.5389274793173627,0.43109422972746403,0.04785245005720863,0.807411934052154,0.027784152073585876,1.1183073230316756,0.12939934180780113
8,0.0,exact,Kimi-K2.6,Kimi-K2.6,13.202556666666666,0.7987631204382322,2.533265304257664,0.5389274793173627,0.43109422972746403,0.04785245005720863,0.807411934052154,0.027784152073585876,1.1183073230316756,0.12939934180780113
8,0.0,exact,Llama-4-Maverick-17B-128E-Instruct-FP8,Llama-Maverick,13.202556666666666,0.7987631204382322,2.533265304257664,0.5389274793173627,0.43109422972746403,0.04785245005720863,0.807411934052154,0.027784152073585876,1.1183073230316756,0.12939934180780113
8,0.1,exact,DeepSeek-V3.2,DeepSeek-V3.2,13.887289999999998,0.7743569089466001,1.6781555454267412,0.21155965089552226,0.29900654681319416,0.046293384135159474,0.743652269406248,0.02336673582527894,0.9217945874173001,0.1561232582004875
8,0.1,exact,gpt-5.4-mini-20260317,GPT-5.4-mini,13.887289999999998,0.7743569089466001,1.6781555454267412,0.21155965089552226,0.29900654681319416,0.046293384135159474,0.743652269406248,0.02336673582527894,0.9217945874173001,0.1561232582004875
8,0.1,exact,Kimi-K2.6,Kimi-K2.6,13.887289999999998,0.7743569089466001,1.6781555454267412,0.21155965089552226,0.29900654681319416,0.046293384135159474,0.743652269406248,0.02336673582527894,0.9217945874173001,0.1561232582004875
8,0.1,exact,Llama-4-Maverick-17B-128E-Instruct-FP8,Llama-Maverick,13.887289999999998,0.7743569089466001,1.6781555454267412,0.21155965089552226,0.29900654681319416,0.046293384135159474,0.743652269406248,0.02336673582527894,0.9217945874173001,0.1561232582004875
8,0.25,exact,DeepSeek-V3.2,DeepSeek-V3.2,14.185053333333334,0.7231485850739422,1.7378170163462823,0.23704312680878137,0.2848103825183302,0.04736456807863601,0.734392346244832,0.022033787052834083,0.923817220120912,0.20506564505268665
8,0.25,exact,gpt-5.4-mini-20260317,GPT-5.4-mini,14.185053333333334,0.7231485850739422,1.7378170163462823,0.23704312680878137,0.2848103825183302,0.04736456807863601,0.734392346244832,0.022033787052834083,0.923817220120912,0.20506564505268665
8,0.25,exact,Kimi-K2.6,Kimi-K2.6,14.185053333333334,0.7231485850739422,1.7378170163462823,0.23704312680878137,0.2848103825183302,0.04736456807863601,0.734392346244832,0.022033787052834083,0.923817220120912,0.20506564505268665
8,0.25,exact,Llama-4-Maverick-17B-128E-Instruct-FP8,Llama-Maverick,14.185053333333334,0.7231485850739422,1.7378170163462823,0.23704312680878137,0.2848103825183302,0.04736456807863601,0.734392346244832,0.022033787052834083,0.923817220120912,0.20506564505268665
8,0.5,exact,DeepSeek-V3.2,DeepSeek-V3.2,13.661919999999999,1.086899308205584,2.17190867773719,0.3961785889739325,0.3524154813216206,0.0286412721497568,0.7580138828123892,0.018272274639284058,1.3604694478447705,0.17015840466889523
8,0.5,exact,gpt-5.4-mini-20260317,GPT-5.4-mini,13.661919999999999,1.086899308205584,2.17190867773719,0.3961785889739325,0.3524154813216206,0.0286412721497568,0.7580138828123892,0.018272274639284058,1.3604694478447705,0.17015840466889523
8,0.5,exact,Kimi-K2.6,Kimi-K2.6,13.661919999999999,1.086899308205584,2.17190867773719,0.3961785889739325,0.3524154813216206,0.0286412721497568,0.7580138828123892,0.018272274639284058,1.3604694478447705,0.17015840466889523
8,0.5,exact,Llama-4-Maverick-17B-128E-Instruct-FP8,Llama-Maverick,13.661919999999999,1.086899308205584,2.17190867773719,0.3961785889739325,0.3524154813216206,0.0286412721497568,0.7580138828123892,0.018272274639284058,1.3604694478447705,0.17015840466889523
16,0.0,exact,DeepSeek-V3.2,DeepSeek-V3.2,29.186880000000002,1.284542012151931,2.8195887254368617,0.6264678008174188,0.43560122830942805,0.05053605472333133,0.8106619880381093,0.028029624264505778,1.4413855884291986,0.24878278109427576
16,0.0,exact,gpt-5.4-mini-20260317,GPT-5.4-mini,29.186880000000002,1.284542012151931,2.8195887254368617,0.6264678008174188,0.43560122830942805,0.05053605472333133,0.8106619880381093,0.028029624264505778,1.4413855884291986,0.24878278109427576
16,0.0,exact,Kimi-K2.6,Kimi-K2.6,29.186880000000002,1.284542012151931,2.8195887254368617,0.6264678008174188,0.43560122830942805,0.05053605472333133,0.8106619880381093,0.028029624264505778,1.4413855884291986,0.24878278109427576
