backbone,excluded_persona,variant,seed,cumulative_regret_k20,in_library_reference_regret_k20,regret_degradation,final_entropy,argmax_persona,entropy_trajectory,status
analytic_mixed,conditional_cooperator,pact,1,0.0,0.0,0.0,0.015538889485275672,altruistic_builder|altruistic_builder|altruistic_builder,0.745911422;0.543546615;0.443402061;0.374536223;0.319189541;0.271144081;0.228509813;0.190896970;0.158202285;0.130221060;0.106596191;0.086868779;0.070539913;0.057117183;0.046143052;0.037208999;0.029960159;0.024094255;0.019357460;0.015538889,completed_offline_outcome_likelihood
analytic_mixed,conditional_cooperator,pact,2,0.0,0.0,0.0,0.015538889485275672,altruistic_builder|altruistic_builder|altruistic_builder,0.745911422;0.543546615;0.443402061;0.374536223;0.319189541;0.271144081;0.228509813;0.190896970;0.158202285;0.130221060;0.106596191;0.086868779;0.070539913;0.057117183;0.046143052;0.037208999;0.029960159;0.024094255;0.019357460;0.015538889,completed_offline_outcome_likelihood
analytic_mixed,conditional_cooperator,pact,3,0.0,0.0,0.0,0.015538889485275672,altruistic_builder|altruistic_builder|altruistic_builder,0.745911422;0.543546615;0.443402061;0.374536223;0.319189541;0.271144081;0.228509813;0.190896970;0.158202285;0.130221060;0.106596191;0.086868779;0.070539913;0.057117183;0.046143052;0.037208999;0.029960159;0.024094255;0.019357460;0.015538889,completed_offline_outcome_likelihood
analytic_mixed,conditional_cooperator,pact,4,0.0,0.0,0.0,0.015538889485275672,altruistic_builder|altruistic_builder|altruistic_builder,0.745911422;0.543546615;0.443402061;0.374536223;0.319189541;0.271144081;0.228509813;0.190896970;0.158202285;0.130221060;0.106596191;0.086868779;0.070539913;0.057117183;0.046143052;0.037208999;0.029960159;0.024094255;0.019357460;0.015538889,completed_offline_outcome_likelihood
analytic_mixed,conditional_cooperator,pact_plus,0,0.0,0.0,0.0,0.015538889485275672,altruistic_builder|altruistic_builder|altruistic_builder,0.745911422;0.543546615;0.443402061;0.374536223;0.319189541;0.271144081;0.228509813;0.190896970;0.158202285;0.130221060;0.106596191;0.086868779;0.070539913;0.057117183;0.046143052;0.037208999;0.029960159;0.024094255;0.019357460;0.015538889,completed_offline_outcome_likelihood
analytic_mixed,conditional_cooperator,pact_plus,1,0.0,0.0,0.0,0.015538889485275672,altruistic_builder|altruistic_builder|altruistic_builder,0.745911422;0.543546615;0.443402061;0.374536223;0.319189541;0.271144081;0.228509813;0.190896970;0.158202285;0.130221060;0.106596191;0.086868779;0.070539913;0.057117183;0.046143052;0.037208999;0.029960159;0.024094255;0.019357460;0.015538889,completed_offline_outcome_likelihood
analytic_mixed,conditional_cooperator,pact_plus,2,0.0,0.0,0.0,0.015538889485275672,altruistic_builder|altruistic_builder|altruistic_builder,0.745911422;0.543546615;0.443402061;0.374536223;0.319189541;0.271144081;0.228509813;0.190896970;0.158202285;0.130221060;0.106596191;0.086868779;0.070539913;0.057117183;0.046143052;0.037208999;0.029960159;0.024094255;0.019357460;0.015538889,completed_offline_outcome_likelihood
analytic_mixed,conditional_cooperator,pact_plus,3,0.0,0.0,0.0,0.015538889485275672,altruistic_builder|altruistic_builder|altruistic_builder,0.745911422;0.543546615;0.443402061;0.374536223;0.319189541;0.271144081;0.228509813;0.190896970;0.158202285;0.130221060;0.106596191;0.086868779;0.070539913;0.057117183;0.046143052;0.037208999;0.029960159;0.024094255;0.019357460;0.015538889,completed_offline_outcome_likelihood
analytic_mixed,conditional_cooperator,pact_plus,4,0.0,0.0,0.0,0.015538889485275672,altruistic_builder|altruistic_builder|altruistic_builder,0.745911422;0.543546615;0.443402061;0.374536223;0.319189541;0.271144081;0.228509813;0.190896970;0.158202285;0.130221060;0.106596191;0.086868779;0.070539913;0.057117183;0.046143052;0.037208999;0.029960159;0.024094255;0.019357460;0.015538889,completed_offline_outcome_likelihood
gpt-5.4-nano-20260317,conditional_cooperator,llm_belief,0,,,,,not_applicable_no_discrete_tracker_library,,not_run_no_cached_trajectory_and_no_shared_discrete_library
gpt-5.4-nano-20260317,conditional_cooperator,llm_belief,1,,,,,not_applicable_no_discrete_tracker_library,,not_run_no_cached_trajectory_and_no_shared_discrete_library
gpt-5.4-nano-20260317,conditional_cooperator,llm_belief,2,,,,,not_applicable_no_discrete_tracker_library,,not_run_no_cached_trajectory_and_no_shared_discrete_library
gpt-5.4-nano-20260317,conditional_cooperator,llm_belief,3,,,,,not_applicable_no_discrete_tracker_library,,not_run_no_cached_trajectory_and_no_shared_discrete_library
gpt-5.4-nano-20260317,conditional_cooperator,llm_belief,4,,,,,not_applicable_no_discrete_tracker_library,,not_run_no_cached_trajectory_and_no_shared_discrete_library
gpt-5.4-nano-20260317,conditional_cooperator,atom_tom1,0,,,,,not_applicable_no_discrete_tracker_library,,not_run_no_cached_trajectory_and_no_shared_discrete_library
gpt-5.4-nano-20260317,conditional_cooperator,atom_tom1,1,,,,,not_applicable_no_discrete_tracker_library,,not_run_no_cached_trajectory_and_no_shared_discrete_library
gpt-5.4-nano-20260317,conditional_cooperator,atom_tom1,2,,,,,not_applicable_no_discrete_tracker_library,,not_run_no_cached_trajectory_and_no_shared_discrete_library
gpt-5.4-nano-20260317,conditional_cooperator,atom_tom1,3,,,,,not_applicable_no_discrete_tracker_library,,not_run_no_cached_trajectory_and_no_shared_discrete_library
gpt-5.4-nano-20260317,conditional_cooperator,atom_tom1,4,,,,,not_applicable_no_discrete_tracker_library,,not_run_no_cached_trajectory_and_no_shared_discrete_library
