method,config,seed,episode,cum_regret
atom_tom1,pub/london,1000,14,0.0
atom_tom1,pub/london,1000,15,0.0
atom_tom1,pub/london,1000,16,0.0
atom_tom1,pub/london,1000,17,0.0
atom_tom1,pub/london,1000,18,0.0
atom_tom1,pub/london,1000,19,0.0
atom_tom1,pub/london,1000,20,0.0
random,pub/london,1000,1,1.958186360491978
random,pub/london,1000,2,3.0311552291328283
random,pub/london,1000,3,3.0311552291328283
random,pub/london,1000,4,4.474656137278003
random,pub/london,1000,5,4.474656137278003
random,pub/london,1000,6,6.927797121887443
random,pub/london,1000,7,9.895623558843688
random,pub/london,1000,8,11.512879856478259
random,pub/london,1000,9,13.673186830501319
random,pub/london,1000,10,14.746155699142168
random,pub/london,1000,11,15.833493804524377
random,pub/london,1000,12,17.450750102158946
random,pub/london,1000,13,19.929807040011667
random,pub/london,1000,14,22.06174878999304
random,pub/london,1000,15,23.67900508762761
random,pub/london,1000,16,25.122505995772784
random,pub/london,1000,17,27.575646980382224
random,pub/london,1000,18,30.54347341733847
random,pub/london,1000,19,32.38037375204131
random,pub/london,1000,20,34.33856011253329
pact,pub/london_mini,1000,1,0.0
pact,pub/london_mini,1000,2,0.0
pact,pub/london_mini,1000,3,0.0
pact,pub/london_mini,1000,4,0.0
pact,pub/london_mini,1000,5,0.0
pact,pub/london_mini,1000,6,0.0
pact,pub/london_mini,1000,7,0.0
pact,pub/london_mini,1000,8,0.0
pact,pub/london_mini,1000,9,0.0
pact,pub/london_mini,1000,10,0.0
pact,pub/london_mini,1000,11,0.0
pact,pub/london_mini,1000,12,0.0
pact,pub/london_mini,1000,13,0.0
pact,pub/london_mini,1000,14,0.0
pact,pub/london_mini,1000,15,0.0
pact,pub/london_mini,1000,16,0.0
pact,pub/london_mini,1000,17,0.0
pact,pub/london_mini,1000,18,0.0
pact,pub/london_mini,1000,19,0.0
pact,pub/london_mini,1000,20,0.0
pact_plus,pub/london_mini,1000,1,0.0
pact_plus,pub/london_mini,1000,2,0.0
pact_plus,pub/london_mini,1000,3,0.0
pact_plus,pub/london_mini,1000,4,0.0
pact_plus,pub/london_mini,1000,5,0.0
pact_plus,pub/london_mini,1000,6,0.0
pact_plus,pub/london_mini,1000,7,0.0
pact_plus,pub/london_mini,1000,8,0.0
pact_plus,pub/london_mini,1000,9,0.0
pact_plus,pub/london_mini,1000,10,0.0
pact_plus,pub/london_mini,1000,11,0.0
pact_plus,pub/london_mini,1000,12,0.0
pact_plus,pub/london_mini,1000,13,0.0
pact_plus,pub/london_mini,1000,14,0.0
pact_plus,pub/london_mini,1000,15,0.0
pact_plus,pub/london_mini,1000,16,0.0
pact_plus,pub/london_mini,1000,17,0.0
pact_plus,pub/london_mini,1000,18,0.0
pact_plus,pub/london_mini,1000,19,0.0
pact_plus,pub/london_mini,1000,20,0.0
joint_psrl_uniform,pub/london_mini,1000,1,0.0
joint_psrl_uniform,pub/london_mini,1000,2,0.0
joint_psrl_uniform,pub/london_mini,1000,3,0.0
joint_psrl_uniform,pub/london_mini,1000,4,0.0
joint_psrl_uniform,pub/london_mini,1000,5,0.0
joint_psrl_uniform,pub/london_mini,1000,6,0.0
joint_psrl_uniform,pub/london_mini,1000,7,0.0
joint_psrl_uniform,pub/london_mini,1000,8,0.0
joint_psrl_uniform,pub/london_mini,1000,9,0.0
joint_psrl_uniform,pub/london_mini,1000,10,0.0
joint_psrl_uniform,pub/london_mini,1000,11,0.0
joint_psrl_uniform,pub/london_mini,1000,12,0.0
joint_psrl_uniform,pub/london_mini,1000,13,0.0
joint_psrl_uniform,pub/london_mini,1000,14,0.0
joint_psrl_uniform,pub/london_mini,1000,15,0.0
joint_psrl_uniform,pub/london_mini,1000,16,0.0
joint_psrl_uniform,pub/london_mini,1000,17,0.0
joint_psrl_uniform,pub/london_mini,1000,18,0.0
joint_psrl_uniform,pub/london_mini,1000,19,0.0
joint_psrl_uniform,pub/london_mini,1000,20,0.0
psrl_notype,pub/london_mini,1000,1,0.0
psrl_notype,pub/london_mini,1000,2,0.0
psrl_notype,pub/london_mini,1000,3,0.0
psrl_notype,pub/london_mini,1000,4,0.0
psrl_notype,pub/london_mini,1000,5,0.0
psrl_notype,pub/london_mini,1000,6,0.0
psrl_notype,pub/london_mini,1000,7,0.0
psrl_notype,pub/london_mini,1000,8,0.0
psrl_notype,pub/london_mini,1000,9,0.0
psrl_notype,pub/london_mini,1000,10,0.0
psrl_notype,pub/london_mini,1000,11,0.0
psrl_notype,pub/london_mini,1000,12,0.0
psrl_notype,pub/london_mini,1000,13,0.0
psrl_notype,pub/london_mini,1000,14,0.0
psrl_notype,pub/london_mini,1000,15,0.0
psrl_notype,pub/london_mini,1000,16,0.0
psrl_notype,pub/london_mini,1000,17,0.0
psrl_notype,pub/london_mini,1000,18,0.0
psrl_notype,pub/london_mini,1000,19,0.0
psrl_notype,pub/london_mini,1000,20,0.0
map_type_greedy,pub/london_mini,1000,1,0.0
map_type_greedy,pub/london_mini,1000,2,0.0
map_type_greedy,pub/london_mini,1000,3,0.0
map_type_greedy,pub/london_mini,1000,4,0.0
map_type_greedy,pub/london_mini,1000,5,0.0
map_type_greedy,pub/london_mini,1000,6,0.0
map_type_greedy,pub/london_mini,1000,7,0.0
map_type_greedy,pub/london_mini,1000,8,0.0
map_type_greedy,pub/london_mini,1000,9,0.0
map_type_greedy,pub/london_mini,1000,10,0.0
map_type_greedy,pub/london_mini,1000,11,0.0
map_type_greedy,pub/london_mini,1000,12,0.0
map_type_greedy,pub/london_mini,1000,13,0.0
map_type_greedy,pub/london_mini,1000,14,0.0
map_type_greedy,pub/london_mini,1000,15,0.0
map_type_greedy,pub/london_mini,1000,16,0.0
map_type_greedy,pub/london_mini,1000,17,0.0
map_type_greedy,pub/london_mini,1000,18,0.0
map_type_greedy,pub/london_mini,1000,19,0.0
map_type_greedy,pub/london_mini,1000,20,0.0
econ_bne,pub/london_mini,1000,1,0.0
econ_bne,pub/london_mini,1000,2,0.0
econ_bne,pub/london_mini,1000,3,0.0
econ_bne,pub/london_mini,1000,4,0.0
econ_bne,pub/london_mini,1000,5,0.0
econ_bne,pub/london_mini,1000,6,0.0
econ_bne,pub/london_mini,1000,7,0.0
econ_bne,pub/london_mini,1000,8,0.0
econ_bne,pub/london_mini,1000,9,0.0
econ_bne,pub/london_mini,1000,10,0.0
econ_bne,pub/london_mini,1000,11,0.0
econ_bne,pub/london_mini,1000,12,0.0
econ_bne,pub/london_mini,1000,13,0.0
econ_bne,pub/london_mini,1000,14,0.0
econ_bne,pub/london_mini,1000,15,0.0
econ_bne,pub/london_mini,1000,16,0.0
econ_bne,pub/london_mini,1000,17,0.0
econ_bne,pub/london_mini,1000,18,0.0
econ_bne,pub/london_mini,1000,19,0.0
econ_bne,pub/london_mini,1000,20,0.0
atom_tom1,pub/london_mini,1000,1,0.0
atom_tom1,pub/london_mini,1000,2,0.0
