rho,g,n,m,K,lambda,seed,arm,cum_regret,corr_tv,unelicited_frac,realized_rule_corr,n_llm_calls,belief_entries,belief_bytes,beta,joint_prior,regret_source,harp_harp_s_action_mismatches,harp_harp_s_equal_regret_trace_despite_action_mismatch,joint_true_profile_monotonic,likelihood_mode,joint_alpha,common_random_numbers
0.0,2,8,2,20,0.0,34,harp_s,7.649999999999984,0.0,0.7,0.5,0,128,1024,0.25,global two-component pi_rho=(1-rho)*pi_independent+rho*pi_group_shared over full 16-type personas,oracle_utility_trace - harp_s_utility_trace,0,False,,softmax,1.0,True
0.0,2,8,2,20,0.0,35,oracle,0.0,0.0,0.6375,0.75,0,65665,525320,0.25,global two-component pi_rho=(1-rho)*pi_independent+rho*pi_group_shared over full 16-type personas,oracle_utility_trace - oracle_utility_trace,0,False,,softmax,1.0,True
0.0,2,8,2,20,0.0,35,joint,9.43,0.0,0.6375,0.75,0,65665,525320,0.25,global two-component pi_rho=(1-rho)*pi_independent+rho*pi_group_shared over full 16-type personas,oracle_utility_trace - joint_utility_trace,0,False,,softmax,1.0,True
0.0,2,8,2,20,0.0,35,harp,9.43,0.0,0.6375,0.75,0,128,1024,0.25,global two-component pi_rho=(1-rho)*pi_independent+rho*pi_group_shared over full 16-type personas,oracle_utility_trace - harp_utility_trace,0,False,,softmax,1.0,True
0.0,2,8,2,20,0.0,35,harp_s,9.43,0.0,0.6375,0.75,0,128,1024,0.25,global two-component pi_rho=(1-rho)*pi_independent+rho*pi_group_shared over full 16-type personas,oracle_utility_trace - harp_s_utility_trace,0,False,,softmax,1.0,True
0.0,2,8,2,20,0.0,36,oracle,0.0,0.0,0.38125,0.75,0,65665,525320,0.25,global two-component pi_rho=(1-rho)*pi_independent+rho*pi_group_shared over full 16-type personas,oracle_utility_trace - oracle_utility_trace,0,False,,softmax,1.0,True
0.0,2,8,2,20,0.0,36,joint,0.0,0.0,0.38125,0.75,0,65665,525320,0.25,global two-component pi_rho=(1-rho)*pi_independent+rho*pi_group_shared over full 16-type personas,oracle_utility_trace - joint_utility_trace,0,False,,softmax,1.0,True
0.0,2,8,2,20,0.0,36,harp,0.0,0.0,0.38125,0.75,0,128,1024,0.25,global two-component pi_rho=(1-rho)*pi_independent+rho*pi_group_shared over full 16-type personas,oracle_utility_trace - harp_utility_trace,0,False,,softmax,1.0,True
0.0,2,8,2,20,0.0,36,harp_s,0.0,0.0,0.38125,0.75,0,128,1024,0.25,global two-component pi_rho=(1-rho)*pi_independent+rho*pi_group_shared over full 16-type personas,oracle_utility_trace - harp_s_utility_trace,0,False,,softmax,1.0,True
0.0,2,8,2,20,0.0,37,oracle,0.0,0.0,0.61875,0.75,0,65665,525320,0.25,global two-component pi_rho=(1-rho)*pi_independent+rho*pi_group_shared over full 16-type personas,oracle_utility_trace - oracle_utility_trace,0,False,,softmax,1.0,True
0.0,2,8,2,20,0.0,37,joint,0.18999999999999773,0.0,0.61875,0.75,0,65665,525320,0.25,global two-component pi_rho=(1-rho)*pi_independent+rho*pi_group_shared over full 16-type personas,oracle_utility_trace - joint_utility_trace,0,False,,softmax,1.0,True
0.0,2,8,2,20,0.0,37,harp,0.18999999999999773,0.0,0.61875,0.75,0,128,1024,0.25,global two-component pi_rho=(1-rho)*pi_independent+rho*pi_group_shared over full 16-type personas,oracle_utility_trace - harp_utility_trace,0,False,,softmax,1.0,True
0.0,2,8,2,20,0.0,37,harp_s,0.18999999999999773,0.0,0.61875,0.75,0,128,1024,0.25,global two-component pi_rho=(1-rho)*pi_independent+rho*pi_group_shared over full 16-type personas,oracle_utility_trace - harp_s_utility_trace,0,False,,softmax,1.0,True
0.0,2,8,2,20,0.0,38,oracle,0.0,0.0,0.5375,0.0,0,65665,525320,0.25,global two-component pi_rho=(1-rho)*pi_independent+rho*pi_group_shared over full 16-type personas,oracle_utility_trace - oracle_utility_trace,0,False,,softmax,1.0,True
0.0,2,8,2,20,0.0,38,joint,1.5,0.0,0.5375,0.0,0,65665,525320,0.25,global two-component pi_rho=(1-rho)*pi_independent+rho*pi_group_shared over full 16-type personas,oracle_utility_trace - joint_utility_trace,0,False,,softmax,1.0,True
0.0,2,8,2,20,0.0,38,harp,1.5,0.0,0.5375,0.0,0,128,1024,0.25,global two-component pi_rho=(1-rho)*pi_independent+rho*pi_group_shared over full 16-type personas,oracle_utility_trace - harp_utility_trace,0,False,,softmax,1.0,True
0.0,2,8,2,20,0.0,38,harp_s,1.5,0.0,0.5375,0.0,0,128,1024,0.25,global two-component pi_rho=(1-rho)*pi_independent+rho*pi_group_shared over full 16-type personas,oracle_utility_trace - harp_s_utility_trace,0,False,,softmax,1.0,True
0.0,2,8,2,20,0.0,39,oracle,0.0,0.0,0.64375,0.5,0,65665,525320,0.25,global two-component pi_rho=(1-rho)*pi_independent+rho*pi_group_shared over full 16-type personas,oracle_utility_trace - oracle_utility_trace,0,False,,softmax,1.0,True
0.0,2,8,2,20,0.0,39,joint,9.269999999999996,0.0,0.64375,0.5,0,65665,525320,0.25,global two-component pi_rho=(1-rho)*pi_independent+rho*pi_group_shared over full 16-type personas,oracle_utility_trace - joint_utility_trace,0,False,,softmax,1.0,True
0.0,2,8,2,20,0.0,39,harp,9.269999999999996,0.0,0.64375,0.5,0,128,1024,0.25,global two-component pi_rho=(1-rho)*pi_independent+rho*pi_group_shared over full 16-type personas,oracle_utility_trace - harp_utility_trace,0,False,,softmax,1.0,True
0.0,2,8,2,20,0.0,39,harp_s,9.269999999999996,0.0,0.64375,0.5,0,128,1024,0.25,global two-component pi_rho=(1-rho)*pi_independent+rho*pi_group_shared over full 16-type personas,oracle_utility_trace - harp_s_utility_trace,0,False,,softmax,1.0,True
0.0,2,8,2,20,0.0,40,oracle,0.0,0.0,0.7,0.5,0,65665,525320,0.25,global two-component pi_rho=(1-rho)*pi_independent+rho*pi_group_shared over full 16-type personas,oracle_utility_trace - oracle_utility_trace,0,False,,softmax,1.0,True
0.0,2,8,2,20,0.0,40,joint,1.8400000000000034,0.0,0.7,0.5,0,65665,525320,0.25,global two-component pi_rho=(1-rho)*pi_independent+rho*pi_group_shared over full 16-type personas,oracle_utility_trace - joint_utility_trace,0,False,,softmax,1.0,True
0.0,2,8,2,20,0.0,40,harp,1.8400000000000034,0.0,0.7,0.5,0,128,1024,0.25,global two-component pi_rho=(1-rho)*pi_independent+rho*pi_group_shared over full 16-type personas,oracle_utility_trace - harp_utility_trace,0,False,,softmax,1.0,True
0.0,2,8,2,20,0.0,40,harp_s,1.8400000000000034,0.0,0.7,0.5,0,128,1024,0.25,global two-component pi_rho=(1-rho)*pi_independent+rho*pi_group_shared over full 16-type personas,oracle_utility_trace - harp_s_utility_trace,0,False,,softmax,1.0,True
0.0,2,8,2,20,0.0,41,oracle,0.0,0.0,0.45625,0.75,0,65665,525320,0.25,global two-component pi_rho=(1-rho)*pi_independent+rho*pi_group_shared over full 16-type personas,oracle_utility_trace - oracle_utility_trace,0,False,,softmax,1.0,True
0.0,2,8,2,20,0.0,41,joint,1.5,0.0,0.45625,0.75,0,65665,525320,0.25,global two-component pi_rho=(1-rho)*pi_independent+rho*pi_group_shared over full 16-type personas,oracle_utility_trace - joint_utility_trace,0,False,,softmax,1.0,True
0.0,2,8,2,20,0.0,41,harp,1.5,0.0,0.45625,0.75,0,128,1024,0.25,global two-component pi_rho=(1-rho)*pi_independent+rho*pi_group_shared over full 16-type personas,oracle_utility_trace - harp_utility_trace,0,False,,softmax,1.0,True
0.0,2,8,2,20,0.0,41,harp_s,1.5,0.0,0.45625,0.75,0,128,1024,0.25,global two-component pi_rho=(1-rho)*pi_independent+rho*pi_group_shared over full 16-type personas,oracle_utility_trace - harp_s_utility_trace,0,False,,softmax,1.0,True
0.0,2,8,2,20,0.0,42,oracle,0.0,0.0,0.63125,0.5,0,65665,525320,0.25,global two-component pi_rho=(1-rho)*pi_independent+rho*pi_group_shared over full 16-type personas,oracle_utility_trace - oracle_utility_trace,0,False,,softmax,1.0,True
0.0,2,8,2,20,0.0,42,joint,0.8199999999999932,0.0,0.63125,0.5,0,65665,525320,0.25,global two-component pi_rho=(1-rho)*pi_independent+rho*pi_group_shared over full 16-type personas,oracle_utility_trace - joint_utility_trace,0,False,,softmax,1.0,True
0.0,2,8,2,20,0.0,42,harp,0.8199999999999932,0.0,0.63125,0.5,0,128,1024,0.25,global two-component pi_rho=(1-rho)*pi_independent+rho*pi_group_shared over full 16-type personas,oracle_utility_trace - harp_utility_trace,0,False,,softmax,1.0,True
0.0,2,8,2,20,0.0,42,harp_s,0.8199999999999932,0.0,0.63125,0.5,0,128,1024,0.25,global two-component pi_rho=(1-rho)*pi_independent+rho*pi_group_shared over full 16-type personas,oracle_utility_trace - harp_s_utility_trace,0,False,,softmax,1.0,True
0.0,2,8,2,20,0.0,43,oracle,0.0,0.0,0.75625,0.25,0,65665,525320,0.25,global two-component pi_rho=(1-rho)*pi_independent+rho*pi_group_shared over full 16-type personas,oracle_utility_trace - oracle_utility_trace,0,False,,softmax,1.0,True
0.0,2,8,2,20,0.0,43,joint,5.999999999999993,0.0,0.75625,0.25,0,65665,525320,0.25,global two-component pi_rho=(1-rho)*pi_independent+rho*pi_group_shared over full 16-type personas,oracle_utility_trace - joint_utility_trace,0,False,,softmax,1.0,True
0.0,2,8,2,20,0.0,43,harp,5.999999999999993,0.0,0.75625,0.25,0,128,1024,0.25,global two-component pi_rho=(1-rho)*pi_independent+rho*pi_group_shared over full 16-type personas,oracle_utility_trace - harp_utility_trace,0,False,,softmax,1.0,True
0.0,2,8,2,20,0.0,43,harp_s,5.999999999999993,0.0,0.75625,0.25,0,128,1024,0.25,global two-component pi_rho=(1-rho)*pi_independent+rho*pi_group_shared over full 16-type personas,oracle_utility_trace - harp_s_utility_trace,0,False,,softmax,1.0,True
0.0,2,8,2,20,0.0,44,oracle,0.0,0.0,0.63125,0.5,0,65665,525320,0.25,global two-component pi_rho=(1-rho)*pi_independent+rho*pi_group_shared over full 16-type personas,oracle_utility_trace - oracle_utility_trace,0,False,,softmax,1.0,True
0.0,2,8,2,20,0.0,44,joint,0.01999999999999602,0.0,0.63125,0.5,0,65665,525320,0.25,global two-component pi_rho=(1-rho)*pi_independent+rho*pi_group_shared over full 16-type personas,oracle_utility_trace - joint_utility_trace,0,False,,softmax,1.0,True
0.0,2,8,2,20,0.0,44,harp,0.01999999999999602,0.0,0.63125,0.5,0,128,1024,0.25,global two-component pi_rho=(1-rho)*pi_independent+rho*pi_group_shared over full 16-type personas,oracle_utility_trace - harp_utility_trace,0,False,,softmax,1.0,True
0.0,2,8,2,20,0.0,44,harp_s,0.01999999999999602,0.0,0.63125,0.5,0,128,1024,0.25,global two-component pi_rho=(1-rho)*pi_independent+rho*pi_group_shared over full 16-type personas,oracle_utility_trace - harp_s_utility_trace,0,False,,softmax,1.0,True
0.0,2,8,2,20,0.0,45,oracle,0.0,0.0,0.5,0.5,0,65665,525320,0.25,global two-component pi_rho=(1-rho)*pi_independent+rho*pi_group_shared over full 16-type personas,oracle_utility_trace - oracle_utility_trace,0,False,,softmax,1.0,True
0.0,2,8,2,20,0.0,45,joint,11.679999999999993,0.0,0.5,0.5,0,65665,525320,0.25,global two-component pi_rho=(1-rho)*pi_independent+rho*pi_group_shared over full 16-type personas,oracle_utility_trace - joint_utility_trace,0,False,,softmax,1.0,True
