rho,g,n,m,K,lambda,seed,arm,cum_regret,corr_tv,unelicited_frac,realized_rule_corr,n_llm_calls,belief_entries,belief_bytes,beta,joint_prior,regret_source,harp_harp_s_action_mismatches,harp_harp_s_equal_regret_trace_despite_action_mismatch,joint_true_profile_monotonic,likelihood_mode,joint_alpha,common_random_numbers
0.0,2,8,2,20,0.0,25,harp_s,3.8900000000000006,0.0,0.71875,0.25,0,128,1024,0.25,global two-component pi_rho=(1-rho)*pi_independent+rho*pi_group_shared over full 16-type personas,oracle_utility_trace - harp_s_utility_trace,0,False,,softmax,1.0,True
0.0,2,8,2,20,0.0,26,oracle,0.0,0.0,0.5625,0.5,0,65665,525320,0.25,global two-component pi_rho=(1-rho)*pi_independent+rho*pi_group_shared over full 16-type personas,oracle_utility_trace - oracle_utility_trace,0,False,,softmax,1.0,True
0.0,2,8,2,20,0.0,26,joint,-1.75,0.0,0.5625,0.5,0,65665,525320,0.25,global two-component pi_rho=(1-rho)*pi_independent+rho*pi_group_shared over full 16-type personas,oracle_utility_trace - joint_utility_trace,0,False,,softmax,1.0,True
0.0,2,8,2,20,0.0,26,harp,-1.75,0.0,0.5625,0.5,0,128,1024,0.25,global two-component pi_rho=(1-rho)*pi_independent+rho*pi_group_shared over full 16-type personas,oracle_utility_trace - harp_utility_trace,0,False,,softmax,1.0,True
0.0,2,8,2,20,0.0,26,harp_s,-1.75,0.0,0.5625,0.5,0,128,1024,0.25,global two-component pi_rho=(1-rho)*pi_independent+rho*pi_group_shared over full 16-type personas,oracle_utility_trace - harp_s_utility_trace,0,False,,softmax,1.0,True
0.0,2,8,2,20,0.0,27,oracle,0.0,0.0,0.5125,0.75,0,65665,525320,0.25,global two-component pi_rho=(1-rho)*pi_independent+rho*pi_group_shared over full 16-type personas,oracle_utility_trace - oracle_utility_trace,0,False,,softmax,1.0,True
0.0,2,8,2,20,0.0,27,joint,5.279999999999998,0.0,0.5125,0.75,0,65665,525320,0.25,global two-component pi_rho=(1-rho)*pi_independent+rho*pi_group_shared over full 16-type personas,oracle_utility_trace - joint_utility_trace,0,False,,softmax,1.0,True
0.0,2,8,2,20,0.0,27,harp,5.279999999999998,0.0,0.5125,0.75,0,128,1024,0.25,global two-component pi_rho=(1-rho)*pi_independent+rho*pi_group_shared over full 16-type personas,oracle_utility_trace - harp_utility_trace,0,False,,softmax,1.0,True
0.0,2,8,2,20,0.0,27,harp_s,5.279999999999998,0.0,0.5125,0.75,0,128,1024,0.25,global two-component pi_rho=(1-rho)*pi_independent+rho*pi_group_shared over full 16-type personas,oracle_utility_trace - harp_s_utility_trace,0,False,,softmax,1.0,True
0.0,2,8,2,20,0.0,28,oracle,0.0,0.0,0.59375,0.75,0,65665,525320,0.25,global two-component pi_rho=(1-rho)*pi_independent+rho*pi_group_shared over full 16-type personas,oracle_utility_trace - oracle_utility_trace,0,False,,softmax,1.0,True
0.0,2,8,2,20,0.0,28,joint,7.859999999999992,0.0,0.59375,0.75,0,65665,525320,0.25,global two-component pi_rho=(1-rho)*pi_independent+rho*pi_group_shared over full 16-type personas,oracle_utility_trace - joint_utility_trace,0,False,,softmax,1.0,True
0.0,2,8,2,20,0.0,28,harp,7.859999999999992,0.0,0.59375,0.75,0,128,1024,0.25,global two-component pi_rho=(1-rho)*pi_independent+rho*pi_group_shared over full 16-type personas,oracle_utility_trace - harp_utility_trace,0,False,,softmax,1.0,True
0.0,2,8,2,20,0.0,28,harp_s,7.859999999999992,0.0,0.59375,0.75,0,128,1024,0.25,global two-component pi_rho=(1-rho)*pi_independent+rho*pi_group_shared over full 16-type personas,oracle_utility_trace - harp_s_utility_trace,0,False,,softmax,1.0,True
0.0,2,8,2,20,0.0,29,oracle,0.0,0.0,0.5625,0.25,0,65665,525320,0.25,global two-component pi_rho=(1-rho)*pi_independent+rho*pi_group_shared over full 16-type personas,oracle_utility_trace - oracle_utility_trace,0,False,,softmax,1.0,True
