pax,pos,t,event,veh_id
0,45024537,0,STARTS_DAY,
0,45024537,0,REQUESTS_RIDE,
0,45024537,46,RECEIVES_OFFER,
0,45024537,46,REJECTS_OFFER,
1,472323867,0,STARTS_DAY,
1,472323867,3,REQUESTS_RIDE,
1,472323867,46,RECEIVES_OFFER,
1,472323867,46,IS_REJECTED_BY_VEHICLE,
1,472323867,618,LOSES_PATIENCE,
1,472323867,618,LOSES_PATIENCE,
2,4290089183,0,STARTS_DAY,
2,4290089183,47,REQUESTS_RIDE,
2,4290089183,166,RECEIVES_OFFER,
2,4290089183,166,REJECTS_OFFER,
3,44985735,0,STARTS_DAY,
3,44985735,76,REQUESTS_RIDE,
3,44985735,166,RECEIVES_OFFER,
3,44985735,166,IS_REJECTED_BY_VEHICLE,
3,44985735,286,RECEIVES_OFFER,
3,44985735,286,REJECTS_OFFER,
4,44975074,0,STARTS_DAY,
4,44975074,241,REQUESTS_RIDE,
4,44975074,286,RECEIVES_OFFER,
4,44975074,286,IS_REJECTED_BY_VEHICLE,
4,44975074,856,LOSES_PATIENCE,
4,44975074,856,LOSES_PATIENCE,
5,550771675,0,STARTS_DAY,
5,550771675,242,REQUESTS_RIDE,
5,550771675,286,RECEIVES_OFFER,
5,550771675,286,IS_REJECTED_BY_VEHICLE,
5,550771675,406,RECEIVES_OFFER,
5,550771675,406,ACCEPTS_OFFER,
5,550771675,426,ARRIVES_AT_PICKUP,1.0
5,550771675,750,MEETS_DRIVER_AT_PICKUP,1.0
5,550771675,780,DEPARTS_FROM_PICKUP,1.0
5,2502729230,947,ARRIVES_AT_DROPOFF,1.0
5,2502729230,957,SETS_OFF_FOR_DEST,
5,2502729230,957,ARRIVES_AT_DEST,
6,1402824249,0,STARTS_DAY,
6,1402824249,519,REQUESTS_RIDE,
6,1402824249,526,RECEIVES_OFFER,
6,1402824249,526,IS_REJECTED_BY_VEHICLE,
6,1402824249,1126,RECEIVES_OFFER,
6,1402824249,1126,ACCEPTS_OFFER,
6,1402824249,1146,ARRIVES_AT_PICKUP,1.0
6,1402824249,1294,MEETS_DRIVER_AT_PICKUP,1.0
6,1402824249,1324,DEPARTS_FROM_PICKUP,1.0
6,1665808438,1441,ARRIVES_AT_DROPOFF,1.0
