family,turn,agent_rows,proxy_mass_mean,proxy_mass_sem,normalized_entropy_mean,normalized_entropy_sem,map_matches_proxy_mean,map_matches_proxy_sem
craigslist_bargains,0,160,0.25,0.0,1.0,0.0,0.85,0.028317605697742703
craigslist_bargains,1,160,0.24639562499999998,0.002089588473762622,0.9930440004088787,0.0008157452407069886,0.49375,0.03964948130713097
craigslist_bargains,2,160,0.24233000000000002,0.003240309913161599,0.9832267409744151,0.001353690503804549,0.125,0.026227715908195403
craigslist_bargains,3,160,0.2332825,0.004819967195502815,0.965582118117257,0.0024305801336515736,0.13125,0.026779255735286014
craigslist_bargains,4,160,0.2332825,0.004819967195502815,0.965582118117257,0.0024305801336515736,0.13125,0.026779255735286014
craigslist_bargains,5,160,0.2332825,0.004819967195502815,0.965582118117257,0.0024305801336515736,0.13125,0.026779255735286014
craigslist_bargains,6,160,0.2332825,0.004819967195502815,0.965582118117257,0.0024305801336515736,0.13125,0.026779255735286014
donate_funds,0,40,0.25,0.0,1.0,0.0,0.8,0.06405126152203486
donate_funds,1,40,0.256915,0.005155670950392194,0.9887214700028583,0.0027916527101615202,0.7,0.07337993857053428
donate_funds,2,40,0.24393000000000004,0.006063429891676991,0.9838097770788201,0.0024854669109853895,0.2,0.06405126152203486
donate_funds,3,40,0.260965,0.01318700678990206,0.9510487840329827,0.007981371172507596,0.2,0.06405126152203486
donate_funds,4,40,0.260965,0.01318700678990206,0.9510487840329827,0.007981371172507596,0.2,0.06405126152203486
donate_funds,5,40,0.260965,0.01318700678990206,0.9510487840329827,0.007981371172507596,0.2,0.06405126152203486
donate_funds,6,40,0.260965,0.01318700678990206,0.9510487840329827,0.007981371172507596,0.2,0.06405126152203486
revenge_plot,0,40,0.25,0.0,1.0,0.0,0.8,0.06405126152203486
revenge_plot,1,40,0.26609249999999995,0.00712905609918905,0.9829047696010926,0.0039659425882081585,0.55,0.07966275068156914
revenge_plot,2,40,0.2811975,0.008484077460311408,0.9638321657165652,0.0038364906846519485,0.3,0.07337993857053426
revenge_plot,3,40,0.3039125,0.01178901552375052,0.9333534532238168,0.007714140768683108,0.25,0.06933752452815363
revenge_plot,4,40,0.3039125,0.01178901552375052,0.9333534532238168,0.007714140768683108,0.25,0.06933752452815363
revenge_plot,5,40,0.3039125,0.01178901552375052,0.9333534532238168,0.007714140768683108,0.25,0.06933752452815363
revenge_plot,6,40,0.3039125,0.01178901552375052,0.9333534532238168,0.007714140768683108,0.25,0.06933752452815363
