tracker,beta,seeds,utility_mean,utility_sem,assignment_change_rate_vs_pact,mean_selected_bonus
pact,0.0,10,27.607,11.646997519628059,0.0,0.0
pact_plus,0.25,10,27.360000000000003,11.562874690625645,0.009852216748768473,0.6119136383198468
