rho,g,n,m,K,lambda,seed,arm,cum_regret,corr_tv,unelicited_frac,realized_rule_corr,n_llm_calls,belief_entries,belief_bytes,beta,joint_prior,regret_source,harp_harp_s_action_mismatches,harp_harp_s_equal_regret_trace_despite_action_mismatch,joint_true_profile_monotonic,likelihood_mode
0.0,4,8,2,20,0.0,5,joint,2.8199999999999967,0.0,0.575,0.4166666666666667,0,385,3080,0.25,global two-component pi_rho=(1-rho)*pi_independent+rho*pi_group_shared over full 16-type personas,oracle_utility_trace - joint_utility_trace,0,False,,deterministic-rule
0.0,4,8,2,20,0.0,5,harp,3.089999999999989,0.0,0.575,0.4166666666666667,0,128,1024,0.25,global two-component pi_rho=(1-rho)*pi_independent+rho*pi_group_shared over full 16-type personas,oracle_utility_trace - harp_utility_trace,0,False,,deterministic-rule
0.0,4,8,2,20,0.0,5,harp_s,3.089999999999989,0.0,0.575,0.4166666666666667,0,128,1024,0.25,global two-component pi_rho=(1-rho)*pi_independent+rho*pi_group_shared over full 16-type personas,oracle_utility_trace - harp_s_utility_trace,0,False,,deterministic-rule
0.0,4,8,2,20,0.0,6,oracle,0.0,0.0,0.5375,0.3333333333333333,0,385,3080,0.25,global two-component pi_rho=(1-rho)*pi_independent+rho*pi_group_shared over full 16-type personas,oracle_utility_trace - oracle_utility_trace,0,False,,deterministic-rule
0.0,4,8,2,20,0.0,6,joint,3.8500000000000014,0.0,0.5375,0.3333333333333333,0,385,3080,0.25,global two-component pi_rho=(1-rho)*pi_independent+rho*pi_group_shared over full 16-type personas,oracle_utility_trace - joint_utility_trace,0,False,,deterministic-rule
0.0,4,8,2,20,0.0,6,harp,12.869999999999997,0.0,0.5375,0.3333333333333333,0,128,1024,0.25,global two-component pi_rho=(1-rho)*pi_independent+rho*pi_group_shared over full 16-type personas,oracle_utility_trace - harp_utility_trace,0,False,,deterministic-rule
0.0,4,8,2,20,0.0,6,harp_s,12.869999999999997,0.0,0.5375,0.3333333333333333,0,128,1024,0.25,global two-component pi_rho=(1-rho)*pi_independent+rho*pi_group_shared over full 16-type personas,oracle_utility_trace - harp_s_utility_trace,0,False,,deterministic-rule
0.0,4,8,2,20,0.0,7,oracle,0.0,0.0,0.63125,0.3333333333333333,0,385,3080,0.25,global two-component pi_rho=(1-rho)*pi_independent+rho*pi_group_shared over full 16-type personas,oracle_utility_trace - oracle_utility_trace,0,False,,deterministic-rule
0.0,4,8,2,20,0.0,7,joint,7.240000000000002,0.0,0.63125,0.3333333333333333,0,385,3080,0.25,global two-component pi_rho=(1-rho)*pi_independent+rho*pi_group_shared over full 16-type personas,oracle_utility_trace - joint_utility_trace,0,False,,deterministic-rule
0.0,4,8,2,20,0.0,7,harp,2.690000000000005,0.0,0.63125,0.3333333333333333,0,128,1024,0.25,global two-component pi_rho=(1-rho)*pi_independent+rho*pi_group_shared over full 16-type personas,oracle_utility_trace - harp_utility_trace,0,False,,deterministic-rule
0.0,4,8,2,20,0.0,7,harp_s,2.690000000000005,0.0,0.63125,0.3333333333333333,0,128,1024,0.25,global two-component pi_rho=(1-rho)*pi_independent+rho*pi_group_shared over full 16-type personas,oracle_utility_trace - harp_s_utility_trace,0,False,,deterministic-rule
0.0,4,8,2,20,0.0,8,oracle,0.0,0.0,0.6125,0.4166666666666667,0,385,3080,0.25,global two-component pi_rho=(1-rho)*pi_independent+rho*pi_group_shared over full 16-type personas,oracle_utility_trace - oracle_utility_trace,0,False,,deterministic-rule
0.0,4,8,2,20,0.0,8,joint,4.5,0.0,0.6125,0.4166666666666667,0,385,3080,0.25,global two-component pi_rho=(1-rho)*pi_independent+rho*pi_group_shared over full 16-type personas,oracle_utility_trace - joint_utility_trace,0,False,,deterministic-rule
0.0,4,8,2,20,0.0,8,harp,4.5,0.0,0.6125,0.4166666666666667,0,128,1024,0.25,global two-component pi_rho=(1-rho)*pi_independent+rho*pi_group_shared over full 16-type personas,oracle_utility_trace - harp_utility_trace,0,False,,deterministic-rule
0.0,4,8,2,20,0.0,8,harp_s,4.5,0.0,0.6125,0.4166666666666667,0,128,1024,0.25,global two-component pi_rho=(1-rho)*pi_independent+rho*pi_group_shared over full 16-type personas,oracle_utility_trace - harp_s_utility_trace,0,False,,deterministic-rule
0.0,4,8,2,20,0.0,9,oracle,0.0,0.0,0.75,0.5,0,385,3080,0.25,global two-component pi_rho=(1-rho)*pi_independent+rho*pi_group_shared over full 16-type personas,oracle_utility_trace - oracle_utility_trace,0,False,,deterministic-rule
0.0,4,8,2,20,0.0,9,joint,18.36,0.0,0.75,0.5,0,385,3080,0.25,global two-component pi_rho=(1-rho)*pi_independent+rho*pi_group_shared over full 16-type personas,oracle_utility_trace - joint_utility_trace,0,False,,deterministic-rule
0.0,4,8,2,20,0.0,9,harp,12.32,0.0,0.75,0.5,0,128,1024,0.25,global two-component pi_rho=(1-rho)*pi_independent+rho*pi_group_shared over full 16-type personas,oracle_utility_trace - harp_utility_trace,0,False,,deterministic-rule
0.0,4,8,2,20,0.0,9,harp_s,12.32,0.0,0.75,0.5,0,128,1024,0.25,global two-component pi_rho=(1-rho)*pi_independent+rho*pi_group_shared over full 16-type personas,oracle_utility_trace - harp_s_utility_trace,0,False,,deterministic-rule
0.0,4,8,2,20,0.0,10,oracle,0.0,0.0,0.5375,0.3333333333333333,0,385,3080,0.25,global two-component pi_rho=(1-rho)*pi_independent+rho*pi_group_shared over full 16-type personas,oracle_utility_trace - oracle_utility_trace,0,False,,deterministic-rule
0.0,4,8,2,20,0.0,10,joint,0.0,0.0,0.5375,0.3333333333333333,0,385,3080,0.25,global two-component pi_rho=(1-rho)*pi_independent+rho*pi_group_shared over full 16-type personas,oracle_utility_trace - joint_utility_trace,0,False,,deterministic-rule
0.0,4,8,2,20,0.0,10,harp,0.0,0.0,0.5375,0.3333333333333333,0,128,1024,0.25,global two-component pi_rho=(1-rho)*pi_independent+rho*pi_group_shared over full 16-type personas,oracle_utility_trace - harp_utility_trace,0,False,,deterministic-rule
0.0,4,8,2,20,0.0,10,harp_s,0.0,0.0,0.5375,0.3333333333333333,0,128,1024,0.25,global two-component pi_rho=(1-rho)*pi_independent+rho*pi_group_shared over full 16-type personas,oracle_utility_trace - harp_s_utility_trace,0,False,,deterministic-rule
0.0,4,8,2,20,0.0,11,oracle,0.0,0.0,0.4375,0.5,0,385,3080,0.25,global two-component pi_rho=(1-rho)*pi_independent+rho*pi_group_shared over full 16-type personas,oracle_utility_trace - oracle_utility_trace,0,False,,deterministic-rule
0.0,4,8,2,20,0.0,11,joint,2.8200000000000074,0.0,0.4375,0.5,0,385,3080,0.25,global two-component pi_rho=(1-rho)*pi_independent+rho*pi_group_shared over full 16-type personas,oracle_utility_trace - joint_utility_trace,0,False,,deterministic-rule
0.0,4,8,2,20,0.0,11,harp,0.0,0.0,0.4375,0.5,0,128,1024,0.25,global two-component pi_rho=(1-rho)*pi_independent+rho*pi_group_shared over full 16-type personas,oracle_utility_trace - harp_utility_trace,0,False,,deterministic-rule
0.0,4,8,2,20,0.0,11,harp_s,0.0,0.0,0.4375,0.5,0,128,1024,0.25,global two-component pi_rho=(1-rho)*pi_independent+rho*pi_group_shared over full 16-type personas,oracle_utility_trace - harp_s_utility_trace,0,False,,deterministic-rule
0.0,4,8,2,20,0.0,12,oracle,0.0,0.0,0.3875,0.4166666666666667,0,385,3080,0.25,global two-component pi_rho=(1-rho)*pi_independent+rho*pi_group_shared over full 16-type personas,oracle_utility_trace - oracle_utility_trace,0,False,,deterministic-rule
0.0,4,8,2,20,0.0,12,joint,9.219999999999999,0.0,0.3875,0.4166666666666667,0,385,3080,0.25,global two-component pi_rho=(1-rho)*pi_independent+rho*pi_group_shared over full 16-type personas,oracle_utility_trace - joint_utility_trace,0,False,,deterministic-rule
0.0,4,8,2,20,0.0,12,harp,8.670000000000002,0.0,0.3875,0.4166666666666667,0,128,1024,0.25,global two-component pi_rho=(1-rho)*pi_independent+rho*pi_group_shared over full 16-type personas,oracle_utility_trace - harp_utility_trace,0,False,,deterministic-rule
0.0,4,8,2,20,0.0,12,harp_s,8.670000000000002,0.0,0.3875,0.4166666666666667,0,128,1024,0.25,global two-component pi_rho=(1-rho)*pi_independent+rho*pi_group_shared over full 16-type personas,oracle_utility_trace - harp_s_utility_trace,0,False,,deterministic-rule
0.0,4,8,2,20,0.0,13,oracle,0.0,0.0,0.55625,0.5,0,385,3080,0.25,global two-component pi_rho=(1-rho)*pi_independent+rho*pi_group_shared over full 16-type personas,oracle_utility_trace - oracle_utility_trace,0,False,,deterministic-rule
0.0,4,8,2,20,0.0,13,joint,12.370000000000005,0.0,0.55625,0.5,0,385,3080,0.25,global two-component pi_rho=(1-rho)*pi_independent+rho*pi_group_shared over full 16-type personas,oracle_utility_trace - joint_utility_trace,0,False,,deterministic-rule
0.0,4,8,2,20,0.0,13,harp,3.990000000000002,0.0,0.55625,0.5,0,128,1024,0.25,global two-component pi_rho=(1-rho)*pi_independent+rho*pi_group_shared over full 16-type personas,oracle_utility_trace - harp_utility_trace,0,False,,deterministic-rule
0.0,4,8,2,20,0.0,13,harp_s,3.990000000000002,0.0,0.55625,0.5,0,128,1024,0.25,global two-component pi_rho=(1-rho)*pi_independent+rho*pi_group_shared over full 16-type personas,oracle_utility_trace - harp_s_utility_trace,0,False,,deterministic-rule
0.0,4,8,2,20,0.0,14,oracle,0.0,0.0,0.575,0.4166666666666667,0,385,3080,0.25,global two-component pi_rho=(1-rho)*pi_independent+rho*pi_group_shared over full 16-type personas,oracle_utility_trace - oracle_utility_trace,0,False,,deterministic-rule
0.0,4,8,2,20,0.0,14,joint,0.0,0.0,0.575,0.4166666666666667,0,385,3080,0.25,global two-component pi_rho=(1-rho)*pi_independent+rho*pi_group_shared over full 16-type personas,oracle_utility_trace - joint_utility_trace,0,False,,deterministic-rule
0.0,4,8,2,20,0.0,14,harp,4.139999999999997,0.0,0.575,0.4166666666666667,0,128,1024,0.25,global two-component pi_rho=(1-rho)*pi_independent+rho*pi_group_shared over full 16-type personas,oracle_utility_trace - harp_utility_trace,0,False,,deterministic-rule
0.0,4,8,2,20,0.0,14,harp_s,4.139999999999997,0.0,0.575,0.4166666666666667,0,128,1024,0.25,global two-component pi_rho=(1-rho)*pi_independent+rho*pi_group_shared over full 16-type personas,oracle_utility_trace - harp_s_utility_trace,0,False,,deterministic-rule
0.0,4,8,2,20,0.0,15,oracle,0.0,0.0,0.44375,0.4166666666666667,0,385,3080,0.25,global two-component pi_rho=(1-rho)*pi_independent+rho*pi_group_shared over full 16-type personas,oracle_utility_trace - oracle_utility_trace,0,False,,deterministic-rule
0.0,4,8,2,20,0.0,15,joint,14.869999999999997,0.0,0.44375,0.4166666666666667,0,385,3080,0.25,global two-component pi_rho=(1-rho)*pi_independent+rho*pi_group_shared over full 16-type personas,oracle_utility_trace - joint_utility_trace,0,False,,deterministic-rule
0.0,4,8,2,20,0.0,15,harp,10.939999999999998,0.0,0.44375,0.4166666666666667,0,128,1024,0.25,global two-component pi_rho=(1-rho)*pi_independent+rho*pi_group_shared over full 16-type personas,oracle_utility_trace - harp_utility_trace,0,False,,deterministic-rule
0.0,4,8,2,20,0.0,15,harp_s,10.939999999999998,0.0,0.44375,0.4166666666666667,0,128,1024,0.25,global two-component pi_rho=(1-rho)*pi_independent+rho*pi_group_shared over full 16-type personas,oracle_utility_trace - harp_s_utility_trace,0,False,,deterministic-rule
0.0,4,8,2,20,0.0,16,oracle,0.0,0.0,0.425,0.5,0,385,3080,0.25,global two-component pi_rho=(1-rho)*pi_independent+rho*pi_group_shared over full 16-type personas,oracle_utility_trace - oracle_utility_trace,0,False,,deterministic-rule
0.0,4,8,2,20,0.0,16,joint,6.660000000000004,0.0,0.425,0.5,0,385,3080,0.25,global two-component pi_rho=(1-rho)*pi_independent+rho*pi_group_shared over full 16-type personas,oracle_utility_trace - joint_utility_trace,0,False,,deterministic-rule
0.0,4,8,2,20,0.0,16,harp,11.449999999999996,0.0,0.425,0.5,0,128,1024,0.25,global two-component pi_rho=(1-rho)*pi_independent+rho*pi_group_shared over full 16-type personas,oracle_utility_trace - harp_utility_trace,0,False,,deterministic-rule
0.0,4,8,2,20,0.0,16,harp_s,11.449999999999996,0.0,0.425,0.5,0,128,1024,0.25,global two-component pi_rho=(1-rho)*pi_independent+rho*pi_group_shared over full 16-type personas,oracle_utility_trace - harp_s_utility_trace,0,False,,deterministic-rule
0.0,4,8,2,20,0.0,17,oracle,0.0,0.0,0.44375,0.4166666666666667,0,385,3080,0.25,global two-component pi_rho=(1-rho)*pi_independent+rho*pi_group_shared over full 16-type personas,oracle_utility_trace - oracle_utility_trace,0,False,,deterministic-rule
0.0,4,8,2,20,0.0,17,joint,5.27,0.0,0.44375,0.4166666666666667,0,385,3080,0.25,global two-component pi_rho=(1-rho)*pi_independent+rho*pi_group_shared over full 16-type personas,oracle_utility_trace - joint_utility_trace,0,False,,deterministic-rule
0.0,4,8,2,20,0.0,17,harp,1.5,0.0,0.44375,0.4166666666666667,0,128,1024,0.25,global two-component pi_rho=(1-rho)*pi_independent+rho*pi_group_shared over full 16-type personas,oracle_utility_trace - harp_utility_trace,0,False,,deterministic-rule
0.0,4,8,2,20,0.0,17,harp_s,1.5,0.0,0.44375,0.4166666666666667,0,128,1024,0.25,global two-component pi_rho=(1-rho)*pi_independent+rho*pi_group_shared over full 16-type personas,oracle_utility_trace - harp_s_utility_trace,0,False,,deterministic-rule
0.0,4,8,2,20,0.0,18,oracle,0.0,0.0,0.7125,0.6666666666666666,0,385,3080,0.25,global two-component pi_rho=(1-rho)*pi_independent+rho*pi_group_shared over full 16-type personas,oracle_utility_trace - oracle_utility_trace,0,False,,deterministic-rule
0.0,4,8,2,20,0.0,18,joint,1.5,0.0,0.7125,0.6666666666666666,0,385,3080,0.25,global two-component pi_rho=(1-rho)*pi_independent+rho*pi_group_shared over full 16-type personas,oracle_utility_trace - joint_utility_trace,0,False,,deterministic-rule
0.0,4,8,2,20,0.0,18,harp,3.0,0.0,0.7125,0.6666666666666666,0,128,1024,0.25,global two-component pi_rho=(1-rho)*pi_independent+rho*pi_group_shared over full 16-type personas,oracle_utility_trace - harp_utility_trace,0,False,,deterministic-rule
0.0,4,8,2,20,0.0,18,harp_s,3.0,0.0,0.7125,0.6666666666666666,0,128,1024,0.25,global two-component pi_rho=(1-rho)*pi_independent+rho*pi_group_shared over full 16-type personas,oracle_utility_trace - harp_s_utility_trace,0,False,,deterministic-rule
0.0,4,8,2,20,0.0,19,oracle,0.0,0.0,0.4375,0.4166666666666667,0,385,3080,0.25,global two-component pi_rho=(1-rho)*pi_independent+rho*pi_group_shared over full 16-type personas,oracle_utility_trace - oracle_utility_trace,0,False,,deterministic-rule
0.0,4,8,2,20,0.0,19,joint,1.5000000000000036,0.0,0.4375,0.4166666666666667,0,385,3080,0.25,global two-component pi_rho=(1-rho)*pi_independent+rho*pi_group_shared over full 16-type personas,oracle_utility_trace - joint_utility_trace,0,False,,deterministic-rule
0.0,4,8,2,20,0.0,19,harp,0.0,0.0,0.4375,0.4166666666666667,0,128,1024,0.25,global two-component pi_rho=(1-rho)*pi_independent+rho*pi_group_shared over full 16-type personas,oracle_utility_trace - harp_utility_trace,0,False,,deterministic-rule
0.0,4,8,2,20,0.0,19,harp_s,0.0,0.0,0.4375,0.4166666666666667,0,128,1024,0.25,global two-component pi_rho=(1-rho)*pi_independent+rho*pi_group_shared over full 16-type personas,oracle_utility_trace - harp_s_utility_trace,0,False,,deterministic-rule
1.0,4,8,2,20,0.0,0,oracle,0.0,0.9999133020639419,0.49375,1.0,0,385,3080,0.25,global two-component pi_rho=(1-rho)*pi_independent+rho*pi_group_shared over full 16-type personas,oracle_utility_trace - oracle_utility_trace,3,True,True,deterministic-rule
1.0,4,8,2,20,0.0,0,joint,0.0,0.9999133020639419,0.49375,1.0,0,385,3080,0.25,global two-component pi_rho=(1-rho)*pi_independent+rho*pi_group_shared over full 16-type personas,oracle_utility_trace - joint_utility_trace,3,True,True,deterministic-rule
1.0,4,8,2,20,0.0,0,harp,0.0,0.9999133020639419,0.49375,1.0,0,128,1024,0.25,global two-component pi_rho=(1-rho)*pi_independent+rho*pi_group_shared over full 16-type personas,oracle_utility_trace - harp_utility_trace,3,True,True,deterministic-rule
1.0,4,8,2,20,0.0,0,harp_s,0.0,0.9999133020639419,0.49375,1.0,0,128,1024,0.25,global two-component pi_rho=(1-rho)*pi_independent+rho*pi_group_shared over full 16-type personas,oracle_utility_trace - harp_s_utility_trace,3,True,True,deterministic-rule
1.0,4,8,2,20,0.0,1,oracle,0.0,0.9999976873397827,0.61875,1.0,0,385,3080,0.25,global two-component pi_rho=(1-rho)*pi_independent+rho*pi_group_shared over full 16-type personas,oracle_utility_trace - oracle_utility_trace,2,False,True,deterministic-rule
1.0,4,8,2,20,0.0,1,joint,9.639999999999993,0.9999976873397827,0.61875,1.0,0,385,3080,0.25,global two-component pi_rho=(1-rho)*pi_independent+rho*pi_group_shared over full 16-type personas,oracle_utility_trace - joint_utility_trace,2,False,True,deterministic-rule
1.0,4,8,2,20,0.0,1,harp,7.089999999999993,0.9999976873397827,0.61875,1.0,0,128,1024,0.25,global two-component pi_rho=(1-rho)*pi_independent+rho*pi_group_shared over full 16-type personas,oracle_utility_trace - harp_utility_trace,2,False,True,deterministic-rule
1.0,4,8,2,20,0.0,1,harp_s,5.689999999999994,0.9999976873397827,0.61875,1.0,0,128,1024,0.25,global two-component pi_rho=(1-rho)*pi_independent+rho*pi_group_shared over full 16-type personas,oracle_utility_trace - harp_s_utility_trace,2,False,True,deterministic-rule
1.0,4,8,2,20,0.0,2,oracle,0.0,0.9999831676483154,0.5125,1.0,0,385,3080,0.25,global two-component pi_rho=(1-rho)*pi_independent+rho*pi_group_shared over full 16-type personas,oracle_utility_trace - oracle_utility_trace,0,False,True,deterministic-rule
1.0,4,8,2,20,0.0,2,joint,0.0,0.9999831676483154,0.5125,1.0,0,385,3080,0.25,global two-component pi_rho=(1-rho)*pi_independent+rho*pi_group_shared over full 16-type personas,oracle_utility_trace - joint_utility_trace,0,False,True,deterministic-rule
1.0,4,8,2,20,0.0,2,harp,0.0,0.9999831676483154,0.5125,1.0,0,128,1024,0.25,global two-component pi_rho=(1-rho)*pi_independent+rho*pi_group_shared over full 16-type personas,oracle_utility_trace - harp_utility_trace,0,False,True,deterministic-rule
1.0,4,8,2,20,0.0,2,harp_s,0.0,0.9999831676483154,0.5125,1.0,0,128,1024,0.25,global two-component pi_rho=(1-rho)*pi_independent+rho*pi_group_shared over full 16-type personas,oracle_utility_trace - harp_s_utility_trace,0,False,True,deterministic-rule
1.0,4,8,2,20,0.0,3,oracle,0.0,0.9999975204467774,0.66875,1.0,0,385,3080,0.25,global two-component pi_rho=(1-rho)*pi_independent+rho*pi_group_shared over full 16-type personas,oracle_utility_trace - oracle_utility_trace,4,False,True,deterministic-rule
1.0,4,8,2,20,0.0,3,joint,1.5,0.9999975204467774,0.66875,1.0,0,385,3080,0.25,global two-component pi_rho=(1-rho)*pi_independent+rho*pi_group_shared over full 16-type personas,oracle_utility_trace - joint_utility_trace,4,False,True,deterministic-rule
1.0,4,8,2,20,0.0,3,harp,4.82,0.9999975204467774,0.66875,1.0,0,128,1024,0.25,global two-component pi_rho=(1-rho)*pi_independent+rho*pi_group_shared over full 16-type personas,oracle_utility_trace - harp_utility_trace,4,False,True,deterministic-rule
1.0,4,8,2,20,0.0,3,harp_s,0.0,0.9999975204467774,0.66875,1.0,0,128,1024,0.25,global two-component pi_rho=(1-rho)*pi_independent+rho*pi_group_shared over full 16-type personas,oracle_utility_trace - harp_s_utility_trace,4,False,True,deterministic-rule
1.0,4,8,2,20,0.0,4,oracle,0.0,0.9999823540449142,0.46875,1.0,0,385,3080,0.25,global two-component pi_rho=(1-rho)*pi_independent+rho*pi_group_shared over full 16-type personas,oracle_utility_trace - oracle_utility_trace,5,False,True,deterministic-rule
1.0,4,8,2,20,0.0,4,joint,0.0,0.9999823540449142,0.46875,1.0,0,385,3080,0.25,global two-component pi_rho=(1-rho)*pi_independent+rho*pi_group_shared over full 16-type personas,oracle_utility_trace - joint_utility_trace,5,False,True,deterministic-rule
1.0,4,8,2,20,0.0,4,harp,0.35999999999999943,0.9999823540449142,0.46875,1.0,0,128,1024,0.25,global two-component pi_rho=(1-rho)*pi_independent+rho*pi_group_shared over full 16-type personas,oracle_utility_trace - harp_utility_trace,5,False,True,deterministic-rule
1.0,4,8,2,20,0.0,4,harp_s,0.0,0.9999823540449142,0.46875,1.0,0,128,1024,0.25,global two-component pi_rho=(1-rho)*pi_independent+rho*pi_group_shared over full 16-type personas,oracle_utility_trace - harp_s_utility_trace,5,False,True,deterministic-rule
1.0,4,8,2,20,0.0,5,oracle,0.0,0.9999881744384765,0.575,1.0,0,385,3080,0.25,global two-component pi_rho=(1-rho)*pi_independent+rho*pi_group_shared over full 16-type personas,oracle_utility_trace - oracle_utility_trace,4,False,True,deterministic-rule
1.0,4,8,2,20,0.0,5,joint,0.7899999999999956,0.9999881744384765,0.575,1.0,0,385,3080,0.25,global two-component pi_rho=(1-rho)*pi_independent+rho*pi_group_shared over full 16-type personas,oracle_utility_trace - joint_utility_trace,4,False,True,deterministic-rule
1.0,4,8,2,20,0.0,5,harp,1.5500000000000007,0.9999881744384765,0.575,1.0,0,128,1024,0.25,global two-component pi_rho=(1-rho)*pi_independent+rho*pi_group_shared over full 16-type personas,oracle_utility_trace - harp_utility_trace,4,False,True,deterministic-rule
1.0,4,8,2,20,0.0,5,harp_s,0.0,0.9999881744384765,0.575,1.0,0,128,1024,0.25,global two-component pi_rho=(1-rho)*pi_independent+rho*pi_group_shared over full 16-type personas,oracle_utility_trace - harp_s_utility_trace,4,False,True,deterministic-rule
1.0,4,8,2,20,0.0,6,oracle,0.0,0.9999988555908204,0.5375,1.0,0,385,3080,0.25,global two-component pi_rho=(1-rho)*pi_independent+rho*pi_group_shared over full 16-type personas,oracle_utility_trace - oracle_utility_trace,3,False,True,deterministic-rule
