scope,method,seeds,cumulative_regret_mean,cumulative_regret_sem,late_instant_regret_mean,late_instant_regret_sem,paired_gap_vs_pact_plus_mean,paired_gap_vs_pact_plus_sem
all_selected,pact,5,0.3117477918497059,0.026016880315184874,0.004082909226488601,0.001245278332553401,-0.040004761535414345,0.02955505227649689
all_selected,pact_plus,5,0.35175255338512024,0.034889634084432054,0.001984569469402637,0.0016776513816204237,0.0,0.0
all_selected,joint_psrl_uniform,5,0.32855564805131077,0.030016349101844603,0.004945455556366359,0.001176392183250897,-0.02319690533380952,0.04347628901274294
all_selected,psrl_notype,5,1.3609199841994644,0.17219304125061963,0.07642943375547162,0.013872455771906279,1.0091674308143441,0.20069043857795715
all_selected,map_type_greedy,5,0.1855024452154992,0.04754844231315116,0.0014814814814814836,0.0014814814814814836,-0.1662501081696211,0.0713620676268756
all_selected,econ_bne,5,1.3427467487475595,0.580230053590145,0.06713733743737796,0.02901150267950725,0.9909941953624392,0.607167979050699
all_selected,atom_tom1,5,3.09813731556381,0.5814766106530276,0.1549068657781905,0.029073830532651376,2.74638476217869,0.5948458910949506
all_selected,random,5,13.174753316722839,0.4190909400249283,0.6787544662286937,0.03490433146186072,12.82300076333772,0.3984168070608275
informative_haggling,pact,5,0.45867629617882405,0.03977560952069361,0.006124363839732902,0.0018679174988301011,-0.0413093332911331,0.025953521835881187
informative_haggling,pact_plus,5,0.4999856294699573,0.045653843399229836,0.002976854204103955,0.002516477072430635,0.0,0.0
informative_haggling,joint_psrl_uniform,5,0.46978744713325116,0.03734832751826684,0.006483292883950116,0.0019464775980032193,-0.03019818233670605,0.050385986788486915
informative_haggling,psrl_notype,5,1.8774481172686435,0.2708686030062797,0.10778314242773294,0.022351031049502833,1.3774624877986863,0.2990592583060535
informative_haggling,map_type_greedy,5,0.25520764287953374,0.060393878159968245,0.0022222222222222253,0.0022222222222222253,-0.24477798659042338,0.0961185803206361
informative_haggling,econ_bne,5,0.6823909210663507,0.335245079731737,0.03411954605331753,0.016762253986586848,0.18240529159639352,0.3612692502665008
informative_haggling,atom_tom1,5,4.292749498563454,0.7459323554970443,0.21463747492817262,0.037296617774852214,3.792763869093496,0.7726300168600639
informative_haggling,random,5,8.382167467896107,0.3317514446393944,0.43287422799366676,0.025068209115542025,7.882181838426149,0.3668175960261016
